index,price,production_year,size,color,material,acc_included,condition_ext,other_defects,has_smell,has_chain,has_logo,has_quilts,bag_style,brand
80,1376,1980s,small,beige,lambskin,3,good,1,0,1,1,1,hand_bag,Chanel
81,2306,1990s,large,black,lambskin,1,good,1,0,1,1,1,shoulder_bag,Chanel
83,1841,2000-2010,medium,black,caviar,4,good,1,0,0,1,1,mini bag,Chanel
84,4259,2000-2010,small,black,caviar,4,good,1,0,1,1,0,backpack,Chanel
85,2492,1990s,small,black,caviar,1,used,1,0,1,1,1,tote,Chanel
86,2120,2000-2010,large,brown,caviar,3,good,1,0,1,1,0,tote,Chanel
87,2306,1990s,medium,black,caviar,4,good,1,0,0,1,0,tote,Chanel
88,2120,1990s,small,black,caviar,1,used,1,0,1,1,0,tote,Chanel
89,2771,1980s,small,black,lambskin,1,good,1,0,1,1,1,mini bag,Chanel
90,2306,1990s,small,white,lambskin,5,good,1,0,0,1,1,crossbody,Chanel
91,2492,1990s,small,black,caviar,2,good,1,0,1,1,0,mini bag,Chanel
92,1376,1990s,small,orange,lambskin,3,good,1,0,0,1,0,crossbody,Chanel
93,1841,2000-2010,small,beige,fabric,2,good,1,0,1,0,1,shoulder_bag,Chanel
95,2771,1990s,small,red,fabric,1,good,1,0,1,0,0,flap_bag,Chanel
96,4631,2000-2010,medium,black,caviar,4,good,1,0,1,0,0,flap_bag,Chanel
97,4631,1980s,small,purple,lambskin,4,good,1,0,1,0,0,shoulder_bag,Chanel
98,3050,1990s,small,black,caviar,2,good,1,0,0,1,1,waist_bag,Chanel
99,1841,1990s,medium,brown,suede,3,good,1,0,0,1,1,shoulder_bag,Chanel
100,1841,2000-2010,large,black,caviar,1,used,1,0,0,1,0,tote,Chanel
101,1376,2000-2010,medium,brown,patent,4,good,1,0,0,1,0,tote,Chanel
102,3980,1990s,small,brown,synthetic,4,good,1,0,1,1,1,shoulder_bag,Chanel
103,3980,1980s,small,red,exotic,2,good,1,0,1,0,0,flap_bag,Chanel
104,1190,1990s,medium,brown,suede,1,good,1,0,1,1,1,crossbody,Chanel
105,2771,2000-2010,small,black,synthetic,1,good,1,0,0,1,0,clutch,Chanel
106,5561,2000-2010,small,beige,caviar,4,good,1,0,1,0,0,flap_bag,Chanel
107,2306,1980s,medium,black,lambskin,1,good,1,0,1,1,1,tote,Chanel
108,3050,2000-2010,small,white,lambskin,3,good,1,0,1,1,1,shoulder_bag,Chanel
109,1562,2000-2010,large,black,fabric,1,excellent,1,0,0,0,0,shoulder_bag,Chanel
110,1841,1990s,small,beige,lambskin,1,good,1,0,0,1,0,clutch,Chanel
111,1376,1990s,medium,brown,caviar,3,good,1,0,0,1,0,tote,Chanel
112,1562,2000-2010,small,black,patent,4,good,1,0,0,1,0,tote,Chanel
113,1562,2000-2010,medium,blue,lambskin,1,used,1,0,1,0,1,shoulder_bag,Chanel
114,2306,2000-2010,large,black,patent,3,excellent,1,0,0,1,1,tote,Chanel
115,3422,2000-2010,small,brown,synthetic,3,good,1,0,1,1,1,hand_bag,Chanel
116,1841,1990s,medium,black,fabric,1,excellent,1,0,0,1,0,hand_bag,Chanel
117,1376,2000-2010,mini,orange,patent,1,good,1,0,0,1,1,clutch,Chanel
118,2771,1980s,small,red,lambskin,2,good,1,0,1,1,1,shoulder_bag,Chanel
119,2492,1980s,medium,black,lambskin,2,used,1,1,1,0,1,flap_bag,Chanel
120,2771,2000-2010,medium,pink,caviar,4,good,1,0,1,1,1,shoulder_bag,Chanel
121,2120,2000-2010,small,gray,lambskin,4,excellent,1,0,1,1,1,tote,Chanel
122,1562,1990s,medium,beige,caviar,4,good,1,0,0,1,0,tote,Chanel
123,2120,2000-2010,large,black,caviar,1,good,1,0,1,1,1,tote,Chanel
125,1376,1990s,medium,black,lambskin,1,good,1,0,0,1,0,tote,Chanel
126,2306,1990s,small,black,patent,1,good,1,0,0,1,1,hand_bag,Chanel
127,1376,1990s,small,black,fabric,4,good,1,0,0,1,0,hand_bag,Chanel
128,4631,2000-2010,small,black,caviar,3,excellent,1,0,0,1,0,hand_bag,Chanel
130,1841,1980s,small,black,fabric,1,good,1,0,1,1,1,shoulder_bag,Chanel
131,2120,2000-2010,small,gray,suede,4,good,1,0,0,1,1,crossbody,Chanel
132,3422,2000-2010,medium,black,lambskin,2,good,1,0,1,1,0,shoulder_bag,Chanel
133,2120,2000-2010,small,black,lambskin,2,good,1,0,0,0,1,crossbody,Chanel
134,2492,1980s,small,black,lambskin,2,excellent,1,0,1,1,1,shoulder_bag,Chanel
135,1562,2000-2010,medium,yellow,fabric,2,good,1,0,1,0,0,shoulder_bag,Chanel
136,2120,2000-2010,medium,black,lambskin,1,good,1,0,1,1,0,shoulder_bag,Chanel
137,2120,2000-2010,medium,black,fabric,1,good,1,0,1,1,0,shoulder_bag,Chanel
138,1562,2000-2010,mini,black,lambskin,2,good,1,0,1,1,1,shoulder_bag,Chanel
139,3236,1990s,medium,black,lambskin,1,good,1,0,1,0,0,flap_bag,Chanel
140,2771,1980s,small,black,lambskin,1,good,1,0,1,1,1,mini bag,Chanel
141,2771,2000-2010,small,black,lambskin,4,used,1,0,1,1,1,shoulder_bag,Chanel
142,2306,1980s,small,black,lambskin,2,good,1,0,1,1,1,shoulder_bag,Chanel
143,2771,1990s,small,pink,suede,4,used,1,0,1,1,1,shoulder_bag,Chanel
144,1562,1980s,small,red,lambskin,3,good,1,0,1,1,1,shoulder_bag,Chanel
145,1562,2000-2010,small,black,caviar,2,good,1,0,0,1,1,shoulder_bag,Chanel
146,1562,2000-2010,small,black,lambskin,5,good,1,0,0,1,1,shoulder_bag,Chanel
147,370,1980s,small,beige,lambskin,2,good,1,0,0,1,1,shoulder_bag,Chanel
148,2771,1990s,small,brown,suede,4,excellent,1,0,1,1,1,shoulder_bag,Chanel
149,2492,2000-2010,small,beige,lambskin,1,good,1,0,1,0,0,flap_bag,Chanel
150,3422,2000-2010,large,black,lambskin,4,good,1,0,1,1,1,backpack,Chanel
151,1004,1990s,small,orange,caviar,2,excellent,1,0,0,1,0,vanity_case,Chanel
153,2306,1990s,large,green,caviar,4,used,1,0,1,1,0,backpack,Chanel
154,2306,1990s,small,orange,caviar,1,used,1,0,1,1,0,backpack,Chanel
155,3050,2000-2010,medium,black,fabric,4,used,1,0,1,1,0,backpack,Chanel
156,4259,2000-2010,large,red,caviar,3,used,1,0,1,1,0,backpack,Chanel
157,2306,1990s,medium,brown,lambskin,2,good,1,0,0,1,0,backpack,Chanel
158,1562,2000-2010,small,black,lambskin,1,good,1,0,0,1,1,crossbody,Chanel
159,3050,2000-2010,small,black,lambskin,2,good,1,0,1,1,0,shoulder_bag,Chanel
160,2492,2000-2010,small,black,lambskin,3,good,1,0,1,1,1,flap_bag,Chanel
161,2120,1980s,small,black,suede,2,good,1,0,1,0,1,shoulder_bag,Chanel
162,3236,2000-2010,small,black,lambskin,3,good,1,0,1,1,1,shoulder_bag,Chanel
163,2492,2000-2010,small,black,synthetic,4,good,1,0,1,1,1,shoulder_bag,Chanel
164,2492,2000-2010,small,black,lambskin,5,good,1,0,1,0,1,shoulder_bag,Chanel
165,1841,1990s,small,brown,fabric,4,excellent,1,0,0,1,0,hand_bag,Chanel
166,2771,1990s,medium,black,lambskin,2,good,1,0,0,1,0,backpack,Chanel
167,2771,2000-2010,small,black,lambskin,1,good,1,0,1,1,0,shoulder_bag,Chanel
168,4631,1980s,large,metallic,lambskin,2,used,1,0,1,0,0,flap_bag,Chanel
169,2120,2000-2010,medium,beige,lambskin,4,good,1,0,1,1,0,shoulder_bag,Chanel
170,1562,1980s,small,beige,lambskin,2,good,1,0,1,1,1,shoulder_bag,Chanel
171,2306,1980s,small,beige,lambskin,2,good,1,0,1,1,1,shoulder_bag,Chanel
172,2771,1980s,small,beige,lambskin,2,good,1,0,1,1,1,shoulder_bag,Chanel
173,1376,1980s,small,black,lambskin,1,used,1,0,1,1,0,shoulder_bag,Chanel
174,3236,2000-2010,small,black,caviar,5,good,1,0,1,1,1,shoulder_bag,Chanel
175,2492,2000-2010,small,black,caviar,2,good,1,0,1,1,0,shoulder_bag,Chanel
176,1562,2000-2010,small,black,lambskin,2,good,1,0,0,1,1,crossbody,Chanel
177,1562,2000-2010,small,black,lambskin,1,good,1,0,0,1,1,crossbody,Chanel
178,1562,2000-2010,medium,black,lambskin,2,good,1,0,0,0,1,tote,Chanel
179,1376,2000-2010,small,brown,patent,5,good,1,0,0,1,0,tote,Chanel
180,2120,1990s,medium,beige,caviar,2,good,1,0,1,1,0,tote,Chanel
181,1841,2000-2010,small,black,lambskin,1,good,1,0,0,1,1,tote,Chanel
183,2492,2000-2010,small,beige,caviar,1,excellent,1,0,1,1,0,shoulder_bag,Chanel
184,3236,2000-2010,small,black,tweed,4,good,1,0,1,0,0,flap_bag,Chanel
185,2306,1980s,small,blue,fabric,1,good,1,0,1,1,0,flap_bag,Chanel
186,2120,1980s,small,black,lambskin,1,used,1,0,1,1,1,shoulder_bag,Chanel
187,2120,1990s,medium,black,caviar,3,good,1,0,0,1,1,shoulder_bag,Chanel
