productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode
Boy Flap Bag Quilted Lambskin Large,Chanel,"
            $4,545
        ",/collections/chanel/products/handbags-chanel-boy-flap-bag-quilted-lambskin-large5453435,Great,". Minor wear on exterior corners and in interior, light creasing and scuffs underneath flap. Small glue stain on interior opening corner, scratches on hardware.","Metallic, Pink",Leather,Silver,No Accessories,16107603,"Handle Drop 12&quot;, Height 8.5&quot;, Width 12&quot;, Depth 3&quot;, Strap Drop 20&quot;",54534/35,HB.CH.BF.QULA.LG 
Classic Double Flap Bag Quilted Lambskin Jumbo,Chanel,"
            $4,560
        ",/collections/chanel/products/handbags-chanel-classic-double-flap-bag-quilted-lambskin-jumbo554642,Very good,". Wear, discoloration and scuffs on exterior, wear on strap, creasing, scuffs and indentations underneath flaps. Minor wear in interior, scratches on hardware.",Black,Leather,Gold,No Accessories,14964268,"Handle Drop 14&quot;, Height 9&quot;, Width 12&quot;, Depth 3.5&quot;, Strap Drop 24&quot;",55464/2,HB.CH.CDFL.QULA.JB 
Bicolor Boy Flap Bag Calfskin Old Medium,Chanel,"
            $4,185
        ",/collections/chanel/products/handbags-chanel-bicolor-boy-flap-bag-calfskin-old-medium554641,Very good,". Moderate wear on exterior trims and strap, creasing on base, scuffs and marks underneath flap. Small stains, glitter and wear in interior, scratches on hardware.","Black, Gold, Metallic",Leather,Gold Tone,No Accessories,21855244,"Handle Drop 11.5&quot;, Height 6&quot;, Width 10&quot;, Depth 2.5&quot;, Strap Drop 20&quot;",55464/1,HB.CH.BCBF.CLF.OM 
Boy Zip Around Wallet Quilted Patent Long,Chanel,"
            $980
        ",/collections/chanel/products/handbags-chanel-boy-zip-around-wallet-quilted-patent-long555802,Excellent,. Faint scratches on hardware.,Black,Patent Leather,Silver,"Dust Bag, Authenticity Card",20365988,"Height 4&quot;, Width 7.5&quot;, Depth 1&quot;",55580/2,AC.CH.BLGZW.QPA.LO 
Wallet on Chain Lizard East West,Chanel,"
            $3,195
        ",/collections/chanel/products/handbags-chanel-wallet-on-chain-lizard-east-west552443,Excellent,". Minor indentations underneath flap, faint scratches on hardware.",Red,"Exotic, Lizard",Silver,"Authenticity Card, With Strap",22536340,"Height 4.5&quot;, Width 7.5&quot;, Depth 1&quot;, Strap Drop 23.5&quot;",55244/3,HB.CH.WOC.LZ.EW 
Coco Cocoon Reversible Tote Quilted Lambskin Medium,Chanel,"
            $1,180
        ",/collections/chanel/products/handbags-chanel-coco-cocoon-reversible-tote-quilted-lambskin-medium5530221,Great,". Minimal wear on base corners and opening trim, creasing on exterior. Light stain on front, scratches on hardware.",Red,Leather,Silver,No Accessories,12990294,"Handle Drop 8&quot;, Height 11&quot;, Width 15&quot;, Depth 7&quot;",55302/21,HB.CH.CCRB.QULA.ME 
Bicolor Boy Double Zip Clutch with Chain Lambskin,Chanel,"
            $1,865
        ",/collections/chanel/products/handbags-chanel-bicolor-boy-double-zip-clutch-with-chain-lambskin555807,Great,". Scuff on rear corner, small indentations on base. Mark on front, minor wear in interior, scratches on hardware.","Black, White",Leather,Gun Metal,"Authenticity Card, With Strap",24053927,"Height 4&quot;, Width 7.5&quot;, Depth 1&quot;, Strap Drop 23&quot;",55580/7,HB.CH.BIIB.LS 
Vintage Front Pocket Camera Bag Quilted Lambskin Medium,Chanel,"
            $2,395
        ",/collections/chanel/products/handbags-chanel-vintage-front-pocket-camera-bag-quilted-lambskin-medium555888,Good,". Moderate wear, discoloration and creasing on exterior, heavy wear on strap. Minor wear and small marks in interior, scratches on hardware.",Black,Leather,Gold,No Accessories,2325898,"Height 7&quot;, Width 9&quot;, Depth 2.5&quot;, Strap Drop 19&quot;",55588/8,HB.CH.VFPCB.QULA.ME 
Vintage Diana Flap Bag Quilted Lambskin Medium,Chanel,"
            $3,000
        ",/collections/chanel/products/handbags-chanel-vintage-diana-flap-bag-quilted-lambskin-medium555887,Very good,". Loss of shape on exterior. Moderate wear on base corners and strap, creasing and scuffs underneath flap, scratches on hardware.",Black,Leather,Gold,No Accessories,2065303,"Height 6.5&quot;, Width 10&quot;, Depth 3&quot;, Strap Drop 21&quot;",55588/7,HB.CH.VIDF.QULA.ME 
Chic Pearls Flap Bag Quilted Lambskin Small,Chanel,"
            $4,600
        ",/collections/chanel/products/handbags-chanel-chic-pearls-flap-bag-quilted-lambskin-small5558829,Excellent,". Scuffs underneath flap and in interior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,29098342,"Height 6&quot;, Width 8.5&quot;, Depth 2&quot;, Strap Drop 22&quot;",55588/29,HB.CH.CPEF.QULA.SM 
Lucky Symbols Chain Organizer Wallet Embossed Quilted Patent,Chanel,"
            $965
        ",/collections/chanel/products/handbags-chanel-lucky-symbols-chain-organizer-wallet-embossed-quilted-patent55588140,Great,". Light wear on handle, scuffs and indentations in interior, scratches on hardware.",Black,Patent Leather,Silver,Passport Holder,14075080,"Handle Drop 1&quot;, Height 5&quot;, Width 9.5&quot;, Depth 1.5&quot;",55588/140,AC.CH.LSOZ.EMQP 
Diamond CC Bifold Wallet Quilted Lambskin Long,Chanel,"
            $755
        ",/collections/chanel/products/handbags-chanel-diamond-cc-bifold-wallet-quilted-lambskin-long552442,Good,". Moderate wear on exterior edges, minor discoloration on exterior.",Pink,Leather,Silver,Authenticity Card,22026597,"Height 3.5&quot;, Width 7&quot;, Depth 0.5&quot;",55244/2,AC.CH.DIBW.QULA.LO 
Emoticon Classic Single Flap Bag Quilted Lambskin Extra Mini,Chanel,"
            $3,425
        ",/collections/chanel/products/handbags-chanel-emoticon-classic-single-flap-bag-quilted-lambskin-extra-mini55588142,Great,". Wear and discoloration on opening and base corners, small indentations on exterior. Scuffs and creasing underneath flap, scratches on hardware.",Black,Leather,Gold Tone,"Box, Dust Bag, Authenticity Card",23532321,"Height 4&quot;, Width 7&quot;, Depth 2&quot;, Strap Drop 22&quot;",55588/142,HB.CH.EJCS.QULA.EMI 
Double Zip Clutch with Chain Quilted Lambskin,Chanel,"
            $1,995
        ",/collections/chanel/products/handbags-chanel-double-zip-clutch-with-chain-quilted-lambskin553411,Excellent,". Creasing on exterior, minimal wear in interior, scratches on hardware.",Pink,Leather,Gold Tone,Authenticity Card,22787973,"Height 4&quot;, Width 7.5&quot;, Depth 1&quot;, Strap Drop 23&quot;",55341/1,HB.CH.DZOC.QULA 
Boy Wallet on Chain Quilted Caviar,Chanel,"
            $2,890
        ",/collections/chanel/products/handbags-chanel-boy-wallet-on-chain-quilted-caviar551301,Great,". Minor wear on base corners, indentations and darkening underneath flap, scratches on hardware.",Pink,Leather,Gold Tone,"Dust Bag, Authenticity Card",29619416,"Height 5&quot;, Width 7.5&quot;, Depth 1&quot;, Strap Drop 24&quot;",55130/1,HB.CH.BWOC.QCA 
Boy Flap Bag Quilted Lambskin Old Medium,Chanel,"
            $4,580
        ",/collections/chanel/products/handbags-chanel-boy-flap-bag-quilted-lambskin-old-medium54710137,Very good,". Minor wear, darkening, scuffs and creasing on exterior, creasing and scuffs underneath flap. Light wear in interior, scratches on hardware.",Green,Leather,Aged Silver,Dust Bag,18267680,"Handle Drop 11&quot;, Height 6&quot;, Width 10&quot;, Depth 3&quot;, Strap Drop 20&quot;",54710/137,HB.CH.BF.QULA.OM 
Deauville Pouch Denim with Sequins Large,Chanel,"
            $1,160
        ",/collections/chanel/products/handbags-chanel-deauville-pouch-denim-with-sequins-large5377165,Excellent,". Slight discoloration on exterior, scratches on hardware.",Gray,Denim,Silver,"Authenticity Card, Dust Bag",24111762,"Height 9&quot;, Width 13.5&quot;, Depth 1&quot;",53771/65,HB.CH.DVLP.DWS.LG 
CC Full Flap Crossbody Pouch Quilted Patent,Chanel,"
            $1,790
        ",/collections/chanel/products/handbags-chanel-cc-full-flap-crossbody-pouch-quilted-patent553071,Great,". Creasing, scuffs and indentations underneath flap and in interior, scratches on hardware.",Blue,Patent Leather,Silver,Authenticity Card,20464439,"Height 6&quot;, Width 9.5&quot;, Depth 1&quot;, Strap Drop 23&quot;",55307/1,HB.CH.CFLO.QPA 
Spiral Sea Hit Tote Quilted Iridescent Calfskin Large,Chanel,"
            $1,080
        ",/collections/chanel/products/handbags-chanel-spiral-sea-hit-tote-quilted-iridescent-calfskin-large553581,Good,". Moderate darkening on exterior, strap and handle. Wear, stains and indentations on base, scratches on hardware.",Pink,Leather,Silver,No Accessories,16192865,"Handle Drop 5.5&quot;, Height 11.5&quot;, Width 16.5&quot;, Depth 7&quot;, Strap Drop 18.5&quot;",55358/1,HB.CH.SRSH.QICA.LG 
Valentine Crystal Hearts Flap Bag Quilted Lambskin Medium,Chanel,"
            $3,265
        ",/collections/chanel/products/handbags-chanel-valentine-crystal-hearts-flap-bag-quilted-lambskin-medium5559259,Fair,". Wear, darkening, creasing and small indentations on exterior, small glue stain on flap corner. Creasing, pen marks and small stains underneath flap, minor wear in interior, scratches on hardware.",Pink,Leather,Gold Tone,No Accessories,19199240,"Handle Drop 9&quot;, Height 6&quot;, Width 10&quot;, Depth 2.5&quot;, Strap Drop 16&quot;",55592/59,HB.CH.VHRT.QULA.ME 
