productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode
Vintage Classic Single Flap Bag Quilted Lambskin Jumbo,Chanel,"
            $3,255
        ",/collections/chanel/products/handbags-chanel-vintage-classic-single-flap-bag-quilted-lambskin-jumbo536099,Very good,". Minor discoloration and wear on base and flap corners, moderate scuffs and indentations on exterior, creasing, scuffs and bubbling underneath flap. Wear in interior, scratches on hardware.",Black,Leather,Gold,No Accessories,3762668,"Handle Drop 13&quot;, Height 8.5&quot;, Width 12&quot;, Depth 3&quot;, Strap Drop 18&quot;",53609/9,HB.CH.VNCS.QULA.JB 
Lax Front Zip Bag Pebbled Leather Small,Chanel,"
            $1,260
        ",/collections/chanel/products/handbags-chanel-lax-front-zip-bag-pebbled-leather-small5377189,Excellent,". Slight wear on exterior edges and in interior, scratches on hardware.",Black,Leather,Silver,"Box, Authenticity Card",8351404,"Handle Drop 6&quot;, Height 7&quot;, Width 11&quot;, Depth 3&quot;",53771/89,HB.CH.LXFZ.PBL.SM 
Vintage Chain Evening Bag Mixed Quilt Lambskin Small,Chanel,"
            $1,905
        ",/collections/chanel/products/handbags-chanel-vintage-chain-evening-bag-mixed-quilt-lambskin-small5377145,Very good,". Minor discoloration and wear on base corners, exterior edges and strap, moderate scuffs and indentations on exterior, peeling on zipper pull. Indentations and wear in interior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,1212701,"Height 6&quot;, Width 8.5&quot;, Depth 2.5&quot;, Strap Drop 16&quot;",53771/45,HB.CH.VCEV.MXLA.SM 
CC Pocket Backpack Quilted Knit Pluto Glitter Mini,Chanel,"
            $2,660
        ",/collections/chanel/products/handbags-chanel-cc-pocket-backpack-quilted-knit-pluto-glitter-mini5033113,Great,". Odor on exterior. Minor wear on strap, light wear in interior, scratches on hardware.",Black,Textile,Silver,"Authenticity Card, Dust Bag",24890495,"Height 7.5&quot;, Width 7.5&quot;, Depth 5.5&quot;, Strap Drop 13-14&quot;",50331/13,HB.CH.CCPK.KNPG.MI 
Vintage Timeless Boston Bag Caviar Large,Chanel,"
            $2,465
        ",/collections/chanel/products/handbags-chanel-vintage-timeless-boston-bag-caviar-large532841,Very good,". Moderate wear on exterior corners and strap bases, minor wear on handles, strap and in interior. Darkening underneath shoulder pad, scratches and tarnish on hardware.",Black,Leather,Gold,"Luggage Tag, Clochette, With Strap",3816253,"Handle Drop 5.5&quot;, Height 10.5&quot;, Width 19&quot;, Depth 9&quot;, Strap Drop 12-14&quot;",53284/1,HB.CH.VGTB.CAV.LG 
En Vogue Hobo Crumpled Calfskin,Chanel,"
            $5,135
        ",/collections/chanel/products/handbags-chanel-en-vogue-hobo-crumpled-calfskin538941,Excellent,". Minor scuffs and indentations on exterior, slight wear in interior, scratches on hardware.",Black,Leather,Gold Tone,No Accessories,27040764,"Handle Drop 6&quot;, Height 12&quot;, Width 10&quot;, Depth 6&quot;, Strap Drop 17&quot;",53894/1,HB.CH.EVOG.CRCF 
CC Charm Zip Tote Quilted Coated Canvas Medium,Chanel,"
            $1,280
        ",/collections/chanel/products/handbags-chanel-cc-charm-zip-tote-quilted-coated-canvas-medium5377196,Very good,". Light scuffs on base, wear and discoloration on base corners, creasing on exterior, splitting on handle wax edges. Minor wear in interior, scratches on hardware.",Black,Canvas (Coated),Aged Silver,Authenticity Card,17081505,"Handle Drop 8.5&quot;, Height 10&quot;, Width 14&quot;, Depth 4.5&quot;",53771/96,HB.CH.CHZZ.QUCC.ME 
VIntage Charm Weekender Bag Quilted Lambskin Large,Chanel,"
            $2,710
        ",/collections/chanel/products/handbags-chanel-vintage-charm-weekender-bag-quilted-lambskin-large54441131,Good,". Moderate wear, scuffs and creasing on exterior, handles and in interior. Heavy bubbling and indentations on interior base, scratches on hardware.",Black,Leather,Gold,Authenticity Card,4678336,"Handle Drop 10.5&quot;, Height 11.5&quot;, Width 18&quot;, Depth 7&quot;",54441/131,HB.CH.VCWE.QULA.LG 
Medallion Tote Quilted Caviar,Chanel,"
            $1,450
        ",/collections/chanel/products/handbags-chanel-medallion-tote-quilted-caviar5377174,Very good,". Moderate wear and discoloration on base corners, indentations, wear and small ink stain in interior, scratches on hardware.",Neutral,Leather,Gold,Authenticity Card,7760036,"Handle Drop 6.5&quot;, Height 9.5&quot;, Width 11.5&quot;, Depth 5.5&quot;",53771/74,HB.CH.MT.QCA 
Sport Tote Wool and Calfskin North South,Chanel,"
            $1,065
        ",/collections/chanel/products/handbags-chanel-sport-tote-wool-and-calfskin-north-south5457213,Great,". Minor wear and discoloration on base corners, slight pilling and creasing on exterior, scratches on hardware.",Black,"Leather, Wool",Silver,Authenticity Card,16773409,"Handle Drop 9&quot;, Height 16.5&quot;, Width 13&quot;, Depth 6&quot;",54572/13,HB.CH.SPOO.WOKA.NS 
Coco Neige Shopping Tote Quilted Shearling Small,Chanel,"
            $3,990
        ",/collections/chanel/products/handbags-chanel-coco-neige-shopping-tote-quilted-shearling-small5431721,Great,". Minimal wear on exterior and in interior, scratches on hardware.",White,Shearling,Silver,Dust Bag,2861824,"Handle Drop 5&quot;, Height 10&quot;, Width 10&quot;, Depth 6.5&quot;, Strap Drop 15&quot;",54317/21,HB.CH.CNSB.QUSH.SM 
CC Pocket Hobo Quilted Caviar Medium,Chanel,"
            $2,305
        ",/collections/chanel/products/handbags-chanel-ultimate-soft-hobo-quilted-leather-medium545891,Very good,". Wear on base and opening corners, creasing on exterior, cracking on exterior pockets and shoulder pad wax edges. Small marks in interior, scratches on hardware.",Blue,Leather,Silver,"Authenticity Card, Dust Bag",19132647,"Handle Drop 9.5&quot;, Height 12&quot;, Width 12&quot;, Depth 4&quot;, Strap Drop 16&quot;",54589/1,HB.CH.CCPH.QCA.ME
CC Shopping Tote Tweed Large,Chanel,"
            $2,100
        ",/collections/chanel/products/handbags-chanel-cc-shopping-tote-tweed-large5457219,Excellent,. Slight loss of shape on handles.,"Blue, Gold, Multicolor, Neutral",Tweed,,No Accessories,25275219,"Handle Drop 12&quot;, Height 15.5&quot;, Width 14.5&quot;, Depth 0.5&quot;",54572/19,HB.CH.CSPT.TW.LG 
Duo Bowling Bag Patent and Calfskin Medium,Chanel,"
            $2,310
        ",/collections/chanel/products/handbags-chanel-duo-bowling-bag-patent-and-calfskin-medium536097,Excellent,". Minor scuffs and indentations on exterior, light wear in interior, scratches on hardware.",Black,"Leather, Patent Leather",Silver,"Dust Bag, Authenticity Card",23385599,"Handle Drop 10&quot;, Height 8&quot;, Width 11.5&quot;, Depth 5&quot;",53609/7,HB.CH.DUBL.PNCF.ME 
Wallet on Chain Quilted Lambskin,Chanel,"
            $2,155
        ",/collections/chanel/products/handbags-chanel-wallet-on-chain-quilted-lambskin5119768,Great,". Minor wear and darkening on exterior, indentations on pocket, scuffs underneath flap and in interior, scratches on hardware.",Red,Leather,Silver,Authenticity Card,17827475,"Height 5&quot;, Width 7.5&quot;, Depth 1.5&quot;, Strap Drop 24.5&quot;",51197/68,HB.CH.WOC.QULA 
CC Mania Waist Bag Shearling and Shiny Crumpled Sheepskin Small,Chanel,"
            $3,355
        ",/collections/chanel/products/handbags-chanel-cc-mania-waist-bag-shearling-and-shiny-crumpled-sheepskin-small519681,Excellent,". Minor wear on exterior and in interior, scratches on hardware.",Black,"Leather, Shearling",Gold,Authenticity Card,28858685,"Height 5&quot;, Width 7&quot;, Depth 2.5&quot;, Strap Drop 12-14.5&quot;",51968/1,HB.CH.CWTB.SHSS.SM 
,Chanel,"
            $2,380
        ",/collections/chanel/products/handbags-chanel-easy-flap-bag-quilted-aged-calfskin-medium5344047,Excellent,". Minor wear on base, slight discoloration in interior, scratches on hardware.",Red,Leather,Aged Silver,Authenticity Card,18187963,"Handle Drop 12.5&quot;, Height 6&quot;, Width 10&quot;, Depth 2&quot;, Strap Drop 23&quot;",53440/47,
Mademoiselle Camera Bag Vertical Quilted Patent Medium,Chanel,"
            $875
        ",/collections/chanel/products/handbags-chanel-mademoiselle-camera-bag-vertical-quilted-patent-medium5016342,Great,". Minor scuffs and creasing on exterior, moderate glue stains on strap edges, scratches on hardware.",Black,Patent Leather,Silver,No Accessories,10488173,"Handle Drop 8&quot;, Height 8&quot;, Width 10.5&quot;, Depth 3.5&quot;, Strap Drop 14.5&quot;",50163/42,HB.CH.MCBAG.VCQP.ME 
Mademoiselle Lock Flap Shoulder Bag Quilted Caviar Large,Chanel,"
            $1,135
        ",/collections/chanel/products/handbags-chanel-mademoiselle-lock-flap-shoulder-bag-quilted-caviar-large539413,Great,". Slight wear and discoloration on exterior edges, minor creasing on exterior and underneath flap, wear in interior, scratches on hardware.",Black,Leather,Silver,No Accessories,12991124,"Handle Drop 8&quot;, Height 12&quot;, Width 17.5&quot;, Depth 1&quot;",53941/3,HB.CH.MDSU.QCA.LG 
Natural Beauty Tote Leather,Chanel,"
            $1,925
        ",/collections/chanel/products/handbags-chanel-natural-beauty-tote-leather5274435,Very good,". Moderate wear and discoloration on base corners and opening edges, creasing near base, small marks in interior, scratches on hardware.",Black,Leather,Gun Metal,No Accessories,14967624,"Handle Drop 13&quot;, Height 10&quot;, Width 13&quot;, Depth 6.5&quot;, Strap Drop 23&quot;",52744/35,HB.CH.NBTO.LE 
Vintage Camera Tassel Bag Lambskin Medium,Chanel,"
            $1,700
        ",/collections/chanel/products/handbags-chanel-vintage-camera-tassel-bag-lambskin-medium532601,Very good,". Heavy wear, scuffs and indentations on exterior and strap, discoloration and wear in interior, scratches on hardware.",Black,Leather,Gold,No Accessories,3170609,"Height 8&quot;, Width 11&quot;, Depth 3.5&quot;, Strap Drop 18.5&quot;",53260/1,HB.CH.VCTAB.LS.ME 
Mademoiselle Lock Chain Flap Bag Grosgrain Medium,Chanel,"
            $1,015
        ",/collections/chanel/products/handbags-chanel-mademoiselle-lock-chain-flap-bag-grosgrain-medium5377166,Very good,". Wear, darkening and small glue stains on exterior, bubbling underneath flap. Minor wear in interior, scratches on hardware.","Black, White",Canvas (Plain),Gun Metal,Authenticity Card,12655445,"Handle Drop 8&quot;, Height 6.5&quot;, Width 12&quot;, Depth 2&quot;, Strap Drop 14&quot;",53771/66,HB.CH.MLCF.GRG.ME 
CC Pocket Shoulder Bag Quilted Calfskin Large,Chanel,"
            $1,890
        ",/collections/chanel/products/handbags-chanel-cc-pocket-shoulder-bag-quilted-calfskin-large545321,Very good,". Moderate wear on base corners, scuffs on exterior, discoloration and wear in interior, scratches on hardware.",Black,Leather,Aged Silver,No Accessories,20944430,"Handle Drop 9&quot;, Height 11.5&quot;, Width 13&quot;, Depth 4&quot;, Strap Drop 16&quot;",54532/1,HB.CH.CPOS.QLC.LG 
CC Classic Flap Coin Purse Quilted Caviar,Chanel,"
            $695
        ",/collections/chanel/products/handbags-chanel-cc-classic-flap-coin-purse-quilted-caviar5453437,Great,". Minor discoloration and wear on base and flap corners, wear in interior, scratches on hardware.",Black,Leather,Silver,"Box, Authenticity Card",25979224,"Height 3&quot;, Width 4.5&quot;, Depth 1&quot;",54534/37,AC.CH.CCFN.QCA 
Vintage Front Pocket Camera Bag Quilted Lambskin Medium,Chanel,"
            $2,575
        ",/collections/chanel/products/handbags-chanel-vintage-front-pocket-camera-bag-quilted-lambskin-medium54534102,Very good,". Minor wear on opening trims and base corners, light scuffs on exterior and in interior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,2320466,"Handle Drop 20&quot;, Height 7&quot;, Width 9.5&quot;, Depth 2&quot;, Strap Drop 17.5&quot;",54534/102,HB.CH.VFPCB.QULA.ME 
Fever Tote Quilted Caviar Small,Chanel,"
            $1,890
        ",/collections/chanel/products/handbags-chanel-fever-tote-quilted-caviar-small54534131,Very good,". Slight creasing near base, minor wear on leather trims and handles, moderate cracking on handle wax edges. Small marks and discoloration in interior, scratches on hardware.",Black,Leather,Gun Metal,Pochette,19435217,"Handle Drop 9&quot;, Height 9&quot;, Width 12&quot;, Depth 5&quot;",54534/131,HB.CH.FVT.QCA.SM 
Beauty CC Clutch Pixel Effect Quilted Calfskin,Chanel,"
            $1,605
        ",/collections/chanel/products/handbags-chanel-beauty-cc-clutch-pixel-effect-quilted-calfskin5457225,Excellent,". Faint wear on exterior and in interior, scratches on hardware.",Black,Leather,Gold,No Accessories,22005956,"Height 6.5&quot;, Width 11&quot;, Depth 0.5&quot;",54572/25,HB.CH.BCCC.PXEL 
Timeless CC Soft Tote Caviar Medium,Chanel,"
            $1,785
        ",/collections/chanel/products/handbags-chanel-timeless-cc-soft-tote-caviar-medium515008,Good,". Moderate creasing on exterior, wear on base corners, opening trim and handles, scratches on hardware.",Red,Leather,Silver,No Accessories,14970419,"Handle Drop 11&quot;, Height 10&quot;, Width 14&quot;, Depth 6.5&quot;, Strap Drop 22&quot;",51500/8,HB.CH.TCST.CAV.ME 
Vintage Front Pocket Shoulder Bag Quilted Caviar Medium,Chanel,"
            $2,140
        ",/collections/chanel/products/handbags-chanel-vintage-front-pocket-shoulder-bag-quilted-caviar-medium5377185,Very good,". Wear and darkening on base and opening cornes, creasing and scuffs on exterior. Minor wear on handles and in interior, scratches and tarnish on hardware.",Blue,Leather,Silver,Authenticity Card,4111198,"Handle Drop 14&quot;, Height 9&quot;, Width 12&quot;, Depth 4&quot;",53771/85,HB.CH.FFSU.QCA.ME 
CC 2-Way Shopping Tote Fringe Quilted Canvas Large,Chanel,"
            $2,100
        ",/collections/chanel/products/handbags-chanel-cc-2-way-shopping-tote-fringe-quilted-canvas-large54145104,Fair,". Heavy wear and discoloration on exterior, loose threads on front and rear, wear and discoloration in interior, scratches on hardware.",Blue,Canvas (Plain),Silver,No Accessories,25359255,"Handle Drop 3.5&quot;, Height 12&quot;, Width 17&quot;, Depth 6.5&quot;, Strap Drop 12&quot;",54145/104,HB.CH.CTWA.FRQC.LG 
Brilliant Wallet on Chain Quilted Patent,Chanel,"
            $1,905
        ",/collections/chanel/products/handbags-chanel-brilliant-wallet-on-chain-quilted-patent5377176,Very good,". Discoloration on exterior, scuffs and wear underneath flap and in interior, scratches on hardware.",Blue,Patent Leather,Silver,Authenticity Card,13744140,"Height 5&quot;, Width 7.5&quot;, Depth 1&quot;, Strap Drop 25&quot;",53771/76,HB.CH.BROC.QPA 
Beach Tote Camellia Terry Cloth Large,Chanel,"
            $755
        ",/collections/chanel/products/handbags-chanel-beach-tote-camellia-terry-cloth-large545909,Fair,". Heavy discoloration and wear on opening edge, scuffs and indentations on base, wear on handles. Slight cracking on handle wax edges, scuffs and discoloration on interior leather trim, wear in interior, scratches on hardware.",Black,Textile,Silver,Pochette,,"Handle Drop 9&quot;, Height 15&quot;, Width 18&quot;, Depth 7&quot;",54590/9,HB.CH.BITO.CTC.LG 
Vintage Square CC Flap Bag Vertical Quilt Lambskin Large,Chanel,"
            $3,085
        ",/collections/chanel/products/handbags-chanel-vintage-square-cc-flap-bag-vertical-quilt-lambskin-large5458413,Very good,". Moderate creasing and scuffs on exterior and underneath flap, discoloration and wear on base corners, flap edges and handle. Light scuffs and indentations in interior, scratches on hardware.",Black,Leather,Gold,No Accessories,2502872,"Handle Drop 12&quot;, Height 12&quot;, Width 14&quot;, Depth 5&quot;",54584/13,HB.CH.VSCFB.VQL.LG 
Paris-Hamburg Sling Backpack Embroidered Wool with Quilted Calfskin Large,Chanel,"
            $2,165
        ",/collections/chanel/products/handbags-chanel-paris-hamburg-sling-backpack-embroidered-wool-with-quilted-calfskin-large546023,Great,". Minor wear on exterior, scratches on hardware.",Black,"Leather, Wool",Aged Silver,No Accessories,26038995,"Handle Drop 3.5&quot;, Height 16.5&quot;, Width 9&quot;, Depth 9&quot;, Strap Drop 15&quot;",54602/3,HB.CH.PSHM.EWQC.LG 
Frame Backpack Chevron Aged Calfskin Large,Chanel,"
            $3,235
        ",/collections/chanel/products/handbags-chanel-frame-backpack-chevron-aged-calfskin-large543301,Good,". Darkening and wear on base corners, minor creasing and scuffs on exterior. Discoloration and wear in interior, scratches on hardware.",Blue,Leather,Gold,No Accessories,24621807,"Handle Drop 2.5&quot;, Height 9&quot;, Width 10.5&quot;, Depth 4&quot;, Strap Drop 13&quot;",54330/1,HB.CH.FRBC.CVAG.LG 
Neo Executive Tote Grained Calfskin Medium,Chanel,"
            $3,215
        ",/collections/chanel/products/handbags-chanel-neo-executive-tote-grained-calfskin-medium544151,Very good,". Wear and discoloration on base corners, handles and interior leather trim, wear in interior, scratches on hardware.",Blue,Leather,Gold,"Authenticity Card, With Strap",23907190,"Handle Drop 4.5&quot;, Height 9&quot;, Width 13&quot;, Depth 5&quot;, Strap Drop 19&quot;",54415/1,HB.CH.NCET.GRCA.ME 
Wallet on Chain Flap Bag Quilted Calfskin Mini,Chanel,"
            $1,925
        ",/collections/chanel/products/handbags-chanel-wallet-on-chain-flap-bag-quilted-calfskin-mini54534121,Great,". Minor creasing and indentations on exterior, slight fraying on exterior, wear on strap and in interior, scratches on hardware.",Blue,Leather,Silver,"Box, Authenticity Card",15902496,"Height 5&quot;, Width 6&quot;, Depth 2.5&quot;, Strap Drop 22&quot;",54534/121,HB.CH.WOCFL.QLC.MI 
CC Chain Top Handle Flap Bag Stitched Calfskin Medium,Chanel,"
            $2,645
        ",/collections/chanel/products/handbags-chanel-cc-chain-top-handle-flap-bag-stitched-calfskin-medium54534125,Very good,". Minor wear, discoloration, and creasing on exterior, bubbling and scuffs underneath flap. Light marks in interior, scratches on hardware.",Blue,Leather,Aged Silver,No Accessories,21454776,"Handle Drop 1.5&quot;, Height 7.5&quot;, Width 11.5&quot;, Depth 3&quot;, Strap Drop 22&quot;",54534/125,HB.CH.CHTH.SCCF.ME 
CC Frame Clutch Quilted Iridescent Calfskin,Chanel,"
            $2,380
        ",/collections/chanel/products/handbags-chanel-cc-frame-clutch-quilted-iridescent-calfskin54534112,Excellent,". Minor creasing and wear in interior, scratches on hardware.","Blue, Purple",Leather,Silver,"Box, Authenticity Card, Dust Bag",24221093,"Height 5.5&quot;, Width 11&quot;, Depth 2.5&quot;",54534/112,HB.CH.FRAE.QICA 
Diamond Zip Key Holder Quilted Caviar,Chanel,"
            $565
        ",/collections/chanel/products/handbags-chanel-diamond-zip-key-holder-quilted-caviar5456673,Very good,". Moderate wear along exterior edges, pilling on zipper tape. Light wear in interior, scratches on hardware.",Blue,Leather,Silver,No Accessories,24763343,"Height 3&quot;, Width 4.5&quot;, Depth 0.5&quot;",54566/73,AC.CH.DZKH.QCA 
In the Mix Charm Tote Quilted Leather Medium,Chanel,"
            $1,940
        ",/collections/chanel/products/handbags-chanel-in-the-mix-charm-tote-quilted-leather-medium5414565,Very good,". Moderate creasing and loss of shape on exterior, scratches and discoloration on hardware.","Black, Multicolor, Neutral",Leather,Aged Gold,Charms,16279199,"Handle Drop 9-14&quot;, Height 9&quot;, Width 14&quot;, Depth 6&quot;",54145/65,HB.CH.IMCT.QLE.ME 
Neo Executive Tote Grained Calfskin Medium,Chanel,"
            $3,060
        ",/collections/chanel/products/handbags-chanel-neo-executive-tote-grained-calfskin-medium507131,Very good,". Minor scuffs on exterior, broken stitch on rear handle base, wear in interior, scratches on hardware.","Black, Multicolor, Neutral",Leather,Gold Tone,"Authenticity Card, With Strap",24103862,"Handle Drop 4.5&quot;, Height 9&quot;, Width 13&quot;, Depth 5.5&quot;, Strap Drop 19&quot;",50713/1,HB.CH.NCET.GRCA.ME 
Timeless Half Moon Flap Bag Caviar Medium,Chanel,"
            $1,420
        ",/collections/chanel/products/handbags-chanel-timeless-half-moon-flap-bag-caviar-medium503315,Very good,". Odor in interior. Minor wear on base corners and flap edges, small mark underneath flap, scratches on hardware.",Green,Leather,Silver,No Accessories,12644138,"Handle Drop 9&quot;, Height 8.5&quot;, Width 10.5&quot;, Depth 4&quot;, Strap Drop 15.5&quot;",50331/5,HB.CH.THMF.CAV.ME 
CC Box Pouch Quilted Caviar Small,Chanel,"
            $1,120
        ",/collections/chanel/products/handbags-chanel-cc-box-pouch-quilted-caviar-small544132,Excellent,". Minor wear on exterior, scratches on hardware.",Gray,Leather,Silver,"Insert, Authenticity Card, Dust Bag",29674277,"Height 6&quot;, Width 8&quot;, Depth 1&quot;",54413/2,HB.CH.CBXP.QCA.SM 
CC Charm Shopping Tote Quilted Mixed Fibers Large,Chanel,"
            $2,940
        ",/collections/chanel/products/handbags-chanel-cc-charm-shopping-tote-quilted-mixed-fibers-large5394319,Excellent,". Minimal wear on exterior and in interior, scratches on hardware.",Pink,Fabric,Silver,"Dust Bag, Charms",27897123,"Handle Drop 5.5&quot;, Height 16&quot;, Width 13.5&quot;, Depth 6&quot;, Strap Drop 10.5&quot;",53943/19,HB.CH.CCCST.QMF.LG 
Paris-Salzburg Flap Bag Quilted Wool Small,Chanel,"
            $2,200
        ",/collections/chanel/products/handbags-chanel-paris-salzburg-flap-bag-quilted-wool-small545903,Great,". Minor creasing on base and sides, small mark on exterior trim, wear in interior, scratches on hardware.",Blue,"Fabric, Wool",Aged Silver,No Accessories,21382772,"Handle Drop 10.5&quot;, Height 7&quot;, Width 10.5&quot;, Depth 3&quot;, Strap Drop 19&quot;",54590/3,HB.CH.PSZF.QUWO.SM 
CC Chain Flap Bag Quilted Striped Velvet Medium,Chanel,"
            $2,625
        ",/collections/chanel/products/handbags-chanel-cc-chain-flap-bag-quilted-striped-velvet-medium5420720,Fair,". Minor creasing and wear on exterior, heavy discoloration on sides and rear, creasing underneath flap. Wear in interior, scratches on hardware.","Black, Print, White",Velvet,Gold,"Box, Dust Bag, Authenticity Card",11079909,"Handle Drop 9&quot;, Height 6&quot;, Width 9.5&quot;, Depth 2&quot;, Strap Drop 16&quot;",54207/20,HB.CH.CCFP.QSBL.ME 
Chic Shopping Tote Quilted Caviar Small,Chanel,"
            $1,510
        ",/collections/chanel/products/handbags-chanel-chic-shopping-tote-quilted-caviar-small5347816,Very good,". Loss of shape on exterior. Minor wear on opening corners, marks in interior, scratches on hardware.",Purple,Leather,Aged Silver,Authenticity Card,16764081,"Handle Drop 10&quot;, Height 8&quot;, Width 13&quot;, Depth 5&quot;",53478/16,HB.CH.CHSO.QCA.SM 
Filigree Vertical Vanity Case PVC with Lambskin,Chanel,"
            $4,710
        ",/collections/chanel/products/handbags-chanel-filigree-vertical-vanity-case-pvc-with-lambskin543791,Excellent,". Faint signs of wear on exterior, scratches on hardware.","Blue, Multicolor, Pink","Leather, Pvc",Silver,"Box, Keys, Lock, Extra Clochette, Clochette, Authenticity Card, Dust Bag",29284446,"Handle Drop 2&quot;, Height 6.5&quot;, Width 5&quot;, Depth 3&quot;, Strap Drop 22&quot;",54379/1,HB.CH.FVVC.PVL 
Vintage Diamond CC Tassel Shoulder Bag Quilted Leather Mini,Chanel,"
            $1,575
        ",/collections/chanel/products/handbags-chanel-vintage-diamond-cc-tassel-shoulder-bag-quilted-leather-mini5470329,Fair,". Heavy discoloration, creasing and wear on exterior and strap, wear and small stains in interior, scratches on hardware.",Neutral,Leather,Gold,No Accessories,1729894,"Height 6.5&quot;, Width 8&quot;, Depth 2.5&quot;, Strap Drop 17&quot;",54703/29,HB.CH.VDBB.QLE.MI 
Top Handle Round Flap Bag Quilted Lambskin Medium,Chanel,"
            $4,085
        ",/collections/chanel/products/handbags-chanel-top-handle-round-flap-bag-quilted-lambskin-medium5456656,Very good,". Discoloration and wear on base corners, slight loss of shape on handle, wear in interior, scratches on hardware.",Neutral,Leather,Gold,"Box, Dust Bag, Authenticity Card",28655371,"Handle Drop 4.5&quot;, Height 5.5&quot;, Width 9&quot;, Depth 3.5&quot;, Strap Drop 20&quot;",54566/56,HB.CH.THRF.QULA.ME 
Vintage Clutch with Chain Quilted Satin Small,Chanel,"
            $2,380
        ",/collections/chanel/products/handbags-chanel-vintage-clutch-with-chain-quilted-satin-small547037,Excellent,". Minor wear on exterior and in interior, scratches on hardware.",Blue,Satin,Gold,Authenticity Card,0932156,"Height 5.5&quot;, Width 7&quot;, Depth 1&quot;, Strap Drop 17&quot;",54703/7,HB.CH.VINCC.QUSA.SM 
Paris-Hamburg Wristlet Zip Around Wallet Velvet Striped Leather,Chanel,"
            $1,070
        ",/collections/chanel/products/handbags-chanel-paris-hamburg-wristlet-zip-around-wallet-velvet-striped-leather5459013,Great,". Minor wear on exterior, scuffs in interior, scratches on hardware.","Gray, Metallic","Leather, Velvet",Gold,Authenticity Card,26374458,"Height 4&quot;, Width 8&quot;, Depth 1&quot;, Strap Drop 5.5&quot;",54590/13,AC.CH.WZR.VESP 
"Sporty Shopping Tote Printed Neoprene with Mesh Large Item Number: 48280/51"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48280-51_20Chanel_20Sporty_20Shopping_20Tote_20Printed_20Neopr_2D_0002_grande.jpg?v=1575952934"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1020"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-sporty-shopping-tote-printed-neoprene-with-mesh-large4828051?variant=31062426878022""
            }}
</script>
",Chanel,"
            $1,020
        ",/collections/chanel/products/handbags-chanel-sporty-shopping-tote-printed-neoprene-with-mesh-large4828051,Excellent,". Minor darkening on base, scratches on hardware.",,,,No Accessories,,"Handle Drop 8&quot;, Height 13.5&quot;, Width 16.5&quot;, Depth 6&quot;",48280/51,
Reverso Boy Flap Bag Patent Small,Chanel,"
            $1,835
        ",/collections/chanel/products/handbags-chanel-reverso-boy-flap-bag-patent-small497342,Very good,". Minor scuffs on exterior and strap, creasing and scuffs underneath flap. Moderate wear and small stains in interior, scratches on hardware.",Blue,Patent Leather,Aged Silver,No Accessories,18651125,"Height 5&quot;, Width 8.5&quot;, Depth 1.5&quot;",49734/2,HB.CH.RBF.PA.SM 
Reverso Boy Flap Bag Glazed Calfskin Old Medium,Chanel,"
            $2,595
        ",/collections/chanel/products/handbags-chanel-reverso-boy-flap-bag-glazed-calfskin-old-medium5274413,Great,". Minor discoloration and wear on base and flap corners, slight creasing and indentations on exterior, wear in interior, scratches on hardware.",Green,Leather,Aged Silver,"Box, Authenticity Card",21588692,"Handle Drop 11&quot;, Height 7&quot;, Width 11&quot;, Depth 3&quot;, Strap Drop 19&quot;",52744/13,HB.CH.RBF.GZCF.OM 
Coco Break Shopping Tote Caviar Large,Chanel,"
            $3,790
        ",/collections/chanel/products/handbags-chanel-coco-break-shopping-tote-caviar-large5308122,Great,". Minor wear on base corners, handles and straps, slight creasing on exterior, small marks in interior, scratches on hardware.",Black,Leather,Aged Silver,"Pochette, Authenticity Card",22221070,"Handle Drop 5&quot;, Height 8&quot;, Width 13&quot;, Depth 5.5&quot;, Strap Drop 10&quot;",53081/22,HB.CH.CCBK.CAV.LG 
,Chanel,"
            $2,675
        ",/collections/chanel/products/handbags-chanel-cc-chain-flap-bag-quilted-embellished-tweed-and-quilted-calfskin-small4695374,,,,,,,,,,
Urban Shopping Tote Quilted Caviar Small,Chanel,"
            $2,870
        ",/collections/chanel/products/handbags-chanel-urban-shopping-tote-quilted-caviar-small4748663,Excellent,". Slight wear on base and opening corners, minor wear and discoloration in interior, scratches on hardware.",Black,Leather,Aged Silver,"Authenticity Card, Dust Bag",24241538,"Handle Drop 4.5&quot;, Height 9&quot;, Width 13.5&quot;, Depth 3.5&quot;, Strap Drop 14&quot;",47486/63,HB.CH.URSH.QCA.SM 
