productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode,fulldescr
Arli Top Handle Bag Python Large,Gucci,"
            $2,335
        ",/collections/gucci/products/handbags-gucci-arli-top-handle-bag-python-large489071,Excellent,". Slight creasing on handles, small marks on interior pockets, light scratches on hardware.",Brown,"Python, Exotic","Gold Tone Clair Code: HB.GC.ARLT.PY.LG Item Number: 48907/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48907-1_20Gucci_20Arli_20Top_20Handle_20Bag_20Python_20Large_2D_0002_grande.jpg?v=1575953197"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""2335"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-arli-top-handle-bag-python-large489071?variant=31191991484486""
            }}
</script>
",Dust Bag,,"Handle Drop 8&quot;, Height 7.5&quot;, Width 14.5&quot;, Depth 2&quot;",48907/1,HB.GC.ARLT.PY.LG ," These are professional pictures of the actual bag offered by Rebag. This item can only be shipped within the United States. Estimated Retail Price: $4,900Condition: Excellent. Slight creasing on handles, small marks on interior pockets, light scratches on hardware.  Accessories: Dust Bag  Measurements: Handle Drop 8&quot;, Height 7.5&quot;, Width 14.5&quot;, Depth 2&quot; Designer: Gucci Model: Arli Top Handle Bag Python Large Exterior Material: Python, Exotic Exterior Color: Brown Interior Material: Leather Interior Color: Red Hardware Color: Gold Tone Clair Code: HB.GC.ARLT.PY.LG Item Number: 48907/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48907-1_20Gucci_20Arli_20Top_20Handle_20Bag_20Python_20Large_2D_0002_grande.jpg?v=1575953197"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""2335"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-arli-top-handle-bag-python-large489071?variant=31191991484486""
            }}
</script>
"
Ophidia Cut Out Handle Bag Suede Medium,Gucci,"
            $1,240
        ",/collections/gucci/products/handbags-gucci-ophidia-cut-out-handle-bag-suede-medium499702,Very good,". Minor wear on base corners and suede exterior, bubbling on interior leather trims, stains and wear in interior, scratches on hardware.",Blue,Suede,"Gold Clair Code: MN.GC.OCOH.SUD.ME Item Number: 49970/2"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49970-2_20Gucci_20Ophidia_20Cut_20Out_20Handle_20Bag_20Suede_20Med_2D_0002_grande.jpg?v=1576599652"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1240"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-ophidia-cut-out-handle-bag-suede-medium499702?variant=31264335953990""
            }}
</script>
","Dust Bag, With Strap",,"Handle Drop 2&quot;, Height 9.5&quot;, Width 14&quot;, Depth 3.5&quot;, Strap Drop 11&quot;",49970/2,MN.GC.OCOH.SUD.ME ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $2,600Condition: Very good. Minor wear on base corners and suede exterior, bubbling on interior leather trims, stains and wear in interior, scratches on hardware.  Accessories: Dust Bag, With Strap  Measurements: Handle Drop 2&quot;, Height 9.5&quot;, Width 14&quot;, Depth 3.5&quot;, Strap Drop 11&quot; Designer: Gucci Model: Ophidia Cut Out Handle Bag Suede Medium Exterior Material: Suede Exterior Color: Blue Interior Material: Microfiber Interior Color: Neutral Hardware Color: Gold Clair Code: MN.GC.OCOH.SUD.ME Item Number: 49970/2"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49970-2_20Gucci_20Ophidia_20Cut_20Out_20Handle_20Bag_20Suede_20Med_2D_0002_grande.jpg?v=1576599652"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1240"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-ophidia-cut-out-handle-bag-suede-medium499702?variant=31264335953990""
            }}
</script>
"
GG Marmont Continental Wallet Leather Vertical,Gucci,"
            $425
        ",/collections/gucci/products/handbags-gucci-gg-marmont-continental-wallet-leather-vertical504831,Excellent,". Minor wear on base corners, light scuffs in interior.",Black,Leather,"Gold Tone Clair Code: AC.GC.GGMR.LE.VT Item Number: 50483/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/50483-1_20Gucci_20GG_20Marmont_20Continental_20Wallet_20Leathe_2D_0002_grande.jpg?v=1577185720"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""425"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-gg-marmont-continental-wallet-leather-vertical504831?variant=31269812404294""
            }}
</script>
",Dust Bag,,"Height 5.5&quot;, Width 3&quot;, Depth .5&quot;",50483/1,AC.GC.GGMR.LE.VT ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $560Condition: Excellent. Minor wear on base corners, light scuffs in interior.  Accessories: Dust Bag  Measurements: Height 5.5&quot;, Width 3&quot;, Depth .5&quot; Designer: Gucci Model: GG Marmont Continental Wallet Leather Vertical Exterior Material: Leather Exterior Color: Black Interior Material: Leather Interior Color: Black Hardware Color: Gold Tone Clair Code: AC.GC.GGMR.LE.VT Item Number: 50483/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/50483-1_20Gucci_20GG_20Marmont_20Continental_20Wallet_20Leathe_2D_0002_grande.jpg?v=1577185720"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""425"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-gg-marmont-continental-wallet-leather-vertical504831?variant=31269812404294""
            }}
</script>
"
Dionysus Bag Python Medium,Gucci,"
            $1,700
        ",/collections/gucci/products/handbags-gucci-dionysus-bag-python-medium494901,Excellent,". Slight lifting of scales on exterior, minimal wear in interior, scratches on hardware.","Multi Color, Red","Python, Exotic","Aged Silver Clair Code: HB.GC.DYS.PY.ME Item Number: 49490/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49490-1_20Gucci_20Dionysus_20Bag_20Python_20Medium_2D_0002_grande.jpg?v=1575953257"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1700"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-bag-python-medium494901?variant=31215624159302""
            }}
</script>
",Dust Bag,,"Handle Drop 8.5&quot;, Height 8.5&quot;, Width 11.5&quot;, Depth 3.5&quot;, Strap Drop 14&quot;",49490/1,HB.GC.DYS.PY.ME ," These are professional pictures of the actual bag offered by Rebag. This item can only be shipped within the United States. Estimated Retail Price: $4,500Condition: Excellent. Slight lifting of scales on exterior, minimal wear in interior, scratches on hardware.  Accessories: Dust Bag  Measurements: Handle Drop 8.5&quot;, Height 8.5&quot;, Width 11.5&quot;, Depth 3.5&quot;, Strap Drop 14&quot; Designer: Gucci Model: Dionysus Bag Python Medium Exterior Material: Python, Exotic Exterior Color: Multi Color, Red Interior Material: Microfiber Interior Color: Neutral Hardware Color: Aged Silver Clair Code: HB.GC.DYS.PY.ME Item Number: 49490/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49490-1_20Gucci_20Dionysus_20Bag_20Python_20Medium_2D_0002_grande.jpg?v=1575953257"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1700"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-bag-python-medium494901?variant=31215624159302""
            }}
</script>
"
Zumi Shoulder Bag Leather Small,Gucci,"
            $1,460
        ",/collections/gucci/products/handbags-gucci-zumi-shoulder-bag-leather-small49743133,Great,". Small indentations and scuffs on exterior, light wear underneath flap and in interior, scratches on hardware.",Red,Leather,"Gold Clair Code: HB.GC.ZSBA.LE.SM Item Number: 49743/133"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49743-133_20Gucci_20Zumi_20Shoulder_20Bag_20Leather_20Small_2D_0002_grande.jpg?v=1576174305"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1460"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-zumi-shoulder-bag-leather-small49743133?variant=31257230737478""
            }}
</script>
",No Accessories,,"Handle Drop 3.5&quot;, Height 6&quot;, Width 10&quot;, Depth 2&quot;, Strap Drop 20-22.5&quot;",49743/133,HB.GC.ZSBA.LE.SM ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $2,600Condition: Great. Small indentations and scuffs on exterior, light wear underneath flap and in interior, scratches on hardware.  Accessories: No Accessories  Measurements: Handle Drop 3.5&quot;, Height 6&quot;, Width 10&quot;, Depth 2&quot;, Strap Drop 20-22.5&quot; Designer: Gucci Model: Zumi Shoulder Bag Leather Small Exterior Material: Leather Exterior Color: Red Interior Material: Leather Interior Color: Neutral Hardware Color: Gold Clair Code: HB.GC.ZSBA.LE.SM Item Number: 49743/133"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49743-133_20Gucci_20Zumi_20Shoulder_20Bag_20Leather_20Small_2D_0002_grande.jpg?v=1576174305"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1460"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-zumi-shoulder-bag-leather-small49743133?variant=31257230737478""
            }}
</script>
"
Animalier Drawstring Backpack GG Coated Canvas Large,Gucci,"
            $830
        ",/collections/gucci/products/handbags-gucci-animalier-drawstring-backpack-gg-coated-canvas-large49678140,Excellent,". Light wear on base corners, scratches on hardware.",Brown,Canvas (Coated),"Aged Gold Clair Code: HB.GC.ALDB.GCCV.LG Item Number: 49678/140"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49678-140_20Gucci_20Animalier_20Drawstring_20Backpack_20GG_20C_2D_0002_grande.jpg?v=1575953322"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""830"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-animalier-drawstring-backpack-gg-coated-canvas-large49678140?variant=31223574396998""
            }}
</script>
",No Accessories,,"Handle Drop 3.5&quot;, Height 17.5&quot;, Width 15&quot;, Depth 2&quot;, Strap Drop 10&quot;",49678/140,HB.GC.ALDB.GCCV.LG ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $880Condition: Excellent. Light wear on base corners, scratches on hardware.  Accessories: No Accessories  Measurements: Handle Drop 3.5&quot;, Height 17.5&quot;, Width 15&quot;, Depth 2&quot;, Strap Drop 10&quot; Designer: Gucci Model: Animalier Drawstring Backpack GG Coated Canvas Large Exterior Material: Canvas (Coated) Exterior Color: Brown Interior Material: Nylon Interior Color: Brown Hardware Color: Aged Gold Clair Code: HB.GC.ALDB.GCCV.LG Item Number: 49678/140"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49678-140_20Gucci_20Animalier_20Drawstring_20Backpack_20GG_20C_2D_0002_grande.jpg?v=1575953322"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""830"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-animalier-drawstring-backpack-gg-coated-canvas-large49678140?variant=31223574396998""
            }}
</script>
"
Logo Drawstring Backpack Striped Raffia Large,Gucci,"
            $765
        ",/collections/gucci/products/handbags-gucci-logo-drawstring-backpack-striped-raffia-large5154133,Great,". Wear on exterior edges, light wear in interior, scratches o hardware.","Blue, Multicolor, Red, White",Raffia,"Aged Gold Clair Code: HB.GC.CODB.STRA.LG Item Number: 51541/33"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/51541-33_20Gucci_20Logo_20Drawstring_20Backpack_20Striped_20Ra_2D_0002_grande.jpg?v=1579284821"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""765"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-logo-drawstring-backpack-striped-raffia-large5154133?variant=31321890324550""
            }}
</script>
",No Accessories,,"Handle Drop 3&quot;, Height 17&quot;, Width 14.5&quot;, Depth 1&quot;, Strap Drop 9.5&quot;",51541/33,HB.GC.CODB.STRA.LG ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $1,000Condition: Great. Wear on exterior edges, light wear in interior, scratches o hardware.  Accessories: No Accessories  Measurements: Handle Drop 3&quot;, Height 17&quot;, Width 14.5&quot;, Depth 1&quot;, Strap Drop 9.5&quot; Designer: Gucci Model: Logo Drawstring Backpack Striped Raffia Large Exterior Material: Raffia Exterior Color: Blue, Multicolor, Red, White Interior Material: Fabric Interior Color: Red Hardware Color: Aged Gold Clair Code: HB.GC.CODB.STRA.LG Item Number: 51541/33"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/51541-33_20Gucci_20Logo_20Drawstring_20Backpack_20Striped_20Ra_2D_0002_grande.jpg?v=1579284821"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""765"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-logo-drawstring-backpack-striped-raffia-large5154133?variant=31321890324550""
            }}
</script>
"
Signoria Hobo Fur with Leather Large,Gucci,"
            $470
        ",/collections/gucci/products/handbags-gucci-signoria-hobo-fur-with-leather-large517085,Fair,". Moderate creasing and wear on exterior, discoloration in interior, scratches on hardware.",Brown,"Fur, Leather","Gold Tone Clair Code: HB.GC.SGH.FWLT.LG Item Number: 51708/5"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/51708-5_20Gucci_20Signoria_20Hobo_20Fur_20with_20Leather_20Large_2D_0002_grande.jpg?v=1579798369"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""470"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-signoria-hobo-fur-with-leather-large517085?variant=31331330588742""
            }}
</script>
",Dust Bag,,"Handle Drop 5&quot;, Height 14&quot;, Width 15.5&quot;, Depth 4&quot;",51708/5,HB.GC.SGH.FWLT.LG ," These are professional pictures of the actual bag offered by Rebag. This item can only be shipped within the United States. Estimated Retail Price: $2,995Condition: Fair. Moderate creasing and wear on exterior, discoloration in interior, scratches on hardware.  Accessories: Dust Bag  Measurements: Handle Drop 5&quot;, Height 14&quot;, Width 15.5&quot;, Depth 4&quot; Designer: Gucci Model: Signoria Hobo Fur with Leather Large Exterior Material: Fur, Leather Exterior Color: Brown Interior Material: Suede Interior Color: Brown Hardware Color: Gold Tone Clair Code: HB.GC.SGH.FWLT.LG Item Number: 51708/5"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/51708-5_20Gucci_20Signoria_20Hobo_20Fur_20with_20Leather_20Large_2D_0002_grande.jpg?v=1579798369"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""470"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-signoria-hobo-fur-with-leather-large517085?variant=31331330588742""
            }}
</script>
"
Ophidia Top Handle Bag Suede Small,Gucci,"
            $910
        ",/collections/gucci/products/handbags-gucci-ophidia-top-handle-bag-suede-small485421,Good,". Missing strap base hardware. Minor wear on exterior, handles and in interior, scratches on hardware.",Red,Suede,"Gold Clair Code: HB.GC.OPHT.SUD.SM Item Number: 48542/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48542-1_20Gucci_20Ophidia_20Top_20Handle_20Bag_20Suede_20Small_2D_0002_grande.jpg?v=1575953229"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""910"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-ophidia-top-handle-bag-suede-small485421?variant=31200382025798""
            }}
</script>
",With Strap,,"Handle Drop 4&quot;, Height 8&quot;, Width 9.5&quot;, Depth 4&quot;, Strap Drop 21.5&quot;",48542/1,HB.GC.OPHT.SUD.SM ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $2,150Condition: Good. Missing strap base hardware. Minor wear on exterior, handles and in interior, scratches on hardware.  Accessories: With Strap  Measurements: Handle Drop 4&quot;, Height 8&quot;, Width 9.5&quot;, Depth 4&quot;, Strap Drop 21.5&quot; Designer: Gucci Model: Ophidia Top Handle Bag Suede Small Exterior Material: Suede Exterior Color: Red Interior Material: Microfiber Interior Color: Neutral Hardware Color: Gold Clair Code: HB.GC.OPHT.SUD.SM Item Number: 48542/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48542-1_20Gucci_20Ophidia_20Top_20Handle_20Bag_20Suede_20Small_2D_0002_grande.jpg?v=1575953229"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""910"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-ophidia-top-handle-bag-suede-small485421?variant=31200382025798""
            }}
</script>
"
Nymphaea Top Handle Bag Leather Medium,Gucci,"
            $875
        ",/collections/gucci/products/handbags-gucci-nymphaea-top-handle-bag-leather-medium4965141,Great,". Scuffs and creasing on exterior, minor wear on strap and in interior, scuffs on interior opening trim, scratches on hardware.","Black, Red",Leather,"Gold Clair Code: HB.GC.NMPW.LE.ME Item Number: 49651/41"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49651-41_20Gucci_20Nymphaea_20Top_20Handle_20Bag_20Leather_20Med_2D_0002_grande.jpg?v=1575953230"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""875"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-nymphaea-top-handle-bag-leather-medium4965141?variant=31200387301446""
            }}
</script>
",With Strap,,"Handle Drop 4&quot;, Height 10&quot;, Width 14.5&quot;, Depth 6&quot;, Strap Drop 17.5&quot;",49651/41,HB.GC.NMPW.LE.ME ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $2,890Condition: Great. Scuffs and creasing on exterior, minor wear on strap and in interior, scuffs on interior opening trim, scratches on hardware.  Accessories: With Strap  Measurements: Handle Drop 4&quot;, Height 10&quot;, Width 14.5&quot;, Depth 6&quot;, Strap Drop 17.5&quot; Designer: Gucci Model: Nymphaea Top Handle Bag Leather Medium Exterior Material: Leather Exterior Color: Black, Red Interior Material: Microfiber Interior Color: Neutral Hardware Color: Gold Clair Code: HB.GC.NMPW.LE.ME Item Number: 49651/41"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49651-41_20Gucci_20Nymphaea_20Top_20Handle_20Bag_20Leather_20Med_2D_0002_grande.jpg?v=1575953230"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""875"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-nymphaea-top-handle-bag-leather-medium4965141?variant=31200387301446""
            }}
</script>
"
Dionysus Bag Python Medium,Gucci,"
            $1,700
        ",/collections/gucci/products/handbags-gucci-dionysus-bag-python-medium489571,Excellent,". Minor wear on exterior and in interior, faint indentations underneath flap, scratches on hardware.","Multi Color, Blue, Red, White",Python,"Silver Clair Code: HB.GC.DYS.PY.ME Item Number: 48957/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48957-1_20Gucci_20Dionysus_20Bag_20Python_20Medium_2D_0002_grande.jpg?v=1575953257"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1700"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-bag-python-medium489571?variant=31215624552518""
            }}
</script>
",Dust Bag,,"Handle Drop 8.5&quot;, Height 9&quot;, Width 12&quot;, Depth 3&quot;, Strap Drop 14.5&quot;",48957/1,HB.GC.DYS.PY.ME ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $4,500Condition: Excellent. Minor wear on exterior and in interior, faint indentations underneath flap, scratches on hardware.  Accessories: Dust Bag  Measurements: Handle Drop 8.5&quot;, Height 9&quot;, Width 12&quot;, Depth 3&quot;, Strap Drop 14.5&quot; Designer: Gucci Model: Dionysus Bag Python Medium Exterior Material: Python Exterior Color: Multi Color, Blue, Red, White Interior Material: Microfiber Interior Color: Neutral Hardware Color: Silver Clair Code: HB.GC.DYS.PY.ME Item Number: 48957/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48957-1_20Gucci_20Dionysus_20Bag_20Python_20Medium_2D_0002_grande.jpg?v=1575953257"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1700"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-bag-python-medium489571?variant=31215624552518""
            }}
</script>
"
RE(BELLE) Shoulder Bag Leather Small,Gucci,"
            $1,350
        ",/collections/gucci/products/handbags-gucci-rebelle-shoulder-bag-leather-small519441,Excellent,". Slight creasing on exterior, minimal wear in interior, scratches on hardware.",Black,Leather,"Aged Gold Clair Code: HB.GC.RBL.LE.SM Item Number: 51944/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/51944-1_20Gucci_20RE_BELLE_20Shoulder_20Bag_20Leather_20Small_2D_0002_grande.jpg?v=1579798502"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1350"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-rebelle-shoulder-bag-leather-small519441?variant=31331333734470""
            }}
</script>
",With Strap,,"Height 7&quot;, Width 11&quot;, Depth 1.5&quot;, Strap Drop 19.5-23.5&quot;",51944/1,HB.GC.RBL.LE.SM ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $1,980Condition: Excellent. Slight creasing on exterior, minimal wear in interior, scratches on hardware.  Accessories: With Strap  Measurements: Height 7&quot;, Width 11&quot;, Depth 1.5&quot;, Strap Drop 19.5-23.5&quot; Designer: Gucci Model: RE(BELLE) Shoulder Bag Leather Small Exterior Material: Leather Exterior Color: Black Interior Material: Microfiber Interior Color: Neutral Hardware Color: Aged Gold Clair Code: HB.GC.RBL.LE.SM Item Number: 51944/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/51944-1_20Gucci_20RE_BELLE_20Shoulder_20Bag_20Leather_20Small_2D_0002_grande.jpg?v=1579798502"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1350"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-rebelle-shoulder-bag-leather-small519441?variant=31331333734470""
            }}
</script>
"
Trapuntata Wristlet Quilted Laminated Leather,Gucci,"
            $570
        ",/collections/gucci/products/handbags-gucci-trapuntata-wristlet-quilted-laminated-leather50728159,Excellent,". Minimal wear in interior, scratches on hardware.","Gold, Green, Multicolor, Red",Leather,"Gold, Silver Clair Code: HB.GC.TRAW.QLML Item Number: 50728/159"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/50728-159_20Gucci_20Trapuntata_20Wristlet_20Quilted_20Lamina_2D_0002_grande.jpg?v=1579285536"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""570"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-trapuntata-wristlet-quilted-laminated-leather50728159?variant=31321898549318""
            }}
</script>
",No Accessories,,"Handle Drop 6&quot;, Height 4&quot;, Width 7&quot;, Depth 1.5&quot;",50728/159,HB.GC.TRAW.QLML ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $950Condition: Excellent. Minimal wear in interior, scratches on hardware.  Accessories: No Accessories  Measurements: Handle Drop 6&quot;, Height 4&quot;, Width 7&quot;, Depth 1.5&quot; Designer: Gucci Model: Trapuntata Wristlet Quilted Laminated Leather Exterior Material: Leather Exterior Color: Gold, Green, Multicolor, Red Interior Material: Fabric Interior Color: Print Hardware Color: Gold, Silver Clair Code: HB.GC.TRAW.QLML Item Number: 50728/159"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/50728-159_20Gucci_20Trapuntata_20Wristlet_20Quilted_20Lamina_2D_0002_grande.jpg?v=1579285536"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""570"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-trapuntata-wristlet-quilted-laminated-leather50728159?variant=31321898549318""
            }}
</script>
"
