productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode,fulldescr
"Padlock Top Handle Bag GG Coated Canvas and Leather Small Item Number: 46100/4"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46100-4_20Gucci_20Padlock_20Top_20Handle_20Bag_20GG_20Coated_20Can_2D_0002_grande.jpg?v=1575952598"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1050"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-padlock-top-handle-bag-gg-coated-canvas-and-leather-small461004?variant=30326735994950""
            }}
</script>
",Gucci,"
            $1,050
        ",/collections/gucci/products/handbags-gucci-padlock-top-handle-bag-gg-coated-canvas-and-leather-small461004,Very good,". Odor in interior. Scuffs on and underneath flap, light cracking on hand base wax edges, minor wear in interior, scratches on hardware.",,,,"Clochette, With Strap",,"Handle Drop 3.5&quot;, Height 7.5&quot;, Width 11&quot;, Depth 4.5&quot;, Strap Drop 20-22&quot;",46100/4,,"This Gucci Padlock Top Handle Bag GG Coated Canvas and Leather Small, crafted in brown GG coated canvas and red and pink leather, features single loop leather handle, exterior back slip pocket, and gold-tone hardware. Its S-lock closure opens to a brown microfiber interior with zip and slip and pockets"
"Dionysus Bag Python Medium Item Number: 46783/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46783-1_20Gucci_20Dionysus_20Bag_20Python_20Medium_2D_0002_grande.jpg?v=1575952596"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1455"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-bag-python-medium467831?variant=30326734716998""
            }}
</script>
",Gucci,"
            $1,455
        ",/collections/gucci/products/handbags-gucci-dionysus-bag-python-medium467831,Excellent,". Slight creasing and wear underneath flap, small marks in interior, scratches on hardware.",,,,Dust Bag,,"Handle Drop 8&quot;, Height 8&quot;, Width 12&quot;, Depth 3&quot;, Strap Drop 14&quot;",46783/1,,"This Gucci Dionysus Bag Python Medium, crafted from genuine blue and multicolor python skin, features chain link strap, textured tiger head spur detail on its flap, and aged silver-tone hardware. Its hidden push-pin closure opens to a neutral microfiber interior with middle zip compartment"
"Web Dionysus Bag Embroidered Leather Small Item Number: 47617/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47617-1_20Gucci_20Web_20Dionysus_20Bag_20Embroidered_20Leather_2D_0002_grande.jpg?v=1575952652"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1520"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-web-dionysus-bag-embroidered-leather-small476171?variant=30551392026694""
            }}
</script>
",Gucci,"
            $1,520
        ",/collections/gucci/products/handbags-gucci-web-dionysus-bag-embroidered-leather-small476171,Excellent,". Slight creasing underneath flap, minimal wear in interior, scratches on hardware.",,,,Dust Bag,,"Handle Drop 9&quot;, Height 7&quot;, Width 11&quot;, Depth 3.5&quot;, Strap Drop 14.5&quot;",47617/1,,"This Gucci Web Dionysus Bag Embroidered Leather Small, crafted from red leather, features chain link strap, textured tiger head spur detail on its flap, floral embroidery, and aged silver-tone hardware. Its hidden push-pin closure opens to a neutral printed fabric interior divided into two compartments with middle zip compartment"
"Web Dionysus Bag Embroidered Leather Small Item Number: 47382/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47382-1_20Gucci_20Web_20Dionysus_20Bag_20Embroidered_20Leather_2D_0002_grande.jpg?v=1575952663"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1520"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-web-dionysus-bag-embroidered-leather-small473821?variant=30552050204742""
            }}
</script>
",Gucci,"
            $1,520
        ",/collections/gucci/products/handbags-gucci-web-dionysus-bag-embroidered-leather-small473821,Excellent,". Slight bubbling underneath flap, scratches on hardware.",,,,No Accessories,,"Handle Drop 9&quot;, Height 6&quot;, Width 11&quot;, Depth 3&quot;, Strap Drop 14&quot;",47382/1,,"This Gucci Web Dionysus Bag Embroidered Leather Small, crafted from red leather, features chain link strap, textured tiger head spur detail on its flap, floral embroidery, and aged gold and aged silver-tone hardware. Its hidden push-pin closure opens to a neutral printed fabric interior divided into two compartments with middle zip compartment"
"GG Marmont Zip Tote Matelasse Python Medium Item Number: 46979/2"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46979-2_20Gucci_20GG_20Marmont_20Zip_20Tote_20Matelasse_20Python_2D_0002_grande.jpg?v=1575952614"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1345"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-gg-marmont-zip-tote-matelasse-python-medium469792?variant=30326890922054""
            }}
</script>
",Gucci,"
            $1,345
        ",/collections/gucci/products/handbags-gucci-gg-marmont-zip-tote-matelasse-python-medium469792,Great,". Moderate wear on base corners, slight lifting of scales on exterior, small marks in interior, scratches on hardware.",,,,Dust Bag,,"Handle Drop 12&quot;, Height 11&quot;, Width 15&quot;, Depth 2.5&quot;",46979/2,,"This Gucci GG Marmont Zip Tote Matelasse Python Medium, crafted from genuine brown python skin, features dual chain link straps with leather pads, GG logo, and aged gold-tone hardware. Its push-lock closure opens to a neutral microfiber interior with zip pocket"
"Web Dionysus Bag Embroidered Leather Small Item Number: 47757/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47757-1_20Gucci_20Web_20Dionysus_20Bag_20Embroidered_20Leather_2D_0003_grande.jpg?v=1575952763"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1605"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-web-dionysus-bag-embroidered-leather-small477571?variant=30930663407686""
            }}
</script>
",Gucci,"
            $1,605
        ",/collections/gucci/products/handbags-gucci-web-dionysus-bag-embroidered-leather-small477571,Excellent,". Minimal wear on exterior and in interior, scratches on hardware.",,,,Dust Bag,,"Handle Drop 9&quot;, Height 6&quot;, Width 11&quot;, Depth 3&quot;, Strap Drop 14.5&quot;",47757/1,,"This Gucci Web Dionysus Bag Embroidered Leather Small, crafted from red leather, features chain link strap, textured tiger head spur detail on its flap, floral embroidery, and aged gold and aged silver-tone hardware. Its hidden push-pin closure opens to a neutral printed fabric interior divided into two compartments with middle zip compartment"
"Animalier Broadway Bow Flap Bag Leather Mini Item Number: 44712/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/44712-1_20Gucci_20Animalier_20Broadway_20Bow_20Flap_20Bag_20Leat_2D_0002_grande.jpg?v=1575952646"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""990"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-animalier-broadway-bow-flap-bag-leather-mini447121?variant=30326941548614""
            }}
</script>
",Gucci,"
            $990
        ",/collections/gucci/products/handbags-gucci-animalier-broadway-bow-flap-bag-leather-mini447121,Very good,". Indentations, creasing, and scuffs on exterior, strap base, underneath flap and in interior, scratches on hardware.",,,,With Strap,,"Handle Drop 9.5&quot;, Height 6&quot;, Width 9.5&quot;, Depth 4&quot;, Strap Drop 21&quot;",44712/1,,"This Gucci Animalier Broadway Bow Flap Bag Leather Mini, crafted from black leather, features chain link strap, bow with feline head, and aged gold-tone hardware. Its magnetic closure opens to a pink leather interior with slip pocket"
"1973 Top Handle Bag Python Small Item Number: 48126/68"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48126-68_20Gucci_201973_20Top_20Handle_20Bag_20Python_20Small_2D_0002_grande.jpg?v=1575952861"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""475"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-1973-top-handle-bag-python-small4812668?variant=31035676229702""
            }}
</script>
",Gucci,"
            $475
        ",/collections/gucci/products/handbags-gucci-1973-top-handle-bag-python-small4812668,Great,". Minor creasing and curling on exterior, minor wear in interior, cracking on opening trim wax edges, scratches on hardware.",,,,No Accessories,,"Handle Drop 4&quot;, Height 6&quot;, Width 8.5&quot;, Depth 3&quot;",48126/68,,"This Gucci 1973 Top Handle Bag Python Small, crafted from genuine gold python, features dual flat leather handles, vintage-style GG logo on the flap, protective base studs and gold-tone hardware. Its two-way zip closure opens to a gold leather interior with zip and slip pockets"
"Nymphaea Top Handle Bag Leather Mini Item Number: 45427/111"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/45427-111_20Gucci_20Nymphaea_20Top_20Handle_20Bag_20Leather_20Mi_2D_0002_grande.jpg?v=1575952713"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""825"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-nymphaea-top-handle-bag-leather-mini45427111?variant=30703815524422""
            }}
</script>
",Gucci,"
            $825
        ",/collections/gucci/products/handbags-gucci-nymphaea-top-handle-bag-leather-mini45427111,Excellent,". Slight indentations and creasing on exterior, mark on base, fraying on strap, scratches on hardware.",,,,"Dust Bag, With Strap",,"Handle Drop 4&quot;, Height 6.5&quot;, Width 9.5&quot;, Depth 3&quot;, Strap Drop 19&quot;",45427/111,,"This Gucci Nymphaea Top Handle Bag Leather Mini, crafted in pink leather, features bamboo top handle with pearls and gold-tone hardware. Its magnetic snap closure opens to a gray microfiber interior with zip pocket"
"Zumi Top Handle Bag Leather Small Item Number: 47819/9"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47819-9_20Gucci_20Zumi_20Top_20Handle_20Bag_20Leather_20Medium_2D_0002_grande.jpg?v=1575952872"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""2050"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-zumi-top-handle-bag-leather-medium478199?variant=31035701002310""
            }}
</script>
",Gucci,"
            $2,050
        ",/collections/gucci/products/handbags-gucci-zumi-top-handle-bag-leather-medium478199,Excellent,". Slight creasing and wear in interior, scratches on hardware.",,,,With Strap,,"Handle Drop 5&quot;, Height 10&quot;, Width 11.5&quot;, Depth 5&quot;, Strap Drop 14.5-17.5&quot;",47819/9,,"This Gucci Zumi Top Handle Bag Leather Small, crafted in gray leather, features dual leather handles, Interlocking G Horsebit detail, top frame with a hinged lock on each side and silver-tone hardware. Its flip-lock closure opens to a neutral leather interior with zip and slip pockets"
