productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Monogram Sully MM,https://www.fashionphile.com/louis-vuitton-monogram-sully-mm-454897,"
                                                    $1,165                                            ",Louis Vuitton,"1,650",454897,Handbags,13.75 ,12 ,5 ,3.75 ,2014,,We guarantee this is an authentic LOUIS VUITTON Monogram Sully MM or 100% of your money back. This chic hobo is finely crafted of classic Louis Vuitton monogram coated canvas. This shoulder bag features a thick vachetta leather shoulder strap with polished brass round links attached on each end by vachetta loops. The top zippers open to a cocoa fabric interior with patch pockets. This is an excellent hobo for day with the luxury and style of Louis Vuitton!,Very G,"Patina of vachetta , edge wear , faint corner wea",Scratch(es),"Scuffs , patina , liquid marks",Residue marks,
Damier Ebene Jersey Black,https://www.fashionphile.com/louis-vuitton-damier-ebene-jersey-black-517080,"
                                                    $1,825                                            ",Louis Vuitton,"2,300",517080,Crossbody,12 ,10.75 ,5.5 ,17.5 ,2018,"rap, lock & 2 keys, cloc","We guarantee this is an authentic LOUIS VUITTON Damier Ebene Jersey Black or 100% of your money back. This stylish bag is beautifully crafted of signature Louis Vuitton damier checkered on coated canvas and leather in brown and black. It features a black leather trim down the center on both sides, brown leather handles, and an optional black leather shoulder strap with polished brass hardware. The top zipper opens to a black microfiber interior with patch pockets. This is an ideal tote for everyday necessities, with the luxury and style of Louis Vuitton!",Very G,Marks,"Scratch(es) , plating","Scuffs , marks","Surface wear, edge wea",
Monogram Bumbag,https://www.fashionphile.com/louis-vuitton-monogram-bumbag-515354,"
                                                    $2,295                                            ",Louis Vuitton,,515354,Belt Bags,14 ,6 ,4.75 ,47.5 ,2019,dust bag,"We guarantee this is an authentic LOUIS VUITTON Monogram Bumbag or 100% of your money back. This stylish belt bag is created out of traditional Louis Vuitton monogram on toile canvas. The bag features a vachetta cowhide leather top handle, an adjustable waist strap and a front and rear zipper pocket. The zipper opens to a black fabric interior. This is an excellent belt bag that is chic and practical from Louis Vuitton!",New,,,,,
Damier Azur Neo Neverfull MM Rose Ballerine,https://www.fashionphile.com/louis-vuitton-damier-azur-neo-neverfull-mm-rose-ballerine-516718,"
                                                    $1,495                                            ",Louis Vuitton,,516718,Handbags,12.5 ,11.5 ,6.25 ,8 ,2016,(pochette not included),"We guarantee this is an authentic LOUIS VUITTON Damier Azur Neo Neverfull MM Rose Ballerine or 100% of your money back. This stylish tote is crafted of Louis Vuitton's signature Damier coated canvas in blue and white. The bag features vachetta cowhide leather trim, shoulder straps, and side cinch cords with polished brass hardware. The top is open to a light pink striped fabric interior with a hanging zipper pocket. This is a chic tote for daily events, with the luxury and style of Louis Vuitton!",Excell,"Creases, patina of vachetta , edge wear , faint corner wea",Faint scratch(es),Pati,Marks,Missing poc
Damier Azur Speedy 30,https://www.fashionphile.com/louis-vuitton-damier-azur-speedy-30-515323,"
                                                    $1,095                                            ",Louis Vuitton,"1,160",515323,Handbags,12.25 ,8.5 ,7 ,3.25 ,2018,"lock, 2 key","We guarantee this is an authentic LOUIS VUITTON Damier Azur Speedy 30 or 100% of your money back. This stylish tote is crafted of Louis Vuitton damier coated canvas in blue and white. The handbag features natural vachetta cowhide leather trim and rolled top handles with polished brass hardware. The top zipper opens the bag to an interior of beige fabric with a hanging zipper pocket. This is a beautifully spacious handbag, with the luxury and style of Louis Vuitton!",Excell,"Liquid marks, faint corner wea",Faint scratch(es),"Patina , liquid marks",,
Monogram Keepall 50,https://www.fashionphile.com/louis-vuitton-monogram-keepall-50-515230,"
                                                    $650                                            ",Louis Vuitton,"1,440",515230,Handbags,20.25 ,11 ,9 ,4 ,1987,,"We guarantee this is an authentic LOUIS VUITTON Monogram Keepall 50 or 100% of your money back. This stylish duffel is crafted of monogram coated canvas. It features vachetta leather top handles and brass hardware. The top zippers open to a cocoa brown fabric interior. This is a perfect duffel for overnight and weekend travel, from Louis Vuitton!",Very G,"Corner wear, scuffs , patina of vachetta , edge wear , cracks, marks, missing stitches","Oxidation , tarnish","Scuffs , wear at resin glazing, patina , liquid marks, frayed stitch(es)","Musty odor, marks",
Empreinte Sorbonne Backpack Black,https://www.fashionphile.com/louis-vuitton-empreinte-sorbonne-backpack-black-514883,"
                                                    $2,095                                            ",Louis Vuitton,"2,590",514883,Backpacks,9.25 ,10.75 ,5.25 ,11.25 ,2018,dust bag,"We guarantee this is an authentic LOUIS VUITTON Empreinte Sorbonne Backpack Black or 100% of your money back. This backpack is crafted of Louis Vuitton monogram-embossed calfskin leather in black. The backpack features a front zipper pocket, a sturdy leather top handle, and adjustable shoulder straps. The polished brass wrap-around zippers open the bag to a grey striped fabric interior with patch and zipper pockets. This is a versatile backpack with timeless appeal, ideal for everyday essentials, by Louis Vuitton!",Excell,,Faint scratch(es),Sizing marks,,
Monogram Speedy Bandouliere 30,https://www.fashionphile.com/louis-vuitton-monogram-speedy-bandouliere-30-514424,"
                                                    $1,395                                            ",Louis Vuitton,"1,640",514424,Crossbody,12.25 ,8.5 ,7.25 ,18.5 ,2013,"rap, strap extender, lock (key not included)","We guarantee this is an authentic LOUIS VUITTON Monogram Speedy Bandouliere 30 or 100% of your money back. This stylish tote is crafted of Louis Vuitton's signature monogram coated canvas. The bag features vachetta rolled top handles and an adjustable shoulder strap with polished brass hardware. The top zippers open to a cocoa brown fabric interior with a hanging patch pocket and handy D-ring. This tote is ideal for everyday use, with the luxury and style of Louis Vuitton!",Very G,"Corner wear, warped or bent, creases, patina of vachetta , edge wear , liquid marks","Scratch(es) , tarnish","Edge wear , creases, scuffs , patina , liquid marks, sizing marks","Surface wear, marks",Missing lock and/or key(s)
Monogram Pochette Twin PM,https://www.fashionphile.com/louis-vuitton-monogram-pochette-twin-pm-513869,"
                                                    $695                                            ",Louis Vuitton,,513869,Clutch & Evening,7.5 ,3.25 ,1 ,20.25 ,1999,rap,"We guarantee this is an authentic LOUIS VUITTON Monogram Pochette Twin PM or 100% of your money back. This classic pochette is crafted of classic brown Louis Vuitton monogram on toile canvas. This handbag features a removable vachetta cowhide shoulder strap and a long flap that opens to a beige microfiber interior. This versatile bag can be worn on one shoulder, across the body with the cowhide leather strap or just as a clutch, from Louis Vuitton!",Very G,"Corner wear, warped or bent, patina of vachetta , edge wear , marks","Scratch(es) , tarnish","Edge wear , darkening , patina , structure wear","Musty odor, surface wear, marks",
Mahina Stellar PM Anthracite,https://www.fashionphile.com/louis-vuitton-mahina-stellar-pm-anthracite-508172,"
                                                    $1,075                                            ",Louis Vuitton,"4,700",508172,Handbags,13 ,11 ,6.25 ,10 ,2010,"rap, clochette, lock, 2 key","We guarantee this is an authentic LOUIS VUITTON Mahina Stellar PM Anthracite or 100% of your money back. This stylish Mahina tote is crafted of luxurious Louis Vuitton monogram perforated leather in black. The bag features leather strap top handles and an optional leather shoulder strap with brass hardware. The top zipper opens to a dark brown microfiber interior with zipper and patch pockest. This is an excellent tote, ideal for everyday use, from Louis Vuitton! ",Very G,"Marks, frayed stitch(es)","Scratch(es) , plating",,,
Monogram Pallas Crossbody Safran,https://www.fashionphile.com/louis-vuitton-monogram-pallas-crossbody-safran-482529,"
                                                    $1,205                                            ",Louis Vuitton,,482529,Crossbody,7.75 ,5.5 ,1.5 ,19.5 ,2018,,"We guarantee this is an authentic LOUIS VUITTON Monogram Pallas Crossbody Safran or 100% of your money back. This chic shoulder bag is crafted of classic Louis Vuitton monogram coated canvas, with golden-yellow trim and an adjustable shoulder strap. The bag features an open envelope-style front pocket and a polished brass top zipper that opens to a chocolate brown fabric interior with a patch pocket. This petite bag is suitable for day or evening wear, with the luxury and style of Louis Vuitton!",Excell,Corner wea,Faint scratch(es),Sizing marks,,
Epi Soufflot Black,https://www.fashionphile.com/louis-vuitton-epi-soufflot-black-506895,"
                                                    $525                                            ",Louis Vuitton,"1,280",506895,Handbags,12 ,6 ,5.5 ,7 ,2003,poc,We guarantee this is an authentic LOUIS VUITTON Epi Soufflot Black or 100% of your money back. This barrel style handbag is crafted of signature Louis Vuitton textured epi leather in black. This handbag features leather piping and trim that extends into strap handles. The polished brass top zipper opens to a grey microfiber interior. This is an excellent tote for everyday essentials from Louis Vuitton.,Very G,"Warped or bent, creases, scuffs , marks","Tarnished, plating wear , faint scratch(es)","Creases, scuffs , wear at resin glazing","Musty odor, surface wear, frayed stitch(es)",
Cuir Orfevre Leather Neo Speedy PM Brown,https://www.fashionphile.com/louis-vuitton-cuir-orfevre-leather-neo-speedy-pm-brown-515779,"
                                                    $1,595                                            ",Louis Vuitton,"5,450",515779,Handbags,11.25 ,8 ,7.25 ,4.75 ,2011,"dust bag, insert, 2 clochettes, 2 key","We guarantee this is an authentic LOUIS VUITTON Cuir Orfevre Leather Neo Speedy PM Brown or 100% of your money back. This chic tote is crafted of richly grained calfskin leather in taupe. The bag features a rolled leather top handle and brass hardware. The top zippers open the bag to a brown leather interior with zipper and patch pockets. This is an excellent tote for your everyday essentials, with the luxury and style only from Louis Vuitton! ",Excell,"Corner wear, scuffs , edge wear , hot stamped","Protective plastic sticker(s) intact, faint scratch(es)",,"Scuffs , musty odor, imprints",
Damier Ebene Graceful MM,https://www.fashionphile.com/louis-vuitton-damier-ebene-graceful-mm-515774,"
                                                    $1,295                                            ",Louis Vuitton,"1,480",515774,Handbags,14.5 ,13.25 ,5.5 ,4.75 ,2018,"dust bag, luggage tag","We guarantee this is an authentic LOUIS VUITTON Damier Ebene Graceful MM or 100% of your money back. This stylish shoulder bag is finely crafted of Louis Vuitton signature damier canvas in brown. The shoulder bag features a flat chocolate brown leather shoulder strap with polished brass hardware, and a magnetic leather closure. This opens to a spacious rouge red fabric interior with a zipper pocket. This is an excellent shoulder bag, ideal for everyday essentials, with the luxury and style of Louis Vuitton!",Very G,"Creases, faint corner wea",Faint scratch(es),Scuffs,Cigarette od,
Monogram Flower Tote Black,https://www.fashionphile.com/louis-vuitton-monogram-flower-tote-black-515702,"
                                                    $2,350                                            ",Louis Vuitton,"2,500",515702,Handbags,13.5 ,9.25 ,5.25 ,11.25 ,2019,"box, dust bag, strap, clochette, lock, 2 key","We guarantee this is an authentic LOUIS VUITTON Monogram Flower Tote Black or 100% of your money back. This chic tote is finely crafted of classic Louis Vuitton monogram coated canvas in brown. The bag features a leather top handles, optional adjustable shoulder strap, a polished brass lock and keys, a facing turn lock with fleur detail, and a key clochette personalized with the initial ""L"". The top is open to a partitioned black microfiber interior with flat pockets and a central zipper compartment. This is an excellent bag for everyday wear with the luxury and style, from Louis Vuitton!",Excell,"Hot stamped , faint scuffs",Faint scratch(es),Creases,Musty od,
Monogram Keepall Bandouliere 45,https://www.fashionphile.com/louis-vuitton-monogram-keepall-bandouliere-45-515677,"
                                                    $950                                            ",Louis Vuitton,"1,940",515677,Handbags,18 ,10.5 ,8 ,18.5 ,1995,rap,"We guarantee this is an authentic LOUIS VUITTON Monogram Keepall Bandouliere 45 or 100% of your money back. This stylish travel duffel is crafted of signature Louis Vuitton monogram coated canvas. The bag features natural vachetta leather rolled top handles, an optional adjustable shoulder strap, vachetta trim, and brass hardware. The top zippers open to a spacious cocoa brown fabric interior. This is a remarkable tote, ideal for weekend travel or as a carry-on, from Louis Vuitton!",Very G,"Scuffs , patina of vachetta , painted or dyed, liquid marks","Oxidation , scratch(es) , tarnish","Surface wear , edge wear , scuffs , patina , liquid marks, sizing marks",Marks,
Monogram Sac Shopping Tote,https://www.fashionphile.com/louis-vuitton-monogram-sac-shopping-tote-515592,"
                                                    $695                                            ",Louis Vuitton,"1,400",515592,Handbags,10 ,13 ,5.75 ,12 ,1999,,"We guarantee this is an authentic LOUIS VUITTON Monogram Sac Shopping Tote or 100% of your money back. This shopping tote is crafted of monogram coated canvas with vachetta trim and shoulder straps. The top is open to a cocoa brown coated canvas interior with a zipper pocket and a D-ring. This is an ideal everyday bag with the classic, sophisticated style from Louis Vuitton!",Very G,"Corner wear, scuffs , patina of vachetta , edge wear , cracks, liquid marks",,"Edge wear , creases, patina , liquid marks, cracks",Scuffs,
Monogram Keepall 45,https://www.fashionphile.com/louis-vuitton-monogram-keepall-45-515582,"
                                                    $795                                            ",Louis Vuitton,"1,420",515582,Handbags,18.25 ,10.5 ,8 ,4.25 ,2001,luggage tag,"We guarantee this is an authentic LOUIS VUITTON Monogram Keepall 45 or 100% of your money back. This stylish duffel is crafted of signature Louis Vuitton monogram on coated canvas. The bag features vachetta leather trim, rolled top handles, and polished brass hardware. The top zippers open to a spacious cocoa brown fabric interior. This is an excellent travel bag, with the luxury and style of Louis Vuitton!",Very G,"Corner wear, scuffs , patina of vachetta , edge wear , liquid marks",Faint scratch(es),"Patina , liquid marks, marks",,
Monogram Keepall Bandouliere 55,https://www.fashionphile.com/louis-vuitton-monogram-keepall-bandouliere-55-515581,"
                                                    $1,095                                            ",Louis Vuitton,"1,990",515581,Handbags,22 ,12 ,9.75 ,19 ,1994,"rap, luggage tag","We guarantee this is an authentic LOUIS VUITTON Monogram Keepall Bandouliere 55 or 100% of your money back. This stylish duffel is crafted of signature Louis Vuitton monogram on toile canvas. This shoulder bag features vachetta cowhide leather trim including rolled top handles and straps around the midline and side panels. The coated brass top zippers open to a spacious cocoa brown fabric interior. This is an excellent travel bag, by Louis Vuitton!",Very G,"Creases, scuffs , patina of vachetta , liquid marks, faint corner wea","Oxidation , scratch(es) , tarnish","Scuffs , wear at resin glazing, darkening , patina , sizing marks",Musty od,
Monogram Cabas Mezzo,https://www.fashionphile.com/louis-vuitton-monogram-cabas-mezzo-515575,"
                                                    $650                                            ",Louis Vuitton,"1,440",515575,Handbags,13.5 ,12 ,6 ,10.5 ,2000,,"We guarantee this is an authentic LOUIS VUITTON Monogram Cabas Mezzo or 100% of your money back. This stylish shoulder bag is crafted of signature Louis Vuitton monogram coated canvas. It features vachetta cowhide leather shoulder straps, a flat vachetta base, and polished brass hardware. The polished gold top zipper opens to a brown fabric interior with patched pockets as well as a vachetta D-ring to attach your keys or favorite LV accessories. This is a wonderful everyday handbag with luxury and style, from Louis Vuitton!",Very G,"Corner wear, scuffs , patina of vachetta , edge wear , liquid marks","Scratch(es) , tarnish","Edge wear , creases, darkening , patina , liquid marks","Musty odor, marks",
Monogram Sully MM,https://www.fashionphile.com/louis-vuitton-monogram-sully-mm-515569,"
                                                    $1,195                                            ",Louis Vuitton,"1,650",515569,Handbags,13.75 ,12.75 ,4.75 ,4 ,2012,,We guarantee this is an authentic LOUIS VUITTON Monogram Sully MM or 100% of your money back. This chic hobo is finely crafted of classic Louis Vuitton monogram coated canvas. This shoulder bag features a thick vachetta leather shoulder strap with polished brass round links attached on each end by vachetta loops. The top zippers open to a cocoa fabric interior with patch pockets. This is an excellent hobo for day with the luxury and style of Louis Vuitton!,Very G,"dge wear , faint corner wea","Scratch(es) , plating","Creases, scuffs , wear at resin glazing, darkening , pati",Marks,
Monogram Bears Xmas Mini Pochette Accessories,https://www.fashionphile.com/louis-vuitton-monogram-bears-xmas-mini-pochette-accessories-489835,"
                                                    $550                                            ",Louis Vuitton,,489835,Handbags,5.75 ,3.75 ,1.25 ,5.5 ,2018,"box, dust bag","We guarantee this is an authentic LOUIS VUITTON Monogram Bears Xmas Mini Pochette Accessories or 100% of your money back. This small pouch is crafted of traditional monogram coated canvas and features a playful print of bears skiing. The bag features a polished brass chain wrist strap with a clasp at one end. The top zipper opens to a vibrant pink fabric interior. This is a stylish piece for just the necessities, by Louis Vuitton!",Excell,,Faint scratch(es),,Residue marks,
