prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
LOUIS VUITTON YUMA SHOULDER BAG BASALT UTAH LEATHER M92995,/collections/louis-vuitton/products/ao23251,"89,800",TH 3098,"W 7.5 x H 8.3 x D 3.1 ""

Strap Drop. 16.9 - 27.6 """,Brown/ Utah Leather,Dust Bag,Good Condition,Good Condition,-,-,AO23251
LOUIS VUITTON POCHETTE ACCESSOIRES 2WAY HAND BAG MONOGRAM MULTI M92649,/collections/louis-vuitton/products/ao23250,"198,000",SL 1014,"W 8.5 x H 5.1 x D 1.6 ""

Handle Drop. 5.5 ""

Strap Drop. 19.7 - 23.2 ""","White, etc./ Monogram Multi-Color Canvas, Leather","Shoulder Strap, Dust Bag",There is sign of use overall,Good Condition,-,-,AO23250
LOUIS VUITTON SOLOGNE SHOULDER BAG MONOGRAM MULTI M92661,/collections/louis-vuitton/products/ao23248,"228,000",VI 1015,"W 10.2 x H 7.9 x D 3.1 ""

Strap Drop. 18.9 - 23.2 ""","White, etc./ Monogram Multi-Color Canvas, Leather","Manual, Dust Bag, Box","Excellent Condition

Suntanned",Excellent Condition,-,-,AO23248
LOUIS VUITTON LEOPARD SPEEDY HAND BAG BEIGE STEVEN SPROUSE M9739,/collections/louis-vuitton/products/ao23228,"168,000",FL 3172,"W 12.2 x H 9.8 x D 7.5 ""

Handle Drop. 4.3 ""","Beige, Black/ Jacquard Canvas, Leather",Name Tag,Good Condition,Good Condition,-,-,AO23228
LOUIS VUITTON SAC DEPAULE PM SHOULDER BAG EPI RED M80197,/collections/louis-vuitton/products/ao23182,"79,800",VI1914,"W 10.4 x H 11.4 x D 5.7 ""

Strap Drop. 13.4 - 15.4 """,Brown/ Epi Leather,-,"Good Condition

Minor Crack",Good Condition,-,Smell of cigarette,AO23182
LOUIS VUITTON MINI AMAZON SHOULDER BAG MONOGRAM M45238,/collections/louis-vuitton/products/ao23175,"49,800",854,"W 4.7 x H 7.1 x D 3.0 ""

Strap Drop. 19.7 - 23.2 ""","Brown/ Monogram Canvas, Leather",-,"There is sign of use overall

Leather part: Scuff, Crack, Tear","There is sign of use overall

Pen mark",Mold stains,Smell of perfume,AO23175
LOUIS VUITTON BAGGY GM SHOULDER BAG INDIGO MONOGRAM DENIM M95048,/collections/louis-vuitton/products/ao23110,"168,000",FL 1015(Bag) / TH 4007(Strap),"W 12.6 x H 13.0 x D 3.9 ""

Strap Drop. 19.7 - 25.6 ""","Indigo, Brown/ Monogram Denim, Leather",-,Good Condition,Excellent Condition,-,-,AO23110
LOUIS VUITTON STEAMER 35 TRAVEL HAND BAG MONOGRAM M41128,/collections/louis-vuitton/products/ao23109,"168,000",889718,"W 13.8 x H 18.1 x D 7.5 ""

Handle Drop. 1.2 ""","Brown/ Monogram Canvas, Leather",Key Holder,"Obvious sigh of use with heavy damages.

Stains, Crack, Scratches","Obvious sigh of use with heavy damages.

Dirt，Scratches",-,-,AO23109
LOUIS VUITTON SIRIUS 24H TRAVEL HAND BAG MONOGRAM M41405,/collections/louis-vuitton/products/ao23034,"108,000",SP 0043,"W 21.3 x H 15.7 x D 4.9 ""

Handle Drop. 5.9 ""","Brown/ Monogram Canvas, Leather",-,"Good Condition

Leather part: Dirt",Good Condition,-,-,AO23034
LOUIS VUITTON SPEEDY 30 HAND BAG WHITE MONOGRAM GRAFFITI M92195,/collections/louis-vuitton/products/ao23033,"298,000",TH 0041,"W 12.2 x H 8.3 x D 7.1 ""

Handle Drop. 3.5 ""","Brown, White/ Monogram Graffiti Canvas, Leather",-,"Good Condition

Dirt",Excellent Condition,-,Smell of perfume,AO23033
LOUIS VUITTON MINI AMAZON SHOULDER BAG MONOGRAM M45238,/collections/louis-vuitton/products/ao23029,"59,800",884TH,"W 4.7 x H 7.1 x D 3.0 ""

Strap Drop. 19.7 - 23.2 ""","Brown/ Monogram Canvas, Leather",-,There is sign of use overall,There is sign of use overall,-,-,AO23029
LOUIS VUITTON MINI DANUBE SHOULDER BAG MONOGRAM M45268,/collections/louis-vuitton/products/ao23017,"69,800",8909 SL,"W 4.3 x H 5.5 x D 1.6 ""

Strap Drop. 19.3 - 22.4 ""","Brown/ Monogram Canvas, Leather",-,There is sign of use overall,Good Condition,-,-,AO23017
LOUIS VUITTON POCHETTE ACCESSOIRES HAND BAG MONOGRAM MULTI M92648,/collections/louis-vuitton/products/ao23012,"198,000",SL 0053,"W 8.3 x H 5.1 x D 1.8 ""

Handle Drop. 5.9 ""","Black, etc./ Monogram Multi-Color Canvas, Leather",Dust Bag,Good Condition,Good Condition,-,-,AO23012
LOUIS VUITTON NOE DRAWSTRING SHOULDER BAG EPI BI-COLOR M44017,/collections/louis-vuitton/products/ao23011,"89,800",AR 1914,"W 10.4 x H 13.4 x D 7.5 ""

Shoulder Drop. 9.1 - 12.2 ""","Black, Red/ Epi Leather",-,Good Condition,"Good Condition

Metal fittings: Faded",-,-,AO23011
LOUIS VUITTON MOTT SHOULDER BAG POCHETTE VERNIS ROUGE M91137,/collections/louis-vuitton/products/ao22970,"59,800",TH 0051,"W 6.7 x H 7.1 x D 2.0 ""

Strap Drop. 9.8 ""","Rouge/ Patent Leather, Leather",-,"Good Condition

Minor crack","Good Condition

Minor peeled",-,-,AO22970
LOUIS VUITTON SAC 2 POCHES CROSS BODY SHOULDER BAG MONOGRAM NO.619,/collections/louis-vuitton/products/ao22965,"49,800",842,"W 5.9 x H 7.5 x D 3.5 ""

Strap Drop. 20.9 ""","Brown/ Monogram Canvas, Leather",-,"There is sign of use overall

Metal fittings: rust and Faded",There is sign of use overall,-,-,AO22965
LOUIS VUITTON KEEPALL BANDOULIERE 55 2WAY TRAVEL BAG DAMIER N41414,/collections/louis-vuitton/products/ao22964,"168,000",MB 0026,"W 22.0 x H 12.2 x D 9.4 ""

Handle Drop. 3.9 ""

Strap Drop. 15.7 - 19.3 ""","Brown/ Damier Canvas, Leather","Shoulder Strap, Dust Bag, Name Tag, Handle Holder",Excellent Condition,Excellent Condition,-,-,AO22964
LOUIS VUITTON BISTEN 55 TRAVEL HAND BAG TRUNK MONOGRAM M21327,/collections/louis-vuitton/products/ao22835,"498,000",1072223,"W 21.7 x H 19.3 x D 7.1 ""

Handle Drop. 2.0 ""","Brown/ Monogram Canvas, Leather","Keys*2, Name Tag, Garment Cover",Good Condition,Good Condition,-,-,AO22835
LOUIS VUITTON STRATOS 50 TRAVEL HAND BAG TRUNK MONOGRAM M23240,/collections/louis-vuitton/products/ao22834,"79,800",862,"W 18.9 x H 14.2 x D 6.3 ""

Handle Drop. 2.0 ""","Brown/ Monogram Canvas, Leather",Name Tag,"Obvious sigh of use with heavy damages

Scratches, Stains","Obvious sigh of use with heavy damages

Stains, Torn",Name Tag: Missing metal fittings(Rivet),-,AO22834
LOUIS VUITTON BOITE BIJOUX JEWELRY BOX MONOGRAM M47120,/collections/louis-vuitton/products/ao22833,"598,000", AS 2111/1102265," W 13.8 x H 3.7 x D 10.2 ""  Handle Drop. 2.0 """," Brown/ Monogram Canvas, Leather"," Cover of Key, Keys*2", Excellent Condition, Excellent Condition, -, -, AO22833
LOUIS VUITTON POCHETTE BOSPHORE SHOULDER BAG MONOGRAM M40044,/collections/louis-vuitton/products/ao22830,"128,000",MI 0036,"W 10.2 x H 9.8 x D 0.8 ""

Strap Drop. 16.9 - 29.1 ""","Brown/ Monogram Canvas, Leather",-,Excellent Condition,Excellent Condition,-,-,AO22830
LOUIS VUITTON READE PM HAND TOTE BAG VERNIS ROUGE M91088,/collections/louis-vuitton/products/ao22780,"49,800",MI 0072,"W 8.7 x H 7.1 x D 3.9 ""

Handle Drop. 3.9 ""","Rouge/ Patent Leather, Leather",-,Good Condition,Good Condition,-,-,AO22780
LOUIS VUITTON CABAS PIANO SHOULDER TOTE BAG MONOGRAM M51148,/collections/louis-vuitton/products/ao22775,"128,000",VI 1006,"W 10.6 x H 9.6 x D 4.7 ""

Strap Drop. 9.1 ""","Brown/ Monogram Canvas, Leather",-,"Good Condition

Shoulder strap: Lose shape",Excellent Condition,-,-,AO22775
