productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode
"Venise Biarritz Zip Pouch Striped Canvas Large Item Number: 46948/51"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46948-51_20Chanel_20Venise_20Biarritz_20Zip_20Pouch_20Striped_2D_0002_grande.jpg?v=1575952458"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1330"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-venise-biarritz-zip-pouch-striped-canvas-large4694851?variant=30302578507846""
            }}
</script>
",Chanel,"
            $1,330
        ",/collections/chanel/products/handbags-chanel-venise-biarritz-zip-pouch-striped-canvas-large4694851,Excellent,". Light wear in interior, faint scratches on hardware.",,,,Authenticity Card,,"Height 8.5&quot;, Width 13&quot;, Depth 1&quot;",46948/51,
"Data Center Zip Pouch Quilted Printed Lambskin Small Item Number: 46849/11"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46849-11_20Chanel_20Data_20Center_20Zip_20Pouch_20Quilted_20Prin_2D_0002_grande.jpg?v=1575952460"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""355"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-data-center-zip-pouch-quilted-printed-lambskin-small4684911?variant=30302583357510""
            }}
</script>
",Chanel,"
            $355
        ",/collections/chanel/products/handbags-chanel-data-center-zip-pouch-quilted-printed-lambskin-small4684911,Great,". Light scuffs and creasing on exterior, scratches on hardware.",,,,Authenticity Card,,"Height 4&quot;, Width 8&quot;, Depth 3&quot;",46849/11,
"Chevron Couture Flap Bag Stitched Chevron Lambskin Medium Item Number: 46710/4"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46710-4_20Chanel_20Chevron_20Couture_20Flap_20Bag_20Stitched_20C_2D_0002_grande.jpg?v=1575952522"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1695"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-chevron-couture-flap-bag-stitched-chevron-lambskin-medium467104?variant=30302759321670""
            }}
</script>
",Chanel,"
            $1,695
        ",/collections/chanel/products/handbags-chanel-chevron-couture-flap-bag-stitched-chevron-lambskin-medium467104,Great,". Light wear on base corners, minor scuffs on exterior, small marks in interior, scratches on hardware.",,,,No Accessories,,"Handle Drop 11.5&quot;, Height 7&quot;, Width 10.5&quot;, Depth 3&quot;, Strap Drop 20&quot;",46710/4,
"Coco Break Camera Case Caviar Medium Item Number: 46385/2"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46385-2_20Chanel_20Coco_20Break_20Camera_20Case_20Caviar_20Mediu_2D_0002_grande.jpg?v=1575952594"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1605"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-coco-break-camera-case-caviar-medium463852?variant=30326713483334""
            }}
</script>
",Chanel,"
            $1,605
        ",/collections/chanel/products/handbags-chanel-coco-break-camera-case-caviar-medium463852,Very good,". Minor wear on base corners, slight darkening on exterior and along zipper tape. Discoloration on strap and pochette, scuffs in interior, scratches on hardware.",,,,"Pochette, Authenticity Card",,"Handle Drop 11&quot;, Height 6&quot;, Width 10&quot;, Depth 3&quot;",46385/2,
"CC Zip Tote Quilted Caviar Small Item Number: 46532/65"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46532-65_20Chanel_20CC_20Zip_20Tote_20Quilted_20Caviar_20Small_2D_0002_grande.jpg?v=1575952593"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1095"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-cc-zip-tote-quilted-caviar-small4653265?variant=30326707322950""
            }}
</script>
",Chanel,"
            $1,095
        ",/collections/chanel/products/handbags-chanel-cc-zip-tote-quilted-caviar-small4653265,Very good,". Moderate creasing on exterior, minor darkening and wear on base corners. Minimal wear in interior, scratches on hardware.",,,,No Accessories,,"Handle Drop 9&quot;, Height 9.5&quot;, Width 13&quot;, Depth 6&quot;",46532/65,
"Chocolate Bar Reissue Flap Bag Quilted Denim Item Number: 47661/4"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47661-4_20Chanel_20Chocolate_20Bar_20Reissue_20Flap_20Bag_20Quil_2D_0002_grande.jpg?v=1575952774"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1155"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-chocolate-bar-reissue-flap-bag-quilted-denim476614?variant=30930686607430""
            }}
</script>
",Chanel,"
            $1,155
        ",/collections/chanel/products/handbags-chanel-chocolate-bar-reissue-flap-bag-quilted-denim476614,Very good,". Moderate creasing near base and underneath flap, light wear in interior, scratches and tarnish on hardware.",,,,Authenticity Card,,"Handle Drop 11&quot;, Height 6.5&quot;, Width 10&quot;, Depth 2.5&quot;, Strap Drop 21&quot;",47661/4,
"Ribbon Vanity Case Quilted Grosgrain Medium Item Number: 46846/165"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46846-165_20Chanel_20Ribbon_20Vanity_20Case_20Quilted_20Grosgr_2D_0002_grande.jpg?v=1575952616"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1720"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-ribbon-vanity-case-quilted-grosgrain-medium46846165?variant=30326892625990""
            }}
</script>
",Chanel,"
            $1,720
        ",/collections/chanel/products/handbags-chanel-ribbon-vanity-case-quilted-grosgrain-medium46846165,Great,". Marks and wear on exterior and in interior, scratches on hardware.",,,,Authenticity Card,,"Handle Drop 4&quot;, Height 9.5&quot;, Width 11&quot;, Depth 5&quot;",46846/165,
"Fantasy Fur Tote Faux Fur with Leather Medium Item Number: 47661/143"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47661-143_20Chanel_20Fantasy_20Fur_20Tote_20Faux_20Fur_20with_20Le_2D_0002_grande.jpg?v=1575952713"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""795"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-fantasy-fur-tote-faux-fur-with-leather-medium47661143?variant=30703815852102""
            }}
</script>
",Chanel,"
            $795
        ",/collections/chanel/products/handbags-chanel-fantasy-fur-tote-faux-fur-with-leather-medium47661143,Very good,". Scuffs and indentations on base, wear on handles, slight cracking on handle wax edges. Small marks and minor wear in interior, scratches on hardware.",,,,No Accessories,,"Handle Drop 6&quot;, Height 14&quot;, Width 12&quot;, Depth 6.5&quot;",47661/143,
"Chevron Couture Flap Bag Stitched Chevron Lambskin Medium Item Number: 46121/13"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46121-13_20Chanel_20Chevron_20Couture_20Flap_20Bag_20Stitched_2D_0002_grande.jpg?v=1575952643"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1695"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-chevron-couture-flap-bag-stitched-chevron-lambskin-medium4612113?variant=30326937124934""
            }}
</script>
",Chanel,"
            $1,695
        ",/collections/chanel/products/handbags-chanel-chevron-couture-flap-bag-stitched-chevron-lambskin-medium4612113,Great,". Minor wear on base corners, opening edge and in interior, light scuffs on exterior and underneath flap, scratches on hardware.",,,,Authenticity Card,,"Handle Drop 12&quot;, Height 6.5&quot;, Width 10.5&quot;, Depth 3&quot;, Strap Drop 23&quot;",46121/13,
"Vintage Logo Shoulder Bag Leather Large Item Number: 46846/358"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46846-358_20Chanel_20Vintage_20Logo_20Shoulder_20Bag_20Leather_2D_0002_grande.jpg?v=1575952721"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""790"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-vintage-logo-shoulder-bag-leather-large46846358?variant=30703833481286""
            }}
</script>
",Chanel,"
            $790
        ",/collections/chanel/products/handbags-chanel-vintage-logo-shoulder-bag-leather-large46846358,Great,". Moderate scuffs and creasing on exterior and strap, bubbling underneath flap. Minimal wear in interior, scratches on hardware.",,,,No Accessories,,"Height 9&quot;, Width 13.5&quot;, Depth 4&quot;, Strap Drop 11-13&quot;",46846/358,
"Beauty CC Clutch Quilted Lambskin Item Number: 47891/2"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47891-2_20Chanel_20Beauty_20CC_20Clutch_20Quilted_20Lambskin_2D_0002_grande.jpg?v=1575952876"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""830"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-beauty-cc-clutch-quilted-lambskin478912?variant=31035741503558""
            }}
</script>
",Chanel,"
            $830
        ",/collections/chanel/products/handbags-chanel-beauty-cc-clutch-quilted-lambskin478912,Great,". Minor darkening, creasing and bubbling on exterior and underneath flap, scratches on hardware.",,,,No Accessories,,"Height 6&quot;, Width 11&quot;, Depth 1&quot;",47891/2,
Square Stitch Bowler Bag Quilted Caviar Medium,Chanel,"
            $625
        ",/collections/chanel/products/handbags-chanel-square-stitch-bowler-bag-quilted-caviar-medium5002114,Very good,". Odor in interior. Loss of shape on exterior. Minor darkening on exterior, handles and in interior, small glue stains on opening corner, scratches on hardware.",Neutral,Leather,Silver,No Accessories,9978413,"Handle Drop 10&quot;, Height 6.5&quot;, Width 11.5&quot;, Depth 4.5&quot;",50021/14,HB.CH.SSBO.QCA.ME 
