productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Metallic Lambskin Quilted Maxi Single Flap Silver,https://www.fashionphile.com/chanel-metallic-lambskin-quilted-maxi-single-flap-silver-443523,"
                                                    $2,420                                            ",Chanel,,443523,Crossbody,12 ,9 ,3.25 ,19 ,2009,,"We guarantee this is an authentic CHANEL Metallic Lambskin Quilted Maxi Single Flap Silver or 100% of your money back. This stunning shoulder bag is finely crafted of soft diamond-quilted metallic silver lambskin leather. The bag features matte gold chain link shoulder straps threaded with leather, a front flap, and a matte gold Chanel CC turn lock. This opens to a matching leather interior with zipper and patch pockets. This is a classic and timeless shoulder bag for day or evening from Chanel! ",Very G,"Corner wear, scuffs , edge wear , glue residue , marks",Faint scratch(es),"Edge wear , frayed stitch(es)","Scuffs , imprints, pocket(s) stretched",
Denim Quilted Boy Clutch With Removable Chain Black,https://www.fashionphile.com/chanel-denim-quilted-boy-clutch-with-removable-chain-black-511183,"
                                                    $2,340                                            ",Chanel,"2,900",511183,Clutch & Evening,12 ,5 ,1.5 ,9.5 ,2015,rap,We guarantee this is an authentic CHANEL Denim Quilted Boy Clutch With Removable Chain Black or 100% of your money back. This stylish flap bag is crafted of luxurious patent denim material in black. The bag features a removable ruthenium chain strap and a small ruthenium boy snap closure on the facing flap. The bag opens to a fabric interior with zipper and patch pockets. This is the perfect bag for all of your daytime or evening necessities with the timeless style of Chanel!,Excell,Faded area(s),Faint scratch(es),,Protective plastic sticker(s) intac,
Caviar Quilted XL Grand Shopping Tote GST Black,https://www.fashionphile.com/chanel-caviar-quilted-xl-grand-shopping-tote-gst-black-492702,"
                                                    $2,495                                            ",Chanel,"3,500",492702,Handbags,16.25 ,10.25 ,5.25 ,9.25 ,Circa 2010s,,"We guarantee this is an authentic CHANEL Caviar Quilted XL Grand Shopping Tote GST Black or 100% of your money back. This stunning tote is beautifully crafted of luxurious diamond-quilted caviar leather in black. The bag features leather-threaded gold chain shoulder straps with leather shoulder pads, a prominent quilted Chanel CC logo on the front, and a wide rear pocket. The top is open to a partitioned black satin fabric interior with zipper and patch pockets. This is a classic tote, with versatility for day or evening, from Chanel!",Very G,"Corner wear, structure loss","Scratch(es) , plating","Edge wear , creases",Surface wea,
Caviar Quilted Large CC Clutch Red,https://www.fashionphile.com/chanel-caviar-quilted-large-cc-clutch-red-490263,"
                                                    $1,695                                            ",Chanel,"2,000",490263,Clutch & Evening,12 ,3 ,2.75 ,,2012,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Caviar Quilted Large CC Clutch Red or 100% of your money back. This stylish large clutch is crafted of luxurious diamond quilted stuffed caviar leather with an embroidered Chanel CC logo. The top frame opens with magnets to a fabric interior with a zipper pocket. Enjoy this fabulous clutch for day and evening, from Chanel.",Excell,,,,,
Calfskin Chevron Stitched Coco Waist Bag Black,https://www.fashionphile.com/chanel-calfskin-chevron-stitched-coco-waist-bag-black-510039,"
                                                    $2,550                                            ",Chanel,"3,400",510039,Belt Bags,7 ,5 ,2 ,,,"dust bag, authenticity card",We guarantee this is an authentic CHANEL Calfskin Chevron Stitched Coco Waist Bag Black or 100% of your money back. This stylish waist bag is finely crafted of chevron quilted lambskin leather in black. The bag features a gold chain link and leather belt strap and an envelope flap opening with a gold Chanel CC turn lock. This opens to a black leather interior for everyday essentials with the timeless style of Chanel!,Excell,"Faint corner wear, faint scuffs",Faint scratch(es),"Creases, sizing marks",Scuffs,
Caviar Quilted Jumbo Single Flap Black,https://www.fashionphile.com/chanel-caviar-quilted-jumbo-single-flap-black-507969,"
                                                    $5,090                                            ",Chanel,,507969,Crossbody,11.75 ,7.75 ,3.5 ,23 ,2010,"box, dust bag, authenticity card","We guarantee this is an authentic CHANEL Caviar Quilted Jumbo Single Flap Black or 100% of your money back. This stylish shoulder bag is crafted of luxurious caviar textured leather in black. The shoulder bag features leather threaded polished silver chain-link shoulder straps, a rear patch pocket and a front flap with a polished silver CC turn lock. The flap opens to an inner flap and a burgundy leather interior with patch pockets. This is an ideal classic shoulder bag perfect for day or evening, from Chanel!",Excell,dge wea,Faint scratch(es),,mprints,
Lambskin Quilted Medium Double Flap Black,https://www.fashionphile.com/chanel-lambskin-quilted-medium-double-flap-black-504616,"
                                                    $3,795                                            ",Chanel,"5,800",504616,Handbags,10 ,6 ,2.5 ,17 ,2013,dust bag,"We guarantee this is an authentic CHANEL Lambskin Quilted Medium Double Flap Black or 100% of your money back. This shoulder bag is crafted of luxurious black lambskin leather with iconic diamond shaped stitched quilting. The bag has classic polished silver chain shoulder straps threaded with black leather and a silver Chanel CC turn lock. This opens the front flap to another flap and a burgundy leather interior with patch pockets. Satisfy your practical needs as well as your demand for style with this lovely classic that is is as sophisticated as it is chic, from Chanel!",Very G,"Corner wear, scuffs , edge wear , imprints, frayed stitch(es)",Scratch(es),,"Scuffs , marks",
Metallic Aged Calfskin Quilted 2.55 Reissue Mini Flap Green,https://www.fashionphile.com/chanel-metallic-aged-calfskin-quilted-255-reissue-mini-flap-green-468691,"
                                                    $3,655                                            ",Chanel,,468691,Crossbody,7.5 ,5 ,3 ,20.5 ,,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Metallic Aged Calfskin Quilted 2.55 Reissue Mini Flap Green or 100% of your money back. This stylish shoulder bag is beautifully crafted of diamond quilted aged calfskin leather in green. The bag features gold chain shoulder straps and a gold mademoiselle turn lock. This opens to a matching leather interior with zipper and patch pockets. This is a beautiful shoulder bag that is ideal for day or evening wear, from Chanel! ",New,,Protective plastic sticker(s) intact,,,
Caviar Chevron Quilted New Medium Boy Flap Black,https://www.fashionphile.com/chanel-caviar-chevron-quilted-new-medium-boy-flap-black-505322,"
                                                    $4,550                                            ",Chanel,"5,500",505322,Crossbody,11 ,7 ,3 ,20 ,2018,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Caviar Chevron Quilted New Medium Boy Flap Black or 100% of your money back. This chic shoulder bag is crafted of chevron quilted caviar leather framed by linear quilting in black. The bag features a polished aged gold chain link shoulder strap with a leather shoulder pad, and a matching boy CC push lock on the crossover flap. This opens to a black fabric interior with a patch pocket. This classic Chanel shoulder bag is a showstopper!",Excell,Faint corner wea,Scratch(es),,Scuffs,
Aged Calfskin Quilted Large Gabrielle Hobo Black,https://www.fashionphile.com/chanel-aged-calfskin-quilted-large-gabrielle-hobo-black-429306,"
                                                    $3,630                                            ",Chanel,"4,800",429306,Crossbody,12.25 ,10.25 ,4 ,28 ,2017,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Aged Calfskin Quilted Large Gabrielle Hobo Black or 100% of your money back. This chic hobo is crafted of textured aged and smooth calfskin diamond stitched leather in black. The bag features a smooth leather base, gradient gold to ruthenium chain threaded leather shoulder strap and black leather zipper pull with a gold CC logo. The top zipper pull opens to a spacious red fabric interior with patch and zipper pockets. This shoulder bag has room for all your essentials with the timeless style only from Chanel! ",Excell,Scuffs,Scratch(es),,"Musty odor, marks",
Calfskin Stitched 2.55 Reissue 227 Flap Burgundy,https://www.fashionphile.com/chanel-calfskin-stitched-255-reissue-227-flap-burgundy-415478,"
                                                    $3,595                                            ",Chanel,"6,700",415478,Crossbody,12.25 ,7 ,3.75 ,19 ,2014,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Calfskin Stitched 2.55 Reissue 227 Flap Burgundy or 100% of your money back. This stylish shoulder bag is beautifully crafted of diamond quilted calfskin leather in dark red. The bag features a reissue aged gold toned chain straps with a frontal squared Mademoiselle turn lock. The shoulder bag front flap opens to a secondary flap that has a matte leather interior with patch pockets. This luxury shoulder bag is ideal for day or evening, from Chanel! ",Excell,"Marks, faint scuffs",Scratch(es),,"Scuffs , marks, bubbled, edge wea",
Caviar Quilted Medium Double Flap Dark Red,https://www.fashionphile.com/chanel-caviar-quilted-medium-double-flap-dark-red-503860,"
                                                    $5,695                                            ",Chanel,"5,800",503860,Handbags,10 ,5.75 ,2.25 ,16.25 ,2016,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Caviar Quilted Medium Double Flap Dark Red or 100% of your money back. This medium classic shoulder bag is crafted of diamond quilted caviar leather in burgundy. The shoulder bag features an aged gold chain link leather threaded shoulder straps and a front flap with an aged gold Chanel CC turn lock. This handbag opens to a second flap and a matching matte leather interior with patch pockets. This is a stunning shoulder bag, ideal for every situation, with the one of a kind classic style from Chanel!",Excell,"Structure wear , imprints",Faint scratch(es),Edge wear,"Scuffs , imprints",
Lambskin Chevron Quilted Studded Mini Flap Black,https://www.fashionphile.com/chanel-lambskin-chevron-quilted-studded-mini-flap-black-483518,"
                                                    $2,995                                            ",Chanel,"3,500",483518,Crossbody,6.25 ,4.75 ,2.5 ,23.75 ,2017,"authenticity card, dust bag","We guarantee this is an authentic CHANEL Lambskin Chevron Quilted Studded Mini Flap Black or 100% of your money back. The chic crossbody features soft chevron-quilted leather in black. The bag features silver studs, an aged silver chain link shoulder strap and an aged silver Chanel CC turn-lock securing the front flap. This opens to a black fabric interior with patch pocket. This purse is perfect for daytime and evening essentials with the timeless style of Chanel!",Excell,Scuffs,Scratch(es),Scuffs,"Scuffs , marks, imprints",
Aged Calfskin Chevron Quilted Small Gabrielle Hobo So Black,https://www.fashionphile.com/chanel-aged-calfskin-chevron-quilted-small-gabrielle-hobo-so-black-467211,"
                                                    $5,040                                            ",Chanel,,467211,Crossbody,7.25 ,5.75 ,3 ,29 ,2019,"authenticity card, dust bag","We guarantee this is an authentic CHANEL Aged Calfskin Chevron Quilted Small Gabrielle Hobo So Black or 100% of your money back. This chic shoulder bag is featured in diamond stitched aged calfskin leather in black with a sturdy smooth black calfskin base. The crossbody bag features thin dark silver chain link black leather threaded shoulder straps with a shoulder pad. The top zipper opens to a spacious black fabric interior with zipper and patch pockets. This elegant and functional shoulder bag is both versatile and chic, from Chanel!",Excell,Faint scuffs,,,,
Lambskin Quilted Medium Boy Flap Dark Beige,https://www.fashionphile.com/chanel-lambskin-quilted-medium-boy-flap-dark-beige-504300,"
                                                    $4,495                                            ",Chanel,"4,900",504300,Crossbody,9.75 ,5.5 ,3 ,20.25 ,2017,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Lambskin Quilted Medium Boy Flap Dark Beige or 100% of your money back. This chic shoulder bag is crafted of luxurious diamond-quilted lambskin leather in rose-toned beige, with a linear-quilted border. The bag features an aged gold chain link shoulder strap with a leather shoulder pad, and a matching gold Chanel boy CC press lock on the crossover flap. This opens the bag to a beige fabric interior with a patch pocket. This is an excellent shoulder bag, ideal for day or evening use, from Chanel!",Very G,"Corner wear, edge wear , imprints, faint scuffs",Scratch(es),Marks,Scuffs,
Lambskin Quilted Medium 19 Flap White,https://www.fashionphile.com/chanel-lambskin-quilted-medium-chanel-19-flap-white-507249,"
                                                    $5,995                                            ",Chanel,,507249,Crossbody,10 ,6.5 ,3.25 ,19.25 ,2020,"authenticity card, dust bag, box","We guarantee this is an authentic CHANEL Lambskin Quilted Medium Chanel 19 Flap White or 100% of your money back. This pillowy soft shoulder bag is crafted of oversized quilted lambskin leather in white. The refined bag features an aged gold chain detail CC turn-lock on the flap, a magnetic snap pocket at the rear, and a leather threaded aged gold, ruthenium, and dark silver chain-link shoulder strap with a leather shoulder pad. The front flap opens to a beige fabric interior with a zipper pocket. This versatile bag with soft leather is an essential bag for any Chanel aficionado. ",Excell,,Faint scratch(es),,,
Glazed Calfskin Small Lipstick Flap Bag Fuchsia,https://www.fashionphile.com/chanel-glazed-calfskin-small-lipstick-flap-bag-fuchsia-503796,"
                                                    $595                                            ",Chanel,,503796,Crossbody,9 ,6 ,2 ,25 ,2010,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Glazed Calfskin Small Lipstick Flap Bag Fuchsia or 100% of your money back. This fabulous bag is crafted of bright fuchsia glazed calfskin and features a full frontal flap with a large stitched Chanel CC logo, expandable sides, and leather-threaded silver chain shoulder straps. The top is open to a pink and white gingham checked fabric interior with a zippered pocket. This is a bold flap bag from Chanel! ",G,"Scuffs , edge wear , cracks, marks","Scratch(es) , tarnish","Edge wear , cracks","Scuffs , glue residu",
Caviar Quilted Medium CC Filigree Vanity Case Light Beige,https://www.fashionphile.com/chanel-caviar-quilted-medium-cc-filigree-vanity-case-light-beige-413873,"
                                                    $4,595                                            ",Chanel,"4,600",413873,Crossbody,8 ,6 ,3 ,19.25 ,,"authenticity card, 2 clochettes, lock & key",We guarantee this is an authentic CHANEL Caviar Quilted Medium CC Filigree Vanity Case Light Beige or 100% of your money back. This chic stylish travel bag is crafted of luxurious diamond quilted caviar leather in beige. This elegant shoulder bag features an aged gold chain link leather threaded shoulder strap and a large Chanel CC stitched logo on the front. The double wrap around zipper opens to a peach leather interior with a zipper pocket and central zipper compartment. This bag is spacious enough for all of your travel necessities with the timeless quality and style only from Chanel!,Excell,"Creases, color transfer , edge wea",Scratch(es),,"Creases, scuffs",
Lambskin Quilted Single Flap Black,https://www.fashionphile.com/chanel-lambskin-quilted-single-flap-black-485401,"
                                                    $2,395                                            ",Chanel,,485401,Shoulder Bags,9.75 ,8.75 ,3.75 ,18.5 ,1994,authenticity card,"We guarantee this is an authentic CHANEL Lambskin Quilted Single Flap Black or 100% of your money back. This stylish vintage model is finely composed of supple diamond quilted lambskin leather in black. The bag features a waist-length polished gold chain link leather threaded shoulder strap and a gold plated Chanel CC turn lock. The flap opens to a bordeaux leather interior with a zipper and patch pocket. This is a vintage shoulder bag for day or evening, with the timeless quality and style of Chanel!",Very G,,Faint scratch(es),Creases,"Scuffs , marks",
Lambskin Quilted Tote Brown,https://www.fashionphile.com/chanel-lambskin-quilted-tote-brown-500664,"
                                                    $825                                            ",Chanel,,500664,Handbags,12.25 ,9 ,2.5 ,10.75 ,,,"We guarantee this is an authentic CHANEL Lambskin Quilted Tote Brown or 100% of your money back.  This chic vintage tote is finely crafted of soft lambskin leather in dark brown with diamond-shaped quilting. The bag features dark brown leather threaded shoulder straps with polished gold chain links and a large exterior pocket.  The top is open to a spacious dark brown leather interior with zipper and patch pockets. This is a perfect tote for all of your daily needs, from Chanel! ",G,"Corner wear, creases, scuffs , structure wear , faded area(s), edge wear , imprints","Oxidation , scratch(es) , plating","Smoothing of leather , edge wear , popped stitch(es)","Scuffs , musty odor, surface wear, marks",Serial number detached
Canvas Chevron Braided with Style Hobo Multicolor,https://www.fashionphile.com/chanel-canvas-chevron-braided-with-style-hobo-multicolor-352291,"
                                                    $1,300                                            ",Chanel,,352291,Handbags,10.75 ,12.5 ,4.75 ,13 ,,authenticity card,"We guarantee this is an authentic CHANEL Canvas Chevron Braided with Style Hobo Multicolor or 100% of your money back. This stylish tote is beautifully crafted of chevron quilted canvas. The shoulder bag features polished hardware, a red caviar leather shoulder strap, and a polished silver CC charm. The top is open to a matching beige fabric interior with zippered pockets. This is an excellent tote for day wear and shopping excursions, from Chanel!",Excell,"Corner wear, frayed",,,"Scuffs , mothball od",
Caviar Quilted Mini Business Affinity Flap Blue,https://www.fashionphile.com/chanel-caviar-quilted-mini-business-affinity-flap-blue-502378,"
                                                    $3,295                                            ",Chanel,,502378,Crossbody,7.5 ,5.5 ,2.75 ,20.75 ,2017,"box, dust bag, authenticity card","We guarantee this is an authentic CHANEL Caviar Quilted Mini Business Affinity Flap Blue or 100% of your money back. This sleek, classic tote is crafted of grained caviar calfskin leather in blue. The shoulder bag features a sturdy leather top handle, a polished light gold chain-link leather threaded shoulder strap, a rear patch pocket, and a diamond-quilted front zipper pocket. The flap opens to a blue leather interior with zipper and patch pockets. This elegant flap bag has room for all of your day or evening essentials, with the timeless quality and style of Chanel!",Excell,"dge wear , pilling , faint corner wea","Scratch(es) , plating wear , protective plastic sticker(s) intact",Edge wear,Scuffs,
Washed Lambskin Quilted Medium Chain Around Messenger Black,https://www.fashionphile.com/chanel-washed-lambskin-quilted-medium-chain-around-messenger-black-509549,"
                                                    $2,595                                            ",Chanel,"3,300",509549,Crossbody,13.75 ,10.25 ,2.25 ,25.25 ,2016,authenticity card,"We guarantee this is an authentic CHANEL Washed Lambskin Quilted Medium Chain Around Messenger Black or 100% of your money back. This shoulder bag is crafted of washed lambskin leather in black. The bag features a leather threaded polished silver chain around the body of the bag that extends into a shoulder strap, and a matching silver Chanel CC logo on the crossover flap. This opens to a light beige fabric interior with a zipper pocket. A luxurious and eye-catching tote, this bag is ideal for daily excursions of all kinds from Chanel!",Excell,,"Scratch(es) , pitt",Edge wear,"Perfume or cologne odor, marks",
Woven Straw Raffia Striped Large Deauville Tote Black,https://www.fashionphile.com/chanel-woven-straw-raffia-striped-large-deauville-tote-black-472207,"
                                                    $3,895                                            ",Chanel,,472207,Handbags,15 ,12 ,7.5 ,12 ,2020,"dust bag, authenticity card, retail tags attached","We guarantee this is an authentic CHANEL Woven Straw Raffia Striped Large Deauville Tote Black or 100% of your money back. This stylish hand bag is crafted of fine woven straw raffia in black with an embroidered Chanel Rue Cambon Paris logo. It features black rolled leather top handles, black fabric top trim and black fabric threaded gold chain shoulder straps. The top is open to a black fabric interior with zipper and patch pockets. This is a perfect everyday tote, from Chanel!",New,,Protective plastic sticker(s) intact,,,
Denim Chevron Small Boy Flap Light Blue,https://www.fashionphile.com/chanel-denim-chevron-small-boy-flap-light-blue-475598,"
                                                    $2,980                                            ",Chanel,"3,300",475598,Crossbody,7.75 ,5 ,2.75 ,21 ,2015,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Denim Chevron Small Boy Flap Light Blue or 100% of your money back. This chic shoulder bag features chevron quilted light blue denim with linear quilted border edges in a darker blue. The bag features a ruthenium chain-link shoulder strap with a shoulder pad and an aged ruthenium push lock. This opens to a blue fabric interior with a patch pocket. This is an excellent stylish shoulder bag with a one of a kind look, only from Chanel!",Excell,Glue residu,,Scuffs,,
Metallic Calfskin Quilted Flap Tote Dark Silver,https://www.fashionphile.com/chanel-metallic-calfskin-quilted-flap-tote-dark-silver-489327,"
                                                    $2,995                                            ",Chanel,"5,500",489327,Handbags,12 ,10 ,4 ,11.5 ,2013,authenticity card,"We guarantee this is an authentic CHANEL Metallic Calfskin Quilted Flap Tote Dark Silver or 100% of your money back. This extra-large utility tote is beautifully crafted of diamond quilted metallic leather. The bag features leather threaded silver chain-link shoulder straps with shoulder pads, expandable sides, and a cross-over flap that hangs freely canceling a unique pocket and a silver Chanel CC turn lock. The primary flap opens to fabric a very spacious interior with zipper and patch pockets. This shoulder bag has so much room for all of your everyday necessities with the timeless style only from Chanel!",Excell,"Corner wear, scuffs",Faint scratch(es),"Edge wear , darkening",Scuffs,
Metallic Lambskin Quilted Jumbo Double Flap Pewter,https://www.fashionphile.com/chanel-metallic-lambskin-quilted-jumbo-double-flap-pewter-458350,"
                                                    $4,275                                            ",Chanel,"6,400",458350,Handbags,11.75 ,7.5 ,3.5 ,23.5 ,2013,"authenticity card, dust bag",We guarantee this is an authentic CHANEL Metallic Lambskin Quilted Jumbo Double Flap Pewter or 100% of your money back. This classic Chanel shoulder bag is crafted of smooth diamond quilted metallic pewter lambskin leather. There are polished silver chain link shoulder straps threaded with leather and a silver Chanel CC turn lock that opens the facing flap to a matching leather interior with patch pockets. This is an excellent bag that is functional for everyday use with the timeless quality and style you can rely on from Chanel. ,Excell,"Corner wear, scuffs , edge wea",,Edge wear,"Scuffs , marks, imprints",
Lambskin Quilted Medium Double Flap Black,https://www.fashionphile.com/chanel-lambskin-quilted-medium-double-flap-black-501224,"
                                                    $3,010                                            ",Chanel,"5,800",501224,Handbags,9.75 ,6.25 ,2.75 ,16.5 ,Circa 1990s,,"We guarantee this is an authentic CHANEL Lambskin Quilted Medium Double Flap Black or 100% of your money back. This chic bag is beautifully crafted of diamond-quilted lambskin leather in black. The bag features a rear patch pocket, a leather-threaded polished gold chain-link shoulder strap, and a matching classic gold plated CC turn-lock on front flap. This opens the bag to reveal an inner flap and a burgundy leather interior with patch pockets. This is the perfect bag for all of your day or evening necessities, with the timeless appeal of Chanel!",Very G,"Corner wear, edge wear , imprints, faint scuffs",Scratch(es),Edge wear,"Scuffs , musty odor, marks",
Washed Lambskin Quilted Medium Chain Around Messenger Black,https://www.fashionphile.com/chanel-washed-lambskin-quilted-medium-chain-around-messenger-black-498743,"
                                                    $2,030                                            ",Chanel,,498743,Crossbody,12.25 ,9 ,2 ,24.25 ,2013,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Washed Lambskin Quilted Medium Chain Around Messenger Black or 100% of your money back. This shoulder bag is crafted of washed lambskin leather in black. The bag features a leather threaded polished silver chain around the body of the bag that extends into a shoulder strap and a matching silver Chanel CC logo on the crossover flap. This opens to a light beige fabric interior with a zipper pocket. A luxurious and eye-catching tote, this bag is ideal for daily excursions of all kinds from Chanel!",Very G,dge wea,Scratch(es),Edge wear,"Surface wear, marks, edge wea",
Iridescent Calfskin Large In the Mix Tote Beige,https://www.fashionphile.com/chanel-iridescent-calfskin-large-in-the-mix-tote-beige-498141,"
                                                    $1,765                                            ",Chanel,,498141,Handbags,12 ,9.5 ,7 ,11 ,2012,authenticity card,"We guarantee this is an authentic CHANEL Iridescent Calfskin Large In the Mix Tote Beige or 100% of your money back. This stylish tote is crafted of fine diamond-quilted iridescent calfskin leather in beige with an iridescent sheen. The bag features smooth beige leather top handles, a signature gold chain shoulder strap threaded with beige leather; and the Chanel CC logo. The top opens to a tonal fabric interior with zipper and patch pockets. This is an excellent tote for everyday use, from Chanel!",Very G,"Creases, scuffs , structure wea","Scratch(es) , plating","Surface wear , creases, scuffs , nick(s)","Discoloration, creases, scuffs , surface wea",
Metallic Lambskin Small Golden CC Boy Flap Dark Gold,https://www.fashionphile.com/chanel-metallic-lambskin-small-golden-cc-boy-flap-dark-gold-498137,"
                                                    $3,115                                            ",Chanel,,498137,Crossbody,8.75 ,4.75 ,2.5 ,21.25 ,2014,,We guarantee this is an authentic CHANEL Metallic Lambskin Small Golden CC Boy Flap Dark Gold or 100% of your money back. This spacious and structured shoulder bag is finely crafted of shimmery rich lambskin leather with weaved CC pattern in gold. The bag features an aged gold chain link shoulder strap with a leather shoulder pad and an aged gold facing press lock. The facing flap opens to a fabric interior with a small patch pocket. This is an excellent shoulder bag for day or evening essentials with the timeless style of Chanel!,Very G,"Corner wear, edge wear , marks","Scratch(es) , plating","Surface wear , creases, glue residu","Creases, scuffs , surface wear, protective plastic sticker(s) intac",
Calfskin Painted Chevron Embossed Medium Boy Flap Navy,https://www.fashionphile.com/chanel-calfskin-painted-chevron-embossed-medium-boy-flap-navy-498127,"
                                                    $3,530                                            ",Chanel,,498127,Crossbody,8 ,5.75 ,3 ,20.25 ,2017,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Calfskin Painted Chevron Embossed Medium Boy Flap Navy or 100% of your money back. This chic shoulder bag is crafted of smooth black calfskin leather, with an iridescent blue chevron-embossed crossover flap. The bag features a polished black chain link shoulder strap with a shoulder pad, and a matching black boy CC press lock on the crossover flap. This opens the bag to a black fabric interior with a patch pocket. This shoulder bag is suitable for all your essentials for day or evening, from Chanel!",Very G,"Corner wear, creases, scuffs , edge wear , imprints","Scratch(es) , replaced / repai","Edge wear , creases","Residue marks , scuffs , surface wear, frayed stitch(es)",
Suede CC Cap Toe Short Boots 36 Beige,https://www.fashionphile.com/chanel-suede-cc-cap-toe-short-boots-36-beige-510006,"
                                                    $515                                            ",Chanel,,510006,Shoes,"
Measurements
Insole: 9 ",,,,,2 dust bag,We guarantee this is an authentic CHANEL Suede CC Cap Toe Short Boots 36 Beige or 100% of your money back. These stunning boots are crafted of suede leather in beige pink. The booties features a beige patent cap toe with a stitched CC logo and 3.25 inch block heel. These are stylish boots to dress up a pair of jeans from Chanel!,Excell,,,,,
Caviar Quilted XL Grand Shopping Tote GST Black,https://www.fashionphile.com/chanel-caviar-quilted-xl-grand-shopping-tote-gst-black-509783,"
                                                    $3,275                                            ",Chanel,"3,500",509783,Handbags,15.75 ,10.5 ,5.25 ,9.25 ,,dust bag,"We guarantee this is an authentic CHANEL Caviar Quilted XL Grand Shopping Tote GST Black or 100% of your money back. This stunning tote is beautifully crafted of luxurious diamond-quilted caviar leather in black. The bag features leather-threaded gold chain shoulder straps with leather shoulder pads, a prominent quilted Chanel CC logo on the front, and a wide rear pocket. The top is open to a partitioned black satin fabric interior with zipper and patch pockets. This is a classic tote, with versatility for day or evening, from Chanel!",Very G,"Creases, edge wear , marks","Scratch(es) , plating",Creases,"Musty odor, marks",
Lambskin Quilted Drawstring Backpack Black,https://www.fashionphile.com/chanel-lambskin-quilted-drawstring-backpack-black-509824,"
                                                    $1,925                                            ",Chanel,"4,000",509824,Backpacks,12 ,11.25 ,4 ,13.25 ,,dust bag,"We guarantee this is an authentic CHANEL Lambskin Quilted Drawstring Backpack Black or 100% of your money back. This luxurious backpack is crafted of fine quilted lambskin leather in black. The bag features leather threaded gold chain shoulder straps, and a black leather cinch cord with a gold CC turn lock closure. The flap opens to a spacious black leather interior with zipper pockets. This is an excellent backpack, ideal for everyday use, from Chanel!",Very G,"Scuffs , structure loss , edge wear , glue residue , painted or dyed",Scratch(es),"Scuffs , frayed stitch(es)",Scuffs,
Aged Calfskin Quilted Medium Gabrielle Hobo Beige Black,https://www.fashionphile.com/chanel-aged-calfskin-quilted-medium-gabrielle-hobo-beige-black-509869,"
                                                    $3,380                                            ",Chanel,"4,100",509869,Crossbody,11 ,8.5 ,4 ,28.5 ,2018,"dust bag, retail tags attached, authenticity card","We guarantee this is an authentic CHANEL Aged Calfskin Quilted Medium Gabrielle Hobo Beige Black or 100% of your money back. This chic hobo is crafted of diamond stitched textured aged beige leather and smooth black calfskin leather. The shoulder bag features a smooth black leather base, polished gold, silver and ruthenium chain threaded black leather shoulder strap and black leather zipper pull with a matte gold CC logo. This versatile bag can be worn a multitude of ways. The top zipper pull opens to a spacious deep red fabric interior with patch and zipper pockets. This cross body bag has room for all your essentials with the timeless style only from Chanel! ",New,,,,Protective plastic sticker(s) intac,
Lambskin CC Drawstring Bag Navy Blue,https://www.fashionphile.com/chanel-lambskin-cc-drawstring-bag-navy-blue-509901,"
                                                    $885                                            ",Chanel,,509901,Handbags,11 ,10.75 ,7 ,14.25 ,,bag char,"We guarantee this is an authentic CHANEL Lambskin CC Drawstring Bag Navy Blue or 100% of your money back. This stylish bucket style shoulder bag is crafted of lambskin leather that is diamond quilted at the bottom trim. The bag features brass eyelets for the brass chain link shoulder strap and cinch cords with a leather shoulder pad. The handbag opens to a spacious leather interior. This is a perfect shoulder bag, ideal for day or evening use, from Chanel!",Very G,"Creases, scuffs , edge wear , marks","Scratch(es) , plating","Edge wear , creases","Scuffs , musty odor, marks",Worn serial number(s)
Aged Calfskin Quilted Medium Gabrielle Hobo Beige Black,https://www.fashionphile.com/chanel-aged-calfskin-quilted-medium-gabrielle-hobo-beige-black-509962,"
                                                    $2,905                                            ",Chanel,"4,100",509962,Crossbody,10.75 ,8.5 ,3.75 ,28 ,2017,"box, dust bag, authenticity card","We guarantee this is an authentic CHANEL Aged Calfskin Quilted Medium Gabrielle Hobo Beige Black or 100% of your money back. This chic hobo is crafted of diamond-stitched, textured, aged beige leather and smooth black calfskin leather. The shoulder bag features a smooth black leather base, polished gold, silver and ruthenium chain threaded black leather shoulder strap and black leather zipper pull with a matte gold CC logo. This versatile bag can be worn in a multitude of ways. The top zipper pull opens to a spacious a deep red fabric interior with patch and zipper pockets. This crossbody bag has room for all your essentials with the timeless style only from Chanel! ",Excell,,,,,
