productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Caviar CC Shoulder Bag Pink,https://www.fashionphile.com/chanel-caviar-cc-shoulder-bag-pink-469738,"
                                                    $860                                            ",Chanel,,469738,Handbags,11.25 ,9.75 ,4.75 ,14.5 ,Circa 1990s,authenticity card,"We guarantee this is an authentic CHANEL Caviar CC Shoulder Bag Pink or 100% of your money back. This chic tote is crafted of luxurious pink caviar leather. The shoulder bag features a gold chain link leather threaded shoulder strap with a shoulder pad and a gold top zipper closure with a hanging CC ball. This opens to a beige leather interior with a central zipper compartment and pockets on either side. This is an excellent tote for day or evening wear with the timeless, one of a kind style, from Chanel!",Very G,"Corner wear, creases, scuffs , edge wear , marks","Scratch(es) , tarnish","Edge wear , marks, frayed stitch(es)","Musty odor, marks",
Metallic Aged Calfskin Quilted 2.55 Reissue 227 Flap Gold,https://www.fashionphile.com/chanel-metallic-aged-calfskin-quilted-255-reissue-227-flap-gold-483118,"
                                                    $2,465                                            ",Chanel,"6,900",483118,Handbags,12.5 ,8.25 ,3.75 ,20.5 ,2009,"box, authenticity card","We guarantee this is an authentic CHANEL Metallic Aged Calfskin Quilted 2.55 Reissue 227 Flap Gold or 100% of your money back. This is a chic classic reissue is crafted of quilted calfskin leather in gold. The shoulder bag has ruthenium tightly linked shoulder chains and a ruthenium squared Chanel turn lock closure. This opens to an interior of matching matte leather with patch pockets. This is an excellent reissue that is as sophisticated as it is chic and will be a fabulous everyday bag, with the special touch of quality and style you expect from Chanel! ",Excell,Faint corner wea,Faint scratch(es),,"Marks, imprints",
Lambskin Quilted Medium Single Flap Black,https://www.fashionphile.com/chanel-lambskin-quilted-medium-single-flap-black-466971,"
                                                    $2,160                                            ",Chanel,,466971,Handbags,9.75 ,7.25 ,3 ,15.25 ,Circa 2000s,dust bag,We guarantee this is an authentic CHANEL Lambskin Quilted Medium Single Flap Black or 100% of your money back. This stunning model is finely composed of luxuriously supple diamond quilted lambskin. The bag features leather-threaded gold chain-link shoulder straps and a gold plated Chanel CC turn lock. This opens the front flap to a bordeaux leather interior with a hanging zipper pocket. This is a marvelous shoulder bag for day or evening with the timeless quality and style of Chanel! ,Very G,"Corner wear, creases, scuffs , discoloration, edge wea","Scratch(es) , pitt","Surface wear , edge wear","Scuffs , musty odor, marks",
Lambskin Quilted Medium Trendy CC Flap Black,https://www.fashionphile.com/chanel-lambskin-quilted-medium-trendy-cc-flap-black-475724,"
                                                    $2,570                                            ",Chanel,"4,500",475724,Handbags,10.25 ,6.5 ,1.5 ,13.25 ,2014,authenticity card,We guarantee this is an authentic CHANEL Lambskin Quilted Medium Trendy CC Flap Black or 100% of your money back. This stylish shoulder bag is crafted of quilted lambskin leather in Black. The refined bag features a polished gold chain link leather threaded shoulder strap with a matching shoulder pad and a long gold Chanel logo plate on top. The flap opens to a partitioned burgundy leather interior with zipper and patch pockets. This is a fabulous day or evening tote from Chanel!,Very G,"Scuffs , discoloration, faint corner wea",Scratch(es),"Edge wear , creases","Discoloration, scuffs , musty odor, pocket(s) stretched",
Grained Calfskin Jumbo Classic Pure Double Flap Nude,https://www.fashionphile.com/chanel-grained-calfskin-jumbo-classic-pure-double-flap-nude-434373,"
                                                    $3,585                                            ",Chanel,"5,900",434373,Handbags,12 ,7.5 ,3.75 ,13 ,2017,"authenticity card, box, dust bag","We guarantee this is an authentic CHANEL Grained Calfskin Jumbo Classic Pure Double Flap Nude or 100% of your money back. This stylish shoulder bag is crafted of luxurious grained calfskin leather in nude. It features aged brass chain link leather-threaded shoulder straps, a rear patch pocket and a front flap crafted of grained calfskin leather with a gold CC turn lock. The flap opens to a second flap and a nude fabric interior with patch pockets. This is a classic shoulder bag, from Chanel!",Very G,"Corner wear, scuffs , color transfer , edge wear , stain(s)",Scratch(es),"Surface wear , edge wear , color transfer","Musty odor, surface wear, marks, imprints",
Lambskin Quilted XL Jumbo Single Flap Black,https://www.fashionphile.com/chanel-lambskin-quilted-xl-jumbo-single-flap-black-469735,"
                                                    $3,530                                            ",Chanel,,469735,Crossbody,13 ,8.5 ,3.75 ,24.75 ,Circa 1990s,authenticity card,"We guarantee this is an authentic CHANEL Lambskin Quilted XL Jumbo Single Flap Black or 100% of your money back. This stunning classic flap bag circa 1991-1994 is finely crafted of quilted luxurious black lambskin leather. The bag features a gold chain link shoulder straps threaded with black leather, a front flap, and an oversized 24k gold plated CC Chanel turn lock. This opens to a burgundy leather interior with zipper and patch pockets. This is a wonderful bag that is ideal for day or evening from Chanel!",Very G,"Corner wear, creases, scuffs , edge wear , indentations, imprints",Scratch(es),"Edge wear , scuffs","Scuffs , marks, pocket(s) stretched, bubbled",
Crocodile Embossed Calfskin Graffiti 2.55 Cocodile Mini Reissue Flap Black Gold,https://www.fashionphile.com/chanel-crocodile-embossed-calfskin-graffiti-255-cocodile-mini-reissue-flap-black-gold-411430,"
                                                    $3,500                                            ",Chanel,,411430,Crossbody,8 ,5.25 ,3.25 ,20.75 ,2019,"authenticity card, box, dust bag","We guarantee this is an authentic CHANEL Crocodile Embossed Calfskin Graffiti 2.55 Cocodile Mini Reissue Flap Black Gold or 100% of your money back. This edgy cross body bag is featured in ""Cocodile"" calfskin leather, embossed with a crocodile print and painted in a gold graffiti. The hardware includes a long gold bijoux chain link shoulder strap and a front gold squared Mademoiselle turn lock. The single flap opens to a compact black leather and fabric interior with card slots and flat pockets. This versatile wallet on chain is suitable for day or evening use from Chanel!",New,,Protective plastic sticker(s) intact,,,
Caviar Quilted Jumbo Kelly Flap Black,https://www.fashionphile.com/chanel-caviar-quilted-jumbo-kelly-flap-black-488349,"
                                                    $2,395                                            ",Chanel,,488349,Handbags,11.75 ,9.25 ,4.5 ,3.25 ,2005,authenticity card,"We guarantee this is an authentic CHANEL Caviar Quilted Jumbo Kelly Flap Black or 100% of your money back. This classic bag is crafted of diamond quilted luxurious caviar leather in black. It features a leather top handle with gold links, a rear patch pocket and a gold Chanel CC turn-lock for the facing flap. This opens to a black leather interior with zipper and patch pockets. This tote has room for all your essentials, with the timeless style of Chanel!",Very G,"Corner wear, structure wear , edge wear , marks, faint scuffs",Faint scratch(es),Structure wear,"Creases, scuffs , marks, edge wea",
Lambskin Chevron Quilted Jumbo Double Flap Black,https://www.fashionphile.com/chanel-lambskin-chevron-quilted-jumbo-double-flap-black-505682,"
                                                    $4,995                                            ",Chanel,"6,400",505682,Crossbody,11.5 ,7.5 ,3.5 ,24.25 ,2017,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Lambskin Chevron Quilted Jumbo Double Flap Black or 100% of your money back. This stylish shoulder bag is crafted of chevron-quilted lambskin leather in black. The bag features a light gold chain-link leather threaded shoulder strap and a front flap with a polished gold Chanel CC turn-lock. This opens to reveal an inner flap and a black leather interior with patch pockets. This is a beautiful shoulder bag, ideal for day or evening, from Chanel!",Excell,"Corner wear, edge wear , faint scuffs",Scratch(es),Edge wear,"Scuffs , imprints, protective plastic sticker(s) intac",
Caviar Quilted Grand Shopping Tote GST Navy Blue,https://www.fashionphile.com/chanel-caviar-quilted-grand-shopping-tote-gst-navy-blue-507576,"
                                                    $2,595                                            ",Chanel,"2,900",507576,Handbags,13.25 ,9.5 ,5.25 ,9 ,2014,authenticity card,"We guarantee this is an authentic CHANEL Caviar Quilted Grand Shopping Tote GST Navy Blue or 100% of your money back. This stunning tote is crafted of luxurious diamond-quilted caviar leather in navy blue, with a prominent Chanel CC logo stitched on the front. The bag features a leather-threaded polished silver chain-link shoulder straps with shoulder pads. The top is open to a partitioned grey satin fabric interior with zipper and patch pockets. This is a chic tote, ideal for day or evening wear, with the timeless appeal of Chanel!",Very G,"dge wear , faint corner wea",Faint scratch(es),,"Mothball odor, marks, pilling",
Metallic Lambskin Chevron Quilted Small Boy Flap Purple,https://www.fashionphile.com/chanel-metallic-lambskin-chevron-quilted-small-boy-flap-purple-506727,"
                                                    $4,595                                            ",Chanel,,506727,Crossbody,7.75 ,5 ,2.5 ,22 ,2916,"authenticity card, dust bag, box","We guarantee this is an authentic CHANEL Metallic Lambskin Chevron Quilted Small Boy Flap Purple or 100% of your money back. This chic shoulder bag is crafted of finely grained caviar lambskin leather in shimmering light purple. The shoulder bag features a polished chain link shoulder strap with a leather shoulder pad, a chevron quilted flap with a linear quilted border and a polished silver CC push lock. The flap opens to a matching fabric interior with a patch pocket. This is an ideal shoulder bag for day or evening, from Chanel!",Excell,Faint corner wea,,,,
Aged Calfskin Quilted 2.55 Reissue Mini Flap Green,https://www.fashionphile.com/chanel-aged-calfskin-quilted-255-reissue-mini-flap-green-506188,"
                                                    $3,295                                            ",Chanel,"3,500",506188,Crossbody,7.5 ,5.25 ,3 ,21 ,2019,"authenticity card, box, dust bag","We guarantee this is an authentic CHANEL Aged Calfskin Quilted 2.55 Reissue Mini Flap Green or 100% of your money back. This stylish shoulder bag is beautifully crafted of diamond quilted aged calfskin leather in green. The bag features a light gold reissue chain shoulder strap, and a matching gold mademoiselle turn lock on the front. This opens the bag to a smooth green leather interior with zipper and patch pockets. This is a beautiful shoulder bag that is ideal for day or evening wear, from Chanel! ",Excell,Faint corner wea,Protective plastic sticker(s) intact,,,
Tweed Quilted Mini Rectangular Flap Blue Pink Orange,https://www.fashionphile.com/chanel-tweed-quilted-mini-rectangular-flap-blue-pink-orange-505670,"
                                                    $4,395                                            ",Chanel,,505670,Crossbody,8 ,2.5 ,,22.25 ,2020,"dust bag, box, authenticity card","We guarantee this is an authentic CHANEL Tweed Quilted Mini Rectangular Flap Blue Pink Orange or 100% of your money back. This stunning small crossbody shoulder bag is crafted of multicolor tweed.  The bag features an iridescent chain link shoulder strap threaded with purple leather and a frontal flap with an iridescent Chanel CC turn lock. This opens to a compact purple leather interior with zipper and patch pockets. This is a beautiful bag for any occasion, from Chanel!",New,,Faint scratch(es),,,
