productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Pebbled Calfskin Kids Mini Soho Flap Crossbody Bag Light Pink,https://www.fashionphile.com/gucci-pebbled-calfskin-kids-mini-soho-flap-crossbody-bag-light-pink-448621,"
                                                    $465                                            ",Gucci,,448621,Crossbody,6.5 ,5.75 ,1.25 ,18.5 ,,,"We guarantee this is an authentic GUCCI Pebbled Calfskin Kids Mini Soho Flap Crossbody Bag Light Pink or 100% of your money back. This petite crossbody flap bag is crafted of fine leather in light pink and features a long leather shoulder strap, polished silver hardware, and a front flap with a prominent stitched interlocking GG logo. The bag opens to a natural linen interior. This is stylish bag that is perfect for day or night with room for all the necessities, from Gucci!",Excell,,"Scratch(es) , tarnish",Edge wear,Residue marks,
Microguccissima Mini Dome Bag Navy,https://www.fashionphile.com/gucci-microguccissima-mini-dome-bag-navy-500564,"
                                                    $1,050                                            ",Gucci,,500564,Crossbody,9.5 ,7.5 ,5 ,18.25 ,,"dust bag, strap","We guarantee this is an authentic GUCCI Microguccissima Mini Dome Bag Navy or 100% of your money back. This chic shoulder bag is crafted of Microguccissima-embossed leather in dark blue. The bag features rolled leather handles, an optional shoulder strap, and polished light gold hardware. The wrap-around zippers open to a spacious natural fabric interior with a patch pocket. This is an ideal handbag for everyday wear, only from Gucci!",New,,,,,Employee or sale stamp
Velvet Matelasse Medium GG Marmont Shoulder Bag Beige,https://www.fashionphile.com/gucci-velvet-matelasse-medium-gg-marmont-shoulder-bag-beige-505097,"
                                                    $1,150                                            ",Gucci,"1,980",505097,Crossbody,12.25 ,7.75 ,2.75 ,20.75 ,,"box, dust bag","We guarantee this is an authentic GUCCI Velvet Matelasse Medium GG Marmont Shoulder Bag Beige or 100% of your money back. This lovely bag is crafted of chevron-quilted velvet in brown, with a heart stitched on the back. The bag features an aged gold chain-link shoulder strap with a leather shoulder pad and a matching gold Gucci GG logo on the crossover flap. The bag opens with a press lock to a smooth pink satin fabric interior with zipper and patch pockets. This is a perfect everyday shoulder bag, from Gucci!",Very G,"Corner wear, edge wear , imprints, bald area(s)",Scratch(es),,Pocket(s) stretched,
GG Supreme Monogram Flora Web Small Ophidia Tote Bag Red,https://www.fashionphile.com/gucci-gg-supreme-monogram-flora-web-small-ophidia-tote-bag-red-508534,"
                                                    $1,555                                            ",Gucci,"2,150",508534,Crossbody,9.5 ,7.75 ,4 ,22 ,,rap,"We guarantee this is an authentic GUCCI GG Supreme Monogram Flora Web Small Ophidia Tote Bag Red or 100% of your money back. This stylish handbag is crafted of a beige canvas with a lovely bright colorful floral pattern. The tote features red leather trim, gold hardware, and red leather shoulder strap. The top is open to a beige linen interior with patch pockets. This is a magnificent handbag for everyday use from Gucci! ",New,,,,,
Bright Diamante Small Bucket Bag Black,https://www.fashionphile.com/gucci-bright-diamante-small-bucket-bag-black-495173,"
                                                    $525                                            ",Gucci,"1,450",495173,Crossbody,7.75 ,8.5 ,5.5 ,19 ,,dust bag,"We guarantee this is an authentic GUCCI Bright Diamante Small Bucket Bag Black or 100% of your money back. This stylish bucket style small shoulder bag is crafted of Diamante textured leather in bold black. The shoulder bag features sturdy smooth leather lower sides and a base for sturdiness, a leather waist length cross body shoulder strap and cinch cords threaded through polished light gold eyelets. The bag opens to a white Gucci monogram jacquard fabric interior with patch pockets. This is an ideal shoulder bag for everyday essentials, from Gucci! ",Very G,"Scuffs , color transfer , imprints",Faint scratch(es),Marks,Marks,
Nylon Guccissima Light Duffle Blue,https://www.fashionphile.com/gucci-nylon-guccissima-light-duffle-blue-487674,"
                                                    $550                                            ",Gucci,,487674,Crossbody,14 ,12 ,6 ,20.5 ,,"dust bag, strap","We guarantee this is an authentic GUCCI Nylon Guccissima Light Duffle Blue or 100% of your money back. This stylish large tote is crafted of classic Gucci monogram in blue nylon with blue leather adjustable handles. The top opens to a blue fabric interior with zipper and patch pockets. This is a chic tote for travel of all kinds, from Gucci!",Excell,,Faint scratch(es),,,
Calfskin Small Padlock Shoulder Bag Black,https://www.fashionphile.com/gucci-calfskin-small-padlock-shoulder-bag-black-484655,"
                                                    $1,010                                            ",Gucci,"1,850",484655,Crossbody,8 ,5.25 ,3 ,20 ,,"dust bag, clochette, 2 key",We guarantee this is an authentic GUCCI Calfskin Small Padlock Shoulder Bag Black or 100% of your money back. This stylish tote is crafted of smooth calfskin leather in black. The bag features a gold chain shoulder strap and a matching press-lock on the flap that opens to a beige microfiber interior with a patch pocket. This is an ideal everyday bag with the sophisticated style of Gucci!,Excell,"Creases, marks, faint scuffs","Scratch(es) , pitt",,"Scuffs , marks, imprints",
Microguccissima Mini Emily Shoulder Bag Black,https://www.fashionphile.com/gucci-microguccissima-mini-emily-shoulder-bag-black-427257,"
                                                    $835                                            ",Gucci,"1,200",427257,Crossbody,7 ,5.25 ,1.75 ,22.5 ,,,We guarantee this is an authentic GUCCI Microguccissima Mini Emily Shoulder Bag Black or 100% of your money back. This chic shoulder bag is crafted of fine Gucci GG monogram embossed leather in black. The bag features a light gold link shoulder strap with a leather shoulder pad and a decorative horse bit embellishment with leather tassels as a secure for the cross-over flap and strap insert. This opens to a spacious coarse fabric interior with a patch pocket. This shoulder bag is ideal for all of your evening necessities with the distinctive style of Gucci! ,Excell,"Scuffs , imprints, faint corner wea",Faint scratch(es),"Creases, scuffs","Scuffs , marks",
GG Supreme Monogram Web Backpack Black,https://www.fashionphile.com/gucci-gg-supreme-monogram-web-backpack-black-430475,"
                                                    $1,215                                            ",Gucci,"1,350",430475,Backpacks,12.25 ,16 ,5 ,17 ,,,"We guarantee this is an authentic GUCCI GG Supreme Monogram Web Backpack Black or 100% of your money back. This stylish backpack is crafted of Gucci GG monogram coated canvas with a green and red strip on the center of the bag. The bag features adjustable nylon shoulder straps and black leather trim with silver hardware. The top zipper opens to a spacious black fabric interior with zipper and patch pockets. This stylish backpack is suitable for school or light travel, with the designer appeal of Gucci!",Excell,Faint scuffs,,Sizing marks,,
Denim Monogram Large D Ring Tote Black,https://www.fashionphile.com/gucci-denim-monogram-large-d-ring-tote-black-471572,"
                                                    $355                                            ",Gucci,,471572,Handbags,15.75 ,10.75 ,6 ,7 ,,,We guarantee this is an authentic GUCCI Denim Monogram Large D Ring Tote Black or 100% of your money back. This chic tote is created og GG monogram denim in black with black leather trim. The bag features rolled the leather handles with silver links and leather top crest with a top zipper. This opens to a black fabric interior with room for your daytime or evening essentials with the sophisticated style of Gucci! ,Very G,"Corner wear, faded area(s), edge wear , frayed stitch(es)",Scratch(es),,"Scuffs , marks",Employee or sale stamp
Calfskin Matelasse Super Mini GG Marmont White,https://www.fashionphile.com/gucci-calfskin-matelasse-super-mini-gg-marmont-white-509487,"
                                                    $675                                            ",Gucci,890,509487,Crossbody,6.5 ,4.25 ,1.75 ,23.25 ,,"box, dust bag, strap","We guarantee this is an authentic GUCCI Calfskin Matelasse Super Mini GG Marmont White or 100% of your money back. This shoulder bag is crafted of chevron-quilted calfskin leather in white. This bag features an optional aged brass chain shoulder strap and a matching brass GG logo that opens to a beige microfiber interior with an attached key ring. This compact, yet spacious shoulder bag is perfect for anytime of the day; whether it be for casual or formal wear, from Gucci!",Very G,"Color transfer , marks, imprints",,Scratches,Marks,
Grained Calfskin Small Zumi Shoulder Bag Black,https://www.fashionphile.com/gucci-grained-calfskin-small-zumi-shoulder-bag-black-514854,"
                                                    $1,495                                            ",Gucci,"2,980",514854,Crossbody,9.25 ,5.5 ,1.75 ,21 ,,dust bag,We guarantee this is an authentic GUCCI Grained Calfskin Small Zumi Shoulder Bag Black or 100% of your money back. This chic structured shoulder bag is crafted of grained calfskin leather in black. It features a prominent front flap detailed with an adjustable shoulder strap. The flap opens to a burgundy fabric interior with zipper and three compartments. This is a one of a kind bag for a one of a kind look only from Gucci! ,Excell,Faint scuffs,Faint scratch(es),,,
GG Supreme Monogram Large Linea A Hobo Light Brown,https://www.fashionphile.com/gucci-gg-supreme-monogram-large-linea-a-hobo-light-brown-497690,"
                                                    $1,095                                            ",Gucci,"1,490",497690,Handbags,14.5 ,12.25 ,4.5 ,16.25 ,,dust bag,"We guarantee this is an authentic GUCCI GG Supreme Monogram Large Linea A Hobo Light Brown or 100% of your money back. This stylish tote is crafted of Gucci GG monogram coated canvas in beige. The bag features a brown looping leather shoulder strap, a gold chain shoulder strap, reinforced base corners, and leather trim. The top opens to a brown fabric interior with zipper and patch pockets. This is a perfect everyday hobo with the sophisticated style of Gucci! ",Excell,"dge wear , faint corner wea",Scratch(es),Scuffs,"k marks, scuffs , marks, frayed stitch(es)",
Pebbled Calfskin Medium Soho Studded Shoulder Bag Black,https://www.fashionphile.com/gucci-pebbled-calfskin-medium-soho-studded-shoulder-bag-black-514743,"
                                                    $1,250                                            ",Gucci,"2,000",514743,Handbags,14.75 ,10.75 ,5.5 ,9.25 ,,assel,"We guarantee this is an authentic GUCCI Pebbled Calfskin Medium Soho Studded Shoulder Bag Black or 100% of your money back.  This stylish tote is crafted of richly pebbled calfskin leather in black with a large polished silver studded interlocking Gucci GG patch on the front. This shoulder bag features silver chain shoulder straps with leather shoulder pads. The top opens to a ivory fabric interior with zipper and patch pockets. This handbag is spacious enough to carry all of your everyday necessities, with the stylish sophistication only from Gucci!",Very G,"Corner wear, edge wea",Faint scratch(es),"Wear at resin glazing, marks","Musty odor, surface wear, stain(s), frayed stitch(es)",
Calfskin Small Padlock Bamboo Shoulder Bag Black,https://www.fashionphile.com/gucci-calfskin-small-padlock-bamboo-shoulder-bag-black-514780,"
                                                    $1,995                                            ",Gucci,"2,900",514780,Crossbody,9.25 ,6.75 ,4 ,21.25 ,,"dust bag, clochette, 2 keys, strap","We guarantee this is an authentic GUCCI Calfskin Small Padlock Bamboo Shoulder Bag Black or 100% of your money back. This stylish tote is crafted of black textured leather with a vintage effect. The bag features a flap with a gold lock closure, a bamboo top handle, and a removable chain and leather shoulder strap. The flap opens to a beige microfiber interior with a zipper and patch pockets. This is an ideal everyday bag with a sophisticated style of Gucci!",Excell,Faint scuffs,,,,
Calfskin Matelasse GG Marmont Backpack Porcelain Rose,https://www.fashionphile.com/gucci-calfskin-matelasse-gg-marmont-backpack-porcelain-rose-515343,"
                                                    $1,850                                            ",Gucci,"1,980",515343,Backpacks,9 ,10 ,4 ,11.5 ,,dust bag,"We guarantee this is an authentic GUCCI Calfskin Matelasse GG Marmont Backpack Porcelain Rose or 100% of your money back. This backpack is crafted of supple chevron quilted calfskin leather in pink. This bag features a matching leather handle, 2 shoulder straps, an interlocking aged gold GG logo and an aged gold zipper that opens to a pink microfiber interior with patch pockets. This compact, yet spacious backpack is perfect for any time of the day, whether it be for casual or formal wear, from Gucci!",Excell,,Faint scratch(es),,Residue marks,
Calfskin Queen Margaret Clutch Black White,https://www.fashionphile.com/gucci-calfskin-queen-margaret-clutch-black-white-514350,"
                                                    $1,295                                            ",Gucci,"1,819",514350,Clutch & Evening,11.75 ,8.25 ,1.75 ,,,"dust bag, luggage tag","We guarantee this is an authentic GUCCI Calfskin Queen Margaret Clutch Black White or 100% of your money back. This bag is crafted of smooth calfskin leather in black and white. It features a front flap with an enameled aged gold bee encrusted with small faux pearls and faceted stones. The bag opens to a beige suede interior with zipper and patch pockets. This clutch is perfect for day or evening, from Gucci!",Excell,"Scuffs , imprints",,,Scuffs,
Calfskin Matelasse GG Marmont 2.0 Coin Purse On A Chain Black,https://www.fashionphile.com/gucci-calfskin-matelasse-gg-marmont-20-coin-purse-on-a-chain-black-514280,"
                                                    $550                                            ",Gucci,,514280,Wallets,5 ,3.25 ,1.25 ,4.5 ,,rap,"We guarantee this is an authentic GUCCI Calfskin Matelasse GG Marmont 2.0 Coin Purse On A Chain Black or 100% of your money back. This petite bag is crafted of smooth and supple calfskin leather in black. The bag features an optional aged gold chain strap and a matching gold GG logo on the crossover flap. This opens to a compact beige microfiber interior. This mini bag is perfect for any time of the day, for casual or formal wear, from Gucci!",Very G,dge wea,Faint scratch(es),,Scuffs,
Monogram Equestrian Horseshoe Bowler White,https://www.fashionphile.com/gucci-monogram-equestrian-horseshoe-bowler-white-497256,"
                                                    $350                                            ",Gucci,,497256,Handbags,9.75 ,8.25 ,4.75 ,3.25 ,,dust bag,"We guarantee this is an authentic GUCCI Monogram Equestrian Horseshoe Bowler White or 100% of your money back. This small tote is crafted of classic Gucci monogram canvas. The bag features rolled leather top handles with trim with large brass bent nail handle links and Horsebit embellishments. The top zipper opens to a mocha fabric interior. This is a marvelous tote for day, from Gucci! ",Very G,"Corner wear, creases, edge wear , marks","Tarnished, plating wear , pitted, faint scratch(es)","Surface wear , scuffs , wear at resin glazing, missing additional strap , splitting","Marks, edge wea",
Pebbled Calfskin Medium Bamboo Shopper Tote Dark Cipria,https://www.fashionphile.com/gucci-pebbled-calfskin-medium-bamboo-shopper-tote-dark-cipria-515563,"
                                                    $495                                            ",Gucci,"1,890",515563,Handbags,13.25 ,8.25 ,5.75 ,4 ,,(strap not included),"We guarantee this is an authentic GUCCI Pebbled Calfskin Medium Bamboo Shopper Tote Dark Cipria or 100% of your money back. This chic tote is featured is crafted of calfskin leather in pink. The bag features a genuine bamboo top handles, a detachable shoulder strap and gold hardware. The top opens to a beige fabric interior with a zippered compartment, zipper and patch pockets. This is an excellent bag for everyday use rom Gucci.",G,"Corner wear, structure wear , edge wea","Scratch(es) , tarnish",Missing additional strap,"k marks, musty odor, surface wear, stain(s)",
Pebbled Calfskin Medium Soho Chain Shoulder Bag Black,https://www.fashionphile.com/gucci-pebbled-calfskin-medium-soho-chain-shoulder-bag-black-515548,"
                                                    $1,295                                            ",Gucci,"1,980",515548,Handbags,14.75 ,10.75 ,5.25 ,8 ,,"dust bag, tassel","We guarantee this is an authentic GUCCI Pebbled Calfskin Medium Soho Chain Shoulder Bag Black or 100% of your money back. This shoulder bag is crafted of textured calfskin leather in black. The bag features a prominent front interlocking GG quilted logo, polished light gold chain link shoulder straps with shoulder pads, and a decorative light gold knobbed tassel. The shoulder bag opens to a beige linen fabric interior with zipper and patch pockets. This shoulder bag is an ideal statement bag, with the sophisticated style only from Gucci!",Very G,"Corner wear, edge wear , marks","Scratch(es) , pitt",,Marks,
Grosgrain Crystal Embellished Square G Shoulder Bag Black,https://www.fashionphile.com/gucci-grosgrain-crystal-embellished-square-g-shoulder-bag-black-515520,"
                                                    $895                                            ",Gucci,,515520,Crossbody,7.75 ,4.75 ,2.25 ,22.5 ,,rap,"We guarantee this is an authentic GUCCI Grosgrain Crystal Embellished Square G Shoulder Bag Black or 100% of your money back. This stylish bag is crafted of black fabric with sequin and crystal flowers. This shoulder bag features a gold with black rope shoulder strap and a crystal G closure. The flap opens to reveal a spacious blue satin fabric interior. This is a sleek one of a kind shoulder bag, with the sophistication and style from Gucci!  ",Excell,,Faint scratch(es),,Scuffs,
Canvas Calfskin Sylvie Stripe Logo Tote Red White Blue,https://www.fashionphile.com/gucci-canvas-calfskin-sylvie-stripe-logo-tote-red-white-blue-515403,"
                                                    $695                                            ",Gucci,"1,650",515403,Handbags,16 ,16.75 ,2.25 ,11 ,,dust bag,"We guarantee this is an authentic GUCCI Canvas Calfskin Sylvie Stripe Logo Tote Red White Blue or 100% of your money back. This stylish bag is crafted of striped canvas with red leather trim. The leather top handles open to a red fabric interior with a zipper pocket. This stylish tote is suitable for daily necessities or light travel, with the designer appeal of Gucci!",Excell,Marks,,,,
GG Supreme Calfskin Printed Web Totem Three Piece Shoulder Bag,https://www.fashionphile.com/gucci-gg-supreme-calfskin-printed-web-totem-three-piece-shoulder-bag-515281,"
                                                    $2,850                                            ",Gucci,"3,520",515281,Clutch & Evening,7.5 ,21.5 ,1.5 ,16 ,,"3 dust bags, strap, 3 pouc","We guarantee this is an authentic GUCCI GG Supreme Calfskin Printed Web Totem Three Piece Shoulder Bag or 100% of your money back. This Gucci three-piece shoulder bag set with coated canvas monogram messenger, pebbled leather portfolio with webbing and floral-print leather clutch. The bags can be mixed and matched and worn without the strap to create the perfect bag for any occasion. The strap is crafted of red and green webbing and aged brass hardware. This is a fabulous bag for everyday wear with the sophisticated style of Gucci!",New,,,,,
Metallic Calfskin Small Soho Top Handle Bag Pink,https://www.fashionphile.com/gucci-metallic-calfskin-small-soho-top-handle-bag-pink-515105,"
                                                    $715                                            ",Gucci,"1,750",515105,Handbags,12.75 ,9.25 ,5.75 ,19.75 ,,rap,"We guarantee this is an authentic GUCCI Metallic Calfskin Small Soho Top Handle Bag Pink or 100% of your money back. This stylish medium sized tote is crafted of finely textured calfskin leather in metallic pink. The bag features a quilted interlocking GG on the front, leather strap top handles with pale brass links, an optional cross-body shoulder strap with clasps and a light brass knobbed leather tassel zipper pull. This opens to a natural fabric interior with zipper and patch pockets. This tote has room for everyday essentials and the sophisticated style of Gucci!",Very G,"Scuffs , edge wear , marks, substantial corner wea","Scratch(es) , plating","Edge wear , scuffs , sizing marks","Musty odor, marks",
Calfskin Matelasse Mini GG Marmont Black,https://www.fashionphile.com/gucci-calfskin-matelasse-mini-gg-marmont-black-515016,"
                                                    $1,650                                            ",Gucci,"1,890",515016,Crossbody,8.5 ,5.5 ,2.25 ,21.5 ,,"dust bag, box","We guarantee this is an authentic GUCCI Calfskin Matelasse Mini GG Marmont Black or 100% of your money back. This shoulder bag is crafted of smooth calfskin leather in a classic black. This bag features an aged gold chain shoulder strap and an interlocking aged gold GG logo on the front. The flap opens to a beige microfiber interior with a patch pocket. This compact, yet spacious shoulder bag is perfect for any time of the day only from Gucci!",Excell,Creases,Faint scratch(es),,Scuffs,
Imprime Monogram Small Shoulder Bag Rose Blush,https://www.fashionphile.com/gucci-imprime-monogram-small-shoulder-bag-rose-blush-516922,"
                                                    $625                                            ",Gucci,,516922,Shoulder Bags,8 ,5.25 ,1.5 ,,,,We guarantee this is an authentic GUCCI Imprime Monogram Small Shoulder Bag Rose Blush or 100% of your money back. This chic shoulder bag is crafted of rich Gucci GG monogram embossed fuchsia red leather. The bag features a long leather shoulder strap with gold links and a facing zipper pocket. The top zipper opens to an emblem jacquard fabric interior with room for your daytime necessities and the sophisticated style only from Gucci! ,Excell,"dge wear , faint scuffs",Faint scratch(es),Scuffs,Surface wea,
Dollar Calfskin Interlocking G Chain Wallet Black,https://www.fashionphile.com/gucci-dollar-calfskin-interlocking-g-chain-wallet-black-514793,"
                                                    $795                                            ",Gucci,"1,450",514793,Clutch & Evening,7.5 ,4.5 ,1.5 ,23.25 ,,"box, strap","We guarantee this is an authentic GUCCI Dollar Calfskin Interlocking G Chain Wallet Black or 100% of your money back. This stylish clutch wallet is crafted of textured calfskin leather in black. It features a crossover flap with a polished light gold interlocking Gucci GG logo, an optional matching gold chain link crossbody strap, and opens to a black leather interior with card slots and a zipper compartment. This is a beautiful crossbody wallet for everyday use, from Gucci!",Excell,Faint corner wea,Scratch(es),,,Employee or sale stamp
Metallic Pebbled Calfskin Medium Soho Tote Pewter,https://www.fashionphile.com/gucci-metallic-pebbled-calfskin-medium-soho-tote-pewter-516870,"
                                                    $1,025                                            ",Gucci,"2,150",516870,Handbags,13.5 ,11.5 ,7 ,6.25 ,,"dust bag, tassel","We guarantee this is an authentic GUCCI Metallic Pebbled Calfskin Medium Soho Tote Pewter or 100% of your money back. This stylish tote is crafted of fine soft leather in silver. The bag features leather strap top handles with dark silver links, a hanging tassel, and a large facing interlocking quilted GG. The top is open to an ivory fabric interior with zipper and flat pockets. This is a splendid tote to have for every every occasion with the stylish sophistication only from Gucci! ",Very G,"Scuffs , indentations","Scratch(es) , plating",Structure wear,Marks,
Calfskin Matelasse Super Mini GG Marmont Black,https://www.fashionphile.com/gucci-calfskin-matelasse-super-mini-gg-marmont-black-479307,"
                                                    $820                                            ",Gucci,890,479307,Clutch & Evening,6.5 ,4.25 ,1.5 ,23 ,,"dust bag, box, strap","We guarantee this is an authentic GUCCI Calfskin Matelasse Super Mini GG Marmont Black or 100% of your money back. This shoulder bag is crafted of smooth calfskin leather in black. This bag features an optional aged gold chain shoulder strap, and an interlocking aged gold GG logo on the front. The flap opens to a beige microfiber interior with an attached key ring. This compact, yet spacious shoulder bag is perfect for any time of the day only from Gucci!",Very G,"Faint corner wear, faint scuffs, frayed stitch(es)","Scratch(es) , plating",,"k marks, scuffs , surface wear, stain(s), bubbled",
Calfskin Matelasse Mini GG Marmont 2.0 Bucket Bag Pink,https://www.fashionphile.com/gucci-calfskin-matelasse-mini-gg-marmont-20-bucket-bag-pink-505226,"
                                                    $995                                            ",Gucci,,505226,Crossbody,5.25 ,7 ,4.25 ,22.5 ,,"dust bag, key ring","We guarantee this is an authentic GUCCI Calfskin Matelasse Mini GG Marmont 2.0 Bucket Bag Pink or 100% of your money back. This structured bucket bag is crafted of soft calfskin leather in pink with a beautifully stitched chevron pattern. It features an aged chain shoulder strap, a top cinch cord, and an aged gold interlocking GG logo. On the back of this beautifully crafted bag, there is a heart stitched design. This bag opens to a light grey microfiber interior with patch pockets and is perfect for every day, from Gucci!",New,,,,,
Satin Small Dionysus Shoulder Bag Black,https://www.fashionphile.com/gucci-satin-small-dionysus-shoulder-bag-black-457502,"
                                                    $1,540                                            ",Gucci,"2,200",457502,Crossbody,9.5 ,5.25 ,3 ,22.25 ,,dust bag,"We guarantee this is an authentic GUCCI Satin Small Dionysus Shoulder Bag Black or 100% of your money back. This stylish bag is crafted of black satin and features a dark silver chain shoulder strap and a textured horseshoe closure with sculpted & engraved tiger heads at the end. This opens to a pink suede interior for a sophisticated look for everyday essentials, only from Gucci!   ",Excell,Structure loss,,,"Creases, scuffs , cigarette od",
GG Supreme Monogram Mini Dionysus Shoulder Bag Taupe,https://www.fashionphile.com/gucci-gg-supreme-monogram-mini-dionysus-shoulder-bag-taupe-515171,"
                                                    $1,595                                            ",Gucci,,515171,Crossbody,8 ,6 ,2.25 ,24 ,,,"We guarantee this is an authentic GUCCI GG Supreme Monogram Mini Dionysus Shoulder Bag Taupe or 100% of your money back. This stylish bag is crafted of traditional Gucci GG monogram supreme canvas. This shoulder bag features an aged silver chain shoulder strap and a textured horseshoe tiger spur closure. The double flap opens to reveal an exterior taupe suede flap and a coated canvas front pocket. The main compartment of this stunning bag is a brown suede interior for everyday essentials. This is a sleek one of a kind shoulder bag, with the sophistication and style from Gucci!  ",Excell,,Faint scratch(es),,mprints,
Calfskin Medium Dionysus Shoulder Bag Dusty Grey,https://www.fashionphile.com/gucci-calfskin-medium-dionysus-shoulder-bag-dusty-grey-514739,"
                                                    $2,095                                            ",Gucci,"2,900",514739,Handbags,11.75 ,8.25 ,2.5 ,14.5 ,,,"We guarantee this is an authentic GUCCI Calfskin Medium Dionysus Shoulder Bag Dusty Grey or 100% of your money back. This stylish bag is crafted of textured calfskin leather in grey. This shoulder bag features a silver chain-link shoulder strap and a textured crystal-encrusted horseshoe closure with tiger head spurs. The bag opens with a press lock to a partitioned beige fabric interior with a zipper pocket. This stunning shoulder bag is suitable for any occasion, from Gucci!",Excell,dge wea,Faint scratch(es),,,
Nylon Monogram Medium Abbey Convertible Tote Black,https://www.fashionphile.com/gucci-nylon-monogram-medium-abbey-convertible-tote-black-514719,"
                                                    $425                                            ",Gucci,,514719,Handbags,17.5 ,14 ,1.75 ,9.5 ,,"dust bag, strap","We guarantee this is an authentic GUCCI Nylon Monogram Medium Abbey Convertible Tote Black or 100% of your money back. This chic tote is crafted of black Gucci GG monogram nylon. It features an optional rolled leather shoulder strap, elegant black leather straps that extend into looping top handles with polished ruthenium hardware. The top of the bag is open to a black fabric interior with a zipper and patch pocket. This stupendous tote is ideal for everyday use from Gucci! ",Very G,"Corner wear, edge wear , wear at resin glazing",Scratch(es),"Scuffs , wear at resin glazing",,
Monogram Web Belt Bag Dark Brown,https://www.fashionphile.com/gucci-monogram-web-belt-bag-dark-brown-509224,"
                                                    $475                                            ",Gucci,590,509224,Belt Bags,12 ,7 ,1 ,,,,"We guarantee this is an authentic GUCCI Monogram Web Belt Bag Dark Brown or 100% of your money back. This chic belt bag is finely crafted of classic brown on beige Gucci GG monogram canvas. The bag features two boxy exterior pockets on one side and a wide zippered pocket on the reverse with a fabric strap. The exterior pockets include a leather flap pocket and a zipper pocket with leather trim. This is a classic and functional bag for essentials on the go with stylish sophistication, from Gucci!",Very G,"Discoloration, edge wear , faint corner wea","Scratch(es) , tarnish","Edge wear , pilling",,
Pebbled Calfskin Small Soho Disco Bag Tabasco Red,https://www.fashionphile.com/gucci-pebbled-calfskin-small-soho-disco-bag-tabasco-red-512313,"
                                                    $1,075                                            ",Gucci,"1,190",512313,Crossbody,8.25 ,6 ,2.75 ,21.5 ,,dust bag,"We guarantee this is an authentic GUCCI Pebbled Calfskin Small Soho Disco Bag Tabasco Red or 100% of your money back. This stylish crossbody bag is crafted of textured calfskin leather in red. This shoulder bag features an adjustable leather shoulder strap, a stitched interlocking GG logo and a polished brass knobbed leather tassel zipper pull. The top zipper opens to a natural fiber interior with patch pockets. This is a stylish and classic everyday bag, only from Gucci!",Excell,,Faint scratch(es),,,
Pebbled Calfskin Small Soho Disco Bag Rose Beige,https://www.fashionphile.com/gucci-pebbled-calfskin-small-soho-disco-bag-rose-beige-515304,"
                                                    $1,050                                            ",Gucci,"1,190",515304,Crossbody,8.25 ,6 ,2.75 ,21.5 ,,dust bag,"We guarantee this is an authentic GUCCI Pebbled Calfskin Small Soho Disco Bag Rose Beige or 100% of your money back. This stylish crossbody bag is crafted of pebbled calfskin leather in rose-toned beige. The bag features an adjustable leather shoulder strap with polished light gold hardware, and a prominent interlocking GG logo stitched on the front. The light gold-knobbed leather tassel zipper pull opens to a natural fiber interior with patch pockets. This is a chic and classic everyday bag, only from Gucci!",Excell,dge wea,Faint scratch(es),Edge wear,,
Pebbled Calfskin Medium Logo Portfolio Clutch Black,https://www.fashionphile.com/gucci-pebbled-calfskin-medium-logo-portfolio-clutch-black-516522,"
                                                    $785                                            ",Gucci,950,516522,Clutch & Evening,12 ,9.25 ,1 ,,,dust bag,"We guarantee this is an authentic GUCCI Pebbled Calfskin Medium Logo Portfolio Clutch Black or 100% of your money back. This compact pouch is crafted of pebbled black calfskin leather, and features the Gucci namesake in the center along with a web stripe and the GG logo. The case opens with an aged gold zipper to a matching black suede interior, with the special touch of stylish sophistication from Gucci!",Excell,,Faint scratch(es),,"Residue marks , surface wea",
Calfskin Web Mini Dionysus Chain Wallet Black,https://www.fashionphile.com/gucci-calfskin-web-mini-dionysus-chain-wallet-black-514662,"
                                                    $1,050                                            ",Gucci,"1,450",514662,Clutch & Evening,7.75 ,5.25 ,1.75 ,23.75 ,,"box, dust bag, strap","We guarantee this is an authentic GUCCI Calfskin Web Mini Dionysus Chain Wallet Black or 100% of your money back. This stylish shoulder bag is crafted of textured calfskin leather in black, embossed to give it a boar skin effect. This bag features a red and green web stripe on the crossover flap, an optional aged silver chain-link shoulder strap, and a gold horseshoe closure with tiger head spurs. This opens the bag to a partitioned black leather and fabric interior with card slots, patch pockets, and a zipper compartment. This is a sophisticated shoulder bag, suitable for everyday essentials, from Gucci!",Excell,,,,"Scuffs , marks",
Denim Calfskin Web Tote Black,https://www.fashionphile.com/gucci-denim-calfskin-web-tote-black-514369,"
                                                    $625                                            ",Gucci,,514369,Handbags,13 ,8.5 ,2.5 ,7 ,,dust bag,"We guarantee this is an authentic GUCCI Denim Calfskin Web Tote Black or 100% of your money back. This stylish tote is finely crafted of classic black denim canvas. The tote features black cowhide leather trim and green and red canvas top handles with leather grips. The top opens to a black nylon logo interior with a zipper pocket. This is a perfect tote for everyday essentials, only from Gucci! ",Very G,Scuffs,Faint scratch(es),Scuffs,,
