productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Velvet Large Horsebit 85th Anniversary Hobo Brown,https://www.fashionphile.com/gucci-velvet-large-horsebit-85th-anniversary-hobo-brown-512557,"
                                                    $535                                            ",Gucci,,512557,Handbags,16.5 ,10.25 ,,8.25 ,,,"We guarantee this is an authentic GUCCI Velvet Large Horsebit 85th Anniversary Hobo Brown or 100% of your money back. This stunning hobo is crafted of rich velvet printed with an intricate belt motif in brown and gold. The bag features an adjustable brown leather shoulder strap, a namesake horse-bit embellishment on the front, and brown leather belts with a ""Gucci 85th anniversary"" plaque on the back. The top is open to a GG logo print fabric interior with zipper and patch pockets. This is a stunning limited edition hobo with the sophisticated style of Gucci! ",Very G,"Corner wear, creases, scuffs , edge wear , frayed stitch(es)","Scratch(es) , plating","Edge wear , creases, sizing marks","Scuffs , marks",
GG Supreme Monogram Medium Padlock Shoulder Bag Navy,https://www.fashionphile.com/gucci-gg-supreme-monogram-medium-padlock-shoulder-bag-navy-514269,"
                                                    $1,845                                            ",Gucci,"1,980",514269,Crossbody,11.75 ,7.5 ,4 ,18.5 ,,,We guarantee this is an authentic GUCCI GG Supreme Monogram Medium Padlock Shoulder Bag Navy or 100% of your money back. This stylish tote is crafted of Gucci GG monogram coated canvas with a navy leather flap and a red leather rear patch pocket. The bag features a flap and gold toned chain link shoulder strap. The flap opens to a beige microfiber interior with a zipper pocket. This is an ideal everyday bag with a sophisticated style of Gucci!,Excell,Scuffs,"Scratch(es) , faint scratch(es)",,"Marks, imprints",Missing lock and/or key(s)
GG Supreme Monogram Web Animalier Bee Tote Brown,https://www.fashionphile.com/gucci-gg-supreme-monogram-web-animalier-bee-tote-brown-505565,"
                                                    $1,495                                            ",Gucci,"2,490",505565,Crossbody,15 ,16 ,4.25 ,19.75 ,,"dust bag, strap","We guarantee this is an authentic GUCCI GG Supreme Monogram Web Animalier Bee Tote Brown or 100% of your money back. This stylish tote is crafted of Gucci GG monogram coated canvas with webbing and a stitched bee design on the front. The bag features rolled top handles, an optional, adjustable shoulder strap with gold hardware, and brown leather trim. The top opens to a spacious dark grey microfiber interior with zipper and patch pockets. This stylish tote is suitable for light travel, with the designer appeal of Gucci!",Excell,Faint corner wea,,,,
Calfskin Frame Print Top Handle Bag White,https://www.fashionphile.com/gucci-calfskin-frame-print-top-handle-bag-white-466267,"
                                                    $2,320                                            ",Gucci,"4,600",466267,Crossbody,12.25 ,8.25 ,3.75 ,20.75 ,,"dust bag, strap","We guarantee this is an authentic GUCCI Calfskin Frame Print Top Handle Bag White or 100% of your money back. This exquisite, one of a kind bag is crafted of white leather with metallic gold filigree decoration along the borders. The bag has a looping sturdy bamboo top handle, an optional shoulder strap, and a prominent tiger head crystal encrusted closure. The flap opens to reveal a partitioned floral satin interior with zipper and patch pockets. This unique bag is ideal for special occasions, and the sophisticated style only from Gucci!",Excell,"Creases, faint scuffs",Faint scratch(es),,mprints,
Dollar Calfskin Interlocking G Shoulder Bag Soft Pink,https://www.fashionphile.com/gucci-dollar-calfskin-interlocking-g-shoulder-bag-soft-pink-503306,"
                                                    $950                                            ",Gucci,,503306,Crossbody,11 ,7.5 ,2.75 ,21.5 ,,dust bag,We guarantee this is an authentic GUCCI Dollar Calfskin Interlocking G Shoulder Bag Soft Pink or 100% of your money back. This chic shoulder bag is crafted of grained calfskin leather in light pink. The bag has a waist-length shoulder strap in gold and a facing flap with a polished gold interlocking GG emblem lock closure. The flap opens to a partitioned taupe fabric interior with a zipper and pocket. This glamorous handbag radiates stylish sophistication from Gucci!  ,Excell,,Faint scratch(es),,,Employee or sale stamp
Pebbled Calfskin Medium Soho Chain Shoulder Bag Black,https://www.fashionphile.com/gucci-pebbled-calfskin-medium-soho-chain-shoulder-bag-black-512744,"
                                                    $1,325                                            ",Gucci,"1,980",512744,Handbags,14.75 ,10.25 ,5.5 ,8.5 ,,assel,"We guarantee this is an authentic GUCCI Pebbled Calfskin Medium Soho Chain Shoulder Bag Black or 100% of your money back. This shoulder bag is crafted of textured calfskin leather in black. The bag features a prominent front interlocking GG quilted logo, polished light gold chain link shoulder straps with shoulder pads, and a decorative light gold knobbed tassel. The top is open to a natural linen fabric interior with zipper and patch pockets. This shoulder bag is an ideal statement bag, with the sophisticated style only from Gucci!",Very G,"Corner wear, structure wear , edge wear , marks","Scratch(es) , tarnish","Edge wear , marks","Residue marks , surface wea",
Calfskin Medium Dionysus Top Handle Bag White Blue Hibiscus Red,https://www.fashionphile.com/gucci-calfskin-medium-dionysus-top-handle-bag-white-blue-hibiscus-red-512672,"
                                                    $1,505                                            ",Gucci,"3,200",512672,Crossbody,10.5 ,7.25 ,4.5 ,14.25 ,,"dust bag, strap","We guarantee this is an authentic GUCCI Calfskin Medium Dionysus Top Handle Bag White Blue Hibiscus Red or 100% of your money back. This exquisite, one-of-a-kind bag is crafted of red, white, and blue calfskin leather. The bag features a sturdy bamboo top handle, an optional, adjustable red and blue webbed nylon shoulder strap, and a prominent aged gold tiger head-spurred horseshoe closure. The flap opens to reveal a partitioned natural fabric interior with patch pockets and a central dividing zipper compartment. This unique bag is ideal for day or evening wear, with the sophisticated style from Gucci!",Excell,Marks,Faint scratch(es),Pilling,,
GG Supreme Monogram Embroidered Medium Blind For Love Top Handle Bag Maple Brown,https://www.fashionphile.com/gucci-gg-supreme-monogram-embroidered-medium-blind-for-love-top-handle-bag-maple-brown-512843,"
                                                    $1,460                                            ",Gucci,"1,980",512843,Crossbody,13.75 ,8.75 ,7 ,16.25 ,,"dust bag, strap","We guarantee this is an authentic GUCCI GG Supreme Monogram Embroidered Medium Blind For Love Top Handle Bag Maple Brown or 100% of your money back. This Boston bag features two embroidered flower appliqués and is crafted of Gucci GG monogram canvas with brown leather trim. This bag features rolled leather top handles, an optional shoulder strap, and light gold hardware. The zipper opens to a neutral suede interior with zipper and flat pockets. This phenomenal bag will be a true treasure for any Gucci aficionado!   ",New,,,,,
Calfskin Matelasse Mini GG Marmont Bag Porcelain Rose,https://www.fashionphile.com/gucci-calfskin-matelasse-mini-gg-marmont-bag-porcelain-rose-512902,"
                                                    $1,135                                            ",Gucci,,512902,Crossbody,7.25 ,4.75 ,2.5 ,23.25 ,,dust bag,"We guarantee this is an authentic GUCCI Calfskin Matelasse Mini GG Marmont Bag Porcelain Rose or 100% of your money back. This shoulder bag is crafted of calfskin leather in dark beige. This crossbody bag features an antiqued gold chain and leather shoulder strap and an interlocking antiqued gold GG logo on the front. The top zipper opens to a nude microfiber interior with a patch pocket. This compact, yet spacious shoulder bag is perfect for any occasion, from Gucci!",Excell,,Faint scratch(es),,,
Monogram Mini GG Marmont,https://www.fashionphile.com/gucci-monogram-mini-gg-marmont-513159,"
                                                    $1,890                                            ",Gucci,,513159,Crossbody,8.25 ,5.5 ,2.25 ,21.25 ,,dust bag,"We guarantee this is an authentic GUCCI Monogram Mini GG Marmont or 100% of your money back. This chic shoulder bag is crafted of traditional Gucci GG monogram canvas with a beautifully stitched diagonal pattern. It features black leather trim, a polished gold chain shoulder strap with a black leather shoulder pad, and a polished gold interlocking GG logo closure. This bag opens to a beige microfiber interior with a patch pocket. This is the perfect everyday shoulder bag from Gucci!",New,,Protective plastic sticker(s) intact,,,
