prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
HERMES BANANA KELLY Waist Bum Bag Pouch Blue Epsom,/collections/hermes/products/ao26835,"598,000",Square : H ; Production in 2004,"W 7.9 x H 4.3 x D 2.2 ""","Blue
/
Veau Epsom",-,"Good condition

Belt: missing.","There is sign of use overall.

Pen mark",-,-,AO26835
HERMES BOLIDE 1923-45 Hand Bag Chocolat Veau Crispe Togo,/collections/hermes/products/ao26503,"528,000",D ; Production in 2019,"W 17.7 x H 13.8 x D 9.8 ""

Handle Drop. 4.3 ""","Chocolat
/
Veau Crispe Togo","Cover of Key, Keys*2, Padlock, Dust Bag","Excellent condition

One corner: minor scuff",Excellent condition,-,-,AO26503
HERMES BOLIDE 45 Hand Bag Gold Vachette Grainee Des Ardennes,/collections/hermes/products/ao26504,"328,000",Square: J ;Production in 2006,"W 18.1 "" x H 13.8 "" x D 9.1 ""

Handle Drop. 4.3 ""","Gold
/
Vachette Grainee Des Ardennes",Dust Bag,"Good condition

scratches",Excellent condition,-,-,AO26504
HERMES BIRKIN 35 Hand Bag Black Veau Crispe Togo,/collections/hermes/products/ao26502,"898,000",Square: M;Production in 2009,"W 13.4 x H 10.2 x D 7.1 ""

Handle Drop. 3.9 ""","Black
/
Veau Crispe Togo","Cover of Key, Keys*2, Padlock","Good condition

Handle: minor distorted.",Good condition,-,-,AO26502
HERMES HAUT A COURROIES 55 Hand Bag Gold Fjord,/collections/hermes/products/ao26344,"798,000",Square : C ; Production in 1999,"W 21.6 x H 17.7 x D 11.0 ""

Handle Drop. 3.9 ""","Gold
/
Fjord Leather","Dust Bag, Keys*2, Cover of Keys, Padlock","Good condition

Handle has minor crack

Shape:There is a dent.","Good condition

Minor Dent.",-,-,AO26344
HERMES CANDY BIRKIN 35 Hand Bag Rouge Casaque Mykonos Veau Epsom,/collections/hermes/products/ao26206,"1,080,000",Square : P ;Production in 2012,"W 13.8 x H 10.2 x D 7.1 ""

Handle Drop. 3.9 ""","Rouge Casaque, Mykonos
/
Veau Epsom","Cover of Key, Key*2, Padlock, Rain Cover, Manual, Dust Bag",Excellent condition,"Excellent condition

Corner: Minor Dirt",-,-,AO26206
HERMES SAC TODO MOKO Shoulder Bag Pochette Black Nubuck Fur,/collections/hermes/products/ao26209,"59,800",-,"W 7.5 x H 8.7 x D 1.0 ""

Strap Drop. 23.6 ""","Black
/
Nubuck, Fur",Dust Bag,"Good condition

Minor stained",Good condition,-,-,AO26209
HERMES BIRKIN 40 Hand Bag Natural Box Calf,/collections/hermes/products/ao26208,"598,000",Square:E ;Production in 2001,"W 15.7 x H 10.6 x D 8.3 ""

Handle Drop. 4.3 ""","Natural
/
Box Calf","Keys*2,Cover of Key, Padlock, Dust Bag, Box","Good condition

Sucuffed, Scratches, Stained","Good condition

stained",-,-,AO26208
HERMES BIRKIN 35 Hand Bag Etain Veau Crispe Togo,/collections/hermes/products/ao26207,"1,180,000",Square : R ;Production in 2014,"W 13.8 x H 10.2 x D 7.1 ""

Handle Drop. 3.9 ""","Etain
/
Veau Crispe Togo","Cover of Key, Key*2, Padlock, Rain Cover, Manual, Dust Bag, Box",Excellent condition,"Excellent condition

Minor Scratches",-,-,AO26207
HERMES PLUME 28 Hand Bag Natural Ostrich,/collections/hermes/products/ao26105,"428,000",Square: E ; Production in 2001,"W 10.6 x H 7.8 x D 4.3 ""

Handle Drop. 7.1 ""","Natural
/
Ostrich Leather",Box,Good condition,Good condition,-,-,AO26105
HERMES BIRKIN 40 Hand Bag Gold Veau Greine Couchevel,/collections/hermes/products/ao26104,"698,000",Square:B ; Production in 1998,"W 15.7 x H 12.2 x D 8.1 ""

Handle Drop. 5.1 ""","Gold
/
Veau Greine Couchevel","Cover of Keys, Keys*1, Padlock","Good condition

scuffed, Minor Frayed.","There is sign of use overall.

Scuffed, Dirted.",-,-,AO26104
HERMES PLUME HERRAND 28 Hand Bag Orange Clemence,/collections/hermes/products/ao26034,"178,000",Square: I ; Production in 2005,"W 11.0 x H 6.3 x D 2.6 ""

Handle Drop. 4.7 ""","Orange
/
Trillon Clemence",Dust Bag,"Good condition

The handle is deformed.","Good condition

scratches",-,-,AO26034
HERMES Sac A Malice Trumpet Shoulder Bag Red Couchevel,/collections/hermes/products/ao25906,"248,000",Circle:V ;Production in 1992,"W 9.3 x H 5.5 x D 1.6 ""

Strap Drop. 17.3 ""","Red, Yellow, Black
/
Veau Graine Couchevel, Box calf",-,Good condition,"There is sign of use overall.

It has some scratches and stains.",-,-,AO25906
