prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
LOUIS VUITTON PAPILLON ATTACHED POUCH MONOGRAM,/collections/louis-vuitton/products/ao26517,"42,800",-,"W 6.1 x H 2.6 x D 2.4 ""

Strap Drop : 5.1 ""","Brown
/
Monogram Canvas, Leather",-,Good condition,Excellent condition,-,-,AO26517
LOUIS VUITTON NAVONA ACCESSOIRES POUCH BAG DAMIER N51983,/collections/louis-vuitton/products/ao26474,"59,800",FL1002,"W 8.4 x H 4.9 x D 1.5 ""

Handle Drop. 5.5 ""","Brown
/
Damier Canvas, Leather",-,Excellent condition,Excellent condition,-,-,AO26474
LOUIS VUITTON POCHETTE ACCESSOIRES POUCH HAND BAG GOLD EPI M52948,/collections/louis-vuitton/products/ao26478,"49,800",AR 0956,"W 8.6 x H 4.7 x D 1.0 ""

Handle Drop. 5.5 ""","Gold
/
Epi Leather, Leather",-,Good condition,Good condition,-,-,AO26478
LOUIS VUITTON POCHETTE ACCESSOIRES HAND BAG POUCH Black EPI M52942,/collections/louis-vuitton/products/ao26475,"49,800",AR 0937,"W 8.6 "" x H 4.7 "" x D 1.0 ""

Handle Drop. 5.5 ""","Black
/
Epi Leather, Leather",-,"Good condition

Strap is wrinkle.",Good condition,-,-,AO26475
LOUIS VUITTON POCHETTE DAMME GM CLUTCH MONOGRAM M51810,/collections/louis-vuitton/products/ao26435,"69,800",TH 8909,"W 11.4 x H 6.7 x D 2.4 ""","Brown
/
Monogram Canvas, Leather",-,"Good condition

Side has minor crack.",Good condition,-,-,AO26435
LOUIS VUITTON RIVERA MINI HAND BAG DAMIER N41436,/collections/louis-vuitton/products/ao26418,"89,800",CA0023,"W 9.1 x H 5.1 x D 5.5 ""

Handle Drop. 3.5 ""","Brown
/
Damier Canvas, Leather",-,Excellent condition,Excellent condition,-,-,AO26418
LOUIS VUITTON POCHETTE ACCESSOIRES HAND BAG MONOGRAM M51980,/collections/louis-vuitton/products/ao26416,"59,800",VI0061,"W 8.3 x H 5.1 x D 1.6 ""

Handle Drop. 5.5 ""","Brown
/
Monogram Canvas, Leather",-,"Good condition

Strap; Minor peeled.",Excellent condition,-,-,AO26416
LOUIS VUITTON SPEEDY 30 HAND BAG BLUE EPI M43005,/collections/louis-vuitton/products/ao26413,"89,800",VI1924,"W 12.8 x H 8.7 x D 7.1 ""

Handle Drop. 3.1 ""","Blue
/
Epi Leather",-,Good condition,Good condition,-,-,AO26413
LOUIS VUITTON POCHETTE ACCESSOIRES POUCH DAMIER AZUR N41207,/collections/louis-vuitton/products/ao26353,"59,800",CA4087,"W 8.4 x H 4.9 x D 1.5 ""

Handle Drop. 5.5 ""","White
/
Damier Azur Canvas, Leather",-,"Excellent condition

Suntanned",Excellent condition,-,-,AO26353
LOUIS VUITTON POCHETTE ACCESSOIRES HAND BAG POUCH BLUE EPI M52945,/collections/louis-vuitton/products/ao26352,"49,800",AR1908,"W 8.5 x H 4.7 x D 0.8 ""

Handle Drop. 5.9 ""","Blue
/
Epi Leather, Leather",-,Good condition,Good condition,-,-,AO26352
LOUIS VUITTON SPEEDY 25 HAND BAG DAMIER AZUR N41534,/collections/louis-vuitton/products/ao26348,"98,000",MB5112,"W 10.0 x H 7.5 x D 5.7 ""

Handle Drop. 3.5 ""","White
/
Damier Azur Canvas, Leather",-,Excellent condition,Excellent condition,-,-,AO26348
LOUIS VUITTON POCHETTE ACCESSOIRES HAND BAG MONOGRAM M51980,/collections/louis-vuitton/products/ao26296,"69,800",VI1001,"W 8.3 x H 5.1 x D 1.6 ""

Handle Drop. 5.5 ""","Brown
/
Monogram Canvas, Leather","Dust Bag, Box",Good condition,Excellent condition,-,-,AO26296
LOUIS VUITTON CARTOUCHIERE MM SHOULDER BAG MONOGRAM M51253,/collections/louis-vuitton/products/ao26248,"89,800",SL0922,"W 8.3 x H 7.1 x D 3.1 ""

Strap Drop. 11.4 - 20.5 ""","Brown
/
Monogram Canvas, Leather",-,"Good condition

Suntanned, Stained.","Good condition

Scratches",-,-,AO26248
LOUIS VUITTON POCHETTE CROISSANT HAND BAG MONOGRAM M51510,/collections/louis-vuitton/products/ao26214,"118,000",MI 1028,"W 10.2 x H 5.5 x D 2.4 ""

Shoulder Drop. 8.3 - 9.4 ""","Brown
/
Monogram Canvas, Leather","Dust Bag, Manual","Good condition

Leather: suntanned, wrinkled, sucffed and stain.","Good condition

Dirt",-,-,AO26214
LOUIS VUITTON MINAUDIERE MOTARD PRUNE CHAIN SHOULDER BAG M95803,/collections/louis-vuitton/products/ao26114,"128,000",PL2208,"W 6.6 x H 3.9 x D 2.1 ""

Chain Drop. 23.6 ""","Black, Gold
/
Satin",Manual,"Good condition

The fittings are covered with a protective sheet.

Minor Stained.","Good condition

Minor Dirted.",-,-,AO26114
LOUIS VUITTON KEEPALL BANDOULIERE 55 HAND BAG MONOGRAMOUFLAGE M95774 TAKASHI MURAKAMI,/collections/louis-vuitton/products/ao26108,"1,180,000",MB 2028,"W 21.9 x H 12.2 x D 9.6 ""

Handle Drop. 4.7 ""

Shoulder Drop. 19.7 - 24.0 ""","Green, Beige, Black
/
Monograｍouflage Canvas, Leather","Name Tag, Shoulder Strap, Dust Bag","Good condition

Leather part: scuff, suntanned and stains.",Good condition,-,-,AO26108
LOUIS VUITTON SPEEDY 30 HAND BAG BLACK EPI M43002,/collections/louis-vuitton/products/ao25992,"69,800",SP0948,"W 12.8 × H 8.7 × D 7.1 ""

Handle Drop. 3.5 ""","Black
/
Epi Leather, Leather",-,"Good condition

There is scuff and minor wrinkle.","Good condition

There is stain and scuff.",-,-,AO25992
LOUIS VUITTON ACCESSORIES JEWELRY CASE BOX MONOGRAM,/collections/louis-vuitton/products/ao26004,"89,800",-,"W 8.2 x H 6.6 x D 1.5 ""","Brown
/
Monogram Canvas, Leather",Cloth*3,Good condition,Good condition,-,-,AO26004
LOUIS VUITTON SPEEDY 25 HAND BAG MONOGRAM M41528,/collections/louis-vuitton/products/ao25991,"79,800",SP0063,"W 9.8 x H 7.1 x D 5.7 ""

Handle Drop. 3.5 ""","Brown
/
Monogram canvas, Leather",-,"Good condition

Leather has a minor tan.",Excellent condition,-,-,AO25991
LOUIS VUITTON MINAUDIERE MOTARD PRUNE CHAIN SHOULDER BAG M95758,/collections/louis-vuitton/products/ao25911,"128,000",Pl1408,"W 6.6 x H 3.9 x D 2.1 ""

Chain Drop. 23.6 ""","Purple, Gold
/
Satin","Dust Bag, Manual",Good condition,"Good condition

It has some scratches.",-,-,AO25911
LOUIS VUITTON CARTOUCHIERE GM SHOULDER BAG MONOGRAM M51252,/collections/louis-vuitton/products/ao25907,"89,800",8911SL,"W 9.8 x H 8.7 x D 3.1 ""

Strap Drop. 9.4 - 19.6 ""","Brown
/
Monogram Canvas, Leather",-,"There is sign of use overall.

There are some scratches on the leather.",Good condition,-,-,AO25907
LOUIS VUITTON VERNIS THOMPSON STREET SHOULDER BAG BRONZE M91124,/collections/louis-vuitton/products/ao25810,"49,800",CA1011,"W 11.0 x H 8.7 x D 2.8 ""

Strap Drop. 9.8 - 12.2 ""","Bronze
/
Patent Leather, Leather","Dust Bag,Manual",Excellent condition,Excellent condition,-,-,AO25810
LOUIS VUITTON CARTOUCHIERE SHOULDER BAG BROWN EPI M52243,/collections/louis-vuitton/products/ao25785,"79,800",MI0961,"W 8.7 "" x H 7.9 "" x D 2.8 ""

Strap Drop. 11.0 - 19.6 ""","Brown
/
Epi Leather, Leather",-,"Good condition

Crack(Shoulder piping)",Good condition,-,-,AO25785
LOUIS VUITTON MINI POCHETTE ACCESSOIRES HANDBAG MONOGRAM ECLIPSE M60125,/collections/louis-vuitton/products/ao25784,"108,000",-,"W 5.9 x H 3.5 x D 1.2 ""

Handle Drop. 5.5 ""","Brown
/
Monogram Eclipse Canvas, Leather",-,Good condition,Good condition,-,-,AO25784
LOUIS VUITTON CITE GM SHOULDER BAG MONOGRAM M51181,/collections/louis-vuitton/products/ao25698,"69,800",AS0052,"W 8.9 x H 5.1 x D 2.0 ""

Handle Drop. 6.7 ""","Green, etc
/
Monogram Satin, Leather",-,"Good condition

Dirt","Good condition

Discoloration",-,-,AO25698
LOUIS VUITTON POCHETTE BEVERLY SHOULDER BAG MONOGRAM M40122,/collections/louis-vuitton/products/ao25623,"79,800",MI0027 ,"W 9.8 x H 4.7 x D 2.0 ""

Strap Drop. 8.7 ""","Brown
 / 
Monogram Canvas, Leather",-,Good condition,"There is sign of use overall.

Pocket is Pen Mark.",-,-,AO25623
LOUIS VUITTON POCHETTE ACCESSOIRES HAND BAG SEPIA MONOGRAM IDYLLE M62999,/collections/louis-vuitton/products/ao25604,"59,800",DU 4142,"W 6.9 x H 4.5 x D 0.4 ""

Handle Drop. 5.7 ""","Sepia
/
Monogram Idylle Canvas, Leather",-,Good condition,Good condition,-,-,AO25604
LOUIS VUITTON MINI LOOPING SHOULDER BAG MONOGRAM M51147,/collections/louis-vuitton/products/ao17622,"89,800",MI 0090,"W 11.0 × H 7.1 × D 3.3 ""

Strap Drop. 5.9 ""","Brown
/
Monogram Canvas, Leather",Dust Bag,"Good condition

Bottom :There is a dent.",Excellent condition,-,-,AO17622
LOUIS VUITTON MINI LOOPING SHOULDER BAG MONOGRAM M51147,/collections/louis-vuitton/products/ao14617,"69,800",DU 0015,"W 11.0 × H 7.1 × D 3.3 ""

Strap Drop. 6.3 ""","Brown
/
Monogram Canvas, Leather",Dust Bag,"There is sign of use overall.

Handle: suntanned, scuff and stain.","Good condition

There is minor pen mark.",-,-,AO14617
LOUIS VUITTON MINI LOOPING SHOULDER BAG MONOGRAM M51147,/collections/louis-vuitton/products/ao14417,"98,000",DU 1015,"W 11.0 × H 7.1 × D 3.3 ""

Strap Drop. 6.3 ""","Brown
/
Monogram Canvas, Leather","Manual, Dust Bag, Box",Excellent condition,Excellent condition,-,-,AO14417
LOUIS VUITTON FOWLER HAND BAG BLUE MONOGRAM MAT M55145,/collections/louis-vuitton/products/ao25568,"69,800",MI1012,"W 10.2 x H 6.1 x D 1.4 ""

Handle Drop. 7.5 ""","Blue
/
Monogram Mat Leather, Leather",-,Excellent condition,Excellent condition,-,-,AO25568
LOUIS VUITTON SAC TRICOT HAND BAG MONOGRAM M51450,/collections/louis-vuitton/products/ao25566,"59,800",-,"W 15.9 x H 5.5 x D 3.1 ""

Handle Drop. 3.7 ""","Brown
/
Monogram Canvas, Leather",-,"There is sign of use overall.

Leather part has scratches.

It occurs patina from the rivet.",Good condition,-,-,AO25566
LOUIS VUITTON SPEEDY 25 HAND TOTE BAG MONOGRAM M41528,/collections/louis-vuitton/products/ao25470,"69,800",SP 0070,"W 9.8 x H 7.1 x D 5.7 ""

Handle Drop. 3.5 ""","Brown
/
Monogram canvas, Leather",Dust Bag,"There is sign of used overall.

Handle has black stain.","There is sign of used overall.

Dirt",Pocket : There is minor sticky and dirt.,-,AO25470
LOUIS VUITTON BEVERLY GM 2WAY BUSINESS HAND BAG MONOGRAM M51120,/collections/louis-vuitton/products/ao25414,"69,800",SL 0912,"W 16.1 "" x H 11.0 "" x D 4.3 ""

Handle Drop. 1.2 ""

Strap Drop. 12.2 - 19.3 ""","Brown
/
Monogram Canvas, Leather",-,"There is sign of use overall.

Leather has suntanned and scuff.

Strap has crack.","There is sign of use overall.

Flap has stain.",-,Strong smell of material.,AO25414
LOUIS VUITTON POCHETTE DAME PM CLUTCH BAG MONOGRAM M51812,/collections/louis-vuitton/products/ao25415,"69,800",TH 0912,"W 10.2 x H 5.5 x D 1.6 ""","Brown
/
Monogram Canvas, Leather",-,There is sign of use overall.,"There is sign of use overall.

Pocket and inside is mold.",-,-,AO25415
LOUIS VUITTON HAND COSMETIC BOX MONOGRAM SP ORDER,/collections/louis-vuitton/products/ao25214,"398,000",S10119,"W 10.4 x H 5.3 x D 10.2 ""

Handle Drop. 2.4 ""","Brown
/
Monogram Canvas, Leather",Key*1,"Good condition

Handle: scratches, stain and dirt",Good condition,Pocket side has peeled,-,AO25214
LOUIS VUITTON POPINCOURT HAND BAG MONOGRAM M40009,/collections/louis-vuitton/products/ao25219,"108,000",VI 2077,"W 11.8 x H 5.5 x D 4.3 ""

Handle Drop. 2.8 ""","Brown
/
Monogram Canvas, Leather",-,"There is sign of use overall.

Leather part: scuff, suntanned and dirt",Excellent condition,-,-,AO25219
LOUIS VUITTON VERNIS FLEURS LEXINGTON HAND BAG BLACK M92245,/collections/louis-vuitton/products/ao25218,"69,800",CA 1001,"W 7.9 x H 4.5 x D 1.4 ""

Handle Drop. 6.3 ""","Black, etc
/
Patent Leather, Leather",Dust Bag,"Good condition

strap roots: minor crack",Good condition,-,-,AO25218
LOUIS VUITTON TRIANA HAND BAG DAMIER N51155,/collections/louis-vuitton/products/ao25216,"89,800",VI 1023,"W 10.2 x H 9.1 x D 4.7 ""

Handle Drop. 4.3 ""","Brown
/
Damier Canvas, Leather",-,Good condition,Good condition,-,-,AO25216
LOUIS VUITTON SARRIA MINI HAND BAG DAMIER N51286,/collections/louis-vuitton/products/ao25215,"98,000",CA 0024,"W 8.5 "" x H 6.3 "" x D 3.1 ""

Handle Drop. 3.1 ""","Brown
/
Damier Canvas, Leather",-,Excellent condition,"Good condition

Mold stain",-,Mold,AO25215
LOUIS VUITTON PORTE HOUSSE HABITS GARMENT COVER MONOGRAM M23432,/collections/louis-vuitton/products/ao25304,"79,800",SP 0997,"W 24.8 x H 20.5 or 40.6 ""

Handle Drop. 2.4 ""","Brown
/
Monogram Canvas, Leather","Hanger*2, Name Tag","There is sign of use overall.

Leather part: suntanned, scuff, stain and crack",Good condition,-,-,AO25304
LOUIS VUITTON LITTLE BOULOGNE HAND BAG Black MONOGRAM SATIN M92142,/collections/louis-vuitton/products/ao25303,"89,800",SR 0014,"W 7.5 × H 4.3 × D 2.0 ""

Handle Drop. 7.1 - 8.7 ""","Black
/
Monogram Satin, Leather",-,Good condition,Excellent condition,-,-,AO25303
LOUIS VUITTON MINI CITADIN SHOULDER BAG BLACK DAMIER GEANT M93622,/collections/louis-vuitton/products/ao25300,"79,800",SP 3130,"W 5.1 x H 6.7 x D 1.6 ""

Strap Drop. 20.9 - 25.6 ""","Black
/
Damier Geant Canvas, Leather",-,Good condition,Excellent condition,-,-,AO25300
LOUIS VUITTON VERNIS READE PM HAND BAG POMME D'AMOUR M91990,/collections/louis-vuitton/products/ao25299,"59,800",MI 1016,"W 8.7 x H 7.1 x D 3.9 ""

Handle Drop. 3.9 ""","Pomme D'amour
/
Patent Leather, Leather",Dust Bag,"Good condition

Handle: suntanned and loose shape",Excellent condition,-,-,AO25299
LOUIS VUITTON POCHETTE ACCESSOIRES SHOULDER BAG RED DOTS INFINITY,/collections/louis-vuitton/products/ao25194,"108,000",DR 2192,"W 9.1 x H 5.1 x D 1.6 ""

Strap Drop. 9.4 ""","Red, White
/
Patent Leather, Leather","Manual, Dust Bag",Excellent condition,Excellent condition,-,-,AO25194
LOUIS VUITTON SPEEDY 35 HAND BAG BLACK EPI M42992,/collections/louis-vuitton/products/ao25118,"89,800",SP 0936,"W 14.6 x H 9.4 x D 7.5 ""

Handle Drop. 3.7 ""","Black
/
Epi Leather, Leather",-,Good condition,Good condition,-,-,AO25118
LOUIS VUITTON JULIET MM SHOULDER BAG MONOGRAM MINI M92418,/collections/louis-vuitton/products/ao25117,"79,800",TH 0072,"W 8.3 x H 4.7 x D 2.0 ""

Strap Drop. 20.9 - 23.2 ""","TST Khaki
/
Monogram Mini Canvas, Leather",-,Good condition,Good condition,-,-,AO25117
LOUIS VUITTON GOBELINS BACKPACK BAG BLACK EPI M52292,/collections/louis-vuitton/products/ao25116,"98,000",VI 0935,"W 12.2 x H 14.2 x D 5.5 ""

Strap total length. 28.7 - 31.9 ""","Black
/
Epi Leather, Leather",-,Good condition,Good condition,-,-,AO25116
LOUIS VUITTON POPINCOURT HAND BAG MONOGRAM M40009,/collections/louis-vuitton/products/ao25063,"89,800",VI 0075,"W 11.8 x H 5.5 x D 4.3 ""

Handle Drop. 2.8 ""","Brown
/
Monogram Canvas, Leather",-,"There is sign of use overall.

Leather part: scuff, stain and dirt","Good condition

Stains",-,-,AO25063
LOUIS VUITTON RIVERA MINI HAND BAG DAMIER EBENE N41436,/collections/louis-vuitton/products/ao25062,"118,000",CA 0037,"W 9.1 x H 5.1 x D 5.5 ""

Handle Drop. 3.5 ""","Brown
/
Damier Canvas, Leather",-,Excellent condition,Excellent condition,-,-,AO25062
