prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
LOUIS VUITTON RASPAIL SHOULDER BAG MONOGRAM M51372,/collections/louis-vuitton/products/ao25061,"168,000",VI 1916,"W 9.8 x H 7.9 x D 3.1 ""

Strap Drop. 8.3 or 17.3 ""","Brown
/
Monogram Canvas, Leather",-,Good condition,Good condition,-,-,AO25061
LOUIS VUITTON SOUFFLOT ATTACHED POUCH BLACK EPI M52222,/collections/louis-vuitton/products/ao24990,"39,800",MI 0937,"W 6.1 x H 2.4 x D 2.4 ""

Handle Strap. 3.5 ""","Black
/
Epi Leather, Leather",-,Excellent condition,Excellent condition,-,-,AO24990
LOUIS VUITTON POCHETTE CROISSANT HAND BAG MONOGRAM M51510,/collections/louis-vuitton/products/ao24986,"98,000",MI 0033,"W 10.2 x H 5.5 x D 2.4 ""

Shoulder Drop. 8.3 - 9.4 ""","Brown
/
Monogram Canvas, Leather",-,"There is sign of use overall.

Handle: suntanned, stain and crack",Good condition,-,-,AO24986
LOUIS VUITTON VIVA CITE PM SHOULDER BAG MONOGRAM M51165,/collections/louis-vuitton/products/ao24985,"168,000",VI 1023,"W 7.1 x H 5.5 x D 3.5 ""

Strap Drop. 19.7 - 23.2 ""","Brown
/
Monogram Canvas, Leather","Manual, Dust Bag, Box",Excellent condition,Excellent condition,-,-,AO24985
LOUIS VUITTON ABELIA HAND BAG MONOGRAM MULTI COLOR SATIN M92936,/collections/louis-vuitton/products/ao24984,"198,000",RE 0024,"W 10.2 x H 6.7 x D 3.5 ""

Handle Drop. 3.5 ""","White, etc
/
Monogram Multi-Color Satin, Leather, Wooden","Manual, Dust Bag",Good condition,Good condition,-,-,AO24984
LOUIS VUITTON MINI SPEEDY 2WAY BAG BLACK MONOGRAM MULTI M92644,/collections/louis-vuitton/products/ao24974,"298,000",TH 0098,"W 6.3 x H 3.9 x D 2.8 ""

Handle Drop. 2.4 ""

Strap Drop. 23.6 ""","Black, etc
/
Monogram Multi-Color Canvas, Leather","Shoulder Strap, Dust Bag",AO24974,"There is sign of use overall.

Leather part: stain",Good condition,-,AO24974
LOUIS VUITTON POCHETTE ACCESSOIRES HAND BAG MONOGRAM RIVET M40141,/collections/louis-vuitton/products/ao24973,"128,000",CA 0017,"W 8.3 x H 5.1 x D 1.6 ""

Handle Drop. 5.9 ""","Brown
/
Monogram Rivet Canvas, Leather",-,AO24973,"Excellent condition

Leather part: minor suntanned",Excellent condition,-,AO24973
LOUIS VUITTON PETIT NOE DRAWSTRING SHOULDER BAG YELLOW EPI M44109,/collections/louis-vuitton/products/ao24971,"79,800",AR 1020,"W 9.8 x H 10.6 x D 7.5 ""

Strap Drop. 7.9 - 11.0 ""","Yellow
/
Epi Leather, Leather",-,AO24971,"Good condition

loose shape",Good condition,-,AO24971
LOUIS VUITTON VIVA CITE MM SHOULDER BAG MONOGRAM M51164,/collections/louis-vuitton/products/ao24970,"98,000",AR 0066,"W 11.8 x H 5.5 x D 3.5 ""

Strap Drop. 8.7 - 10.6 ""","Brown
/
Monogram Canvas, Leather",-,AO24970,"Excellent condition

Leather part: minor scuff and suntanned",Excellent condition,-,AO24970
LOUIS VUITTON DINAR SHOULDER BAG BLACK EPI M52022,/collections/louis-vuitton/products/ao24966,"59,800",FL 0089,"W 11.8 × H 7.5 × D 2.8 ""

Shoulder Drop. 12.2 ""","Black
/
Epi Leather, Leather",-,AO24966,"Good condition

Strap roots: Wrinkle and minor crack",Excellent condition,-,AO24966
LOUIS VUITTON CHELSEA SHOULDER TOTE BAG DAMIER N51119,/collections/louis-vuitton/products/ao24965,"138,000",TH 1016,"W 16.1 x H 11.0 x D 5.7 ""

Shoulder Drop. 9.4 - 12.6 ""","Brown
/
Damier Canvas, Leather",-,AO24965,Good condition,Excellent condition,-,AO24965
LOUIS VUITTON SPEEDY 25 HAND BAG MONOGRAM M41528,/collections/louis-vuitton/products/ao24960,"118,000",MB0118,"W 9.8 x H 7.1 x D 5.7 ""

Handle Drop. 3.5 ""","Brown
/
Monogram canvas, Leather",-,AO24960,Excellent condition,Excellent condition,-,AO24960
LOUIS VUITTON SPEEDY 25 HAND BAG YELLOW EPI M43019,/collections/louis-vuitton/products/ao24959,"98,000",SP 0936,"W 10.8 x H 7.5 x D 5.9 ""

Handle Drop. 3.5 ""","Yellow
/
Epi Leather, Leather",-,AO24959,Excellent condition,Excellent condition,-,AO24959
LOUIS VUITTON NOE DRAWSTRING SHOULDER BAG MONOGRAM M42224,/collections/louis-vuitton/products/ao24792,"89,800",AR 1917,"W 10.4 x H 13.8 x D 7.9 ""

Strap Drop. 11.0 - 14.2 ""","Brown
/
Monogram Canvas, Leather",Dust Bag,AO24792,"There is sign of use overall.

Leather part: scuff and stain",Good condition,-,AO24792
LOUIS VUITTON DANUBE SHOULDER BAG MONOGRAM MINI LIN M95228,/collections/louis-vuitton/products/ao24790,"79,800",TH 1016,"W 5.5 "" x H 8.3 "" x D 1.6 ""

Strap Drop. 16.9 - 20.5 ""","Brown
/
Monogram Mini Lin Canvas, Leather",-,AO24790,"Good condition

Monogram mini lin: minor discoloration",Good condition,-,AO24790
LOUIS VUITTON SAC DEPAULE GM SHOULDER BAG BROWN EPI M80193,/collections/louis-vuitton/products/ao24787,"79,800",VI 0953,"W 11.4 × H 13.8 × D 5.7 ""

Strap Drop. 13.8 - 15.7 ""","Brown
/
Epi Leather, Leather",Pouch,AO24787,Good condition,Excellent condition,mold,AO24787
LOUIS VUITTON POCHETTE IPANEMA SHOULDER BUM BAG DAMIER N51296,/collections/louis-vuitton/products/ao24677,"89,800",VI 1024,"W 5.9 x H 5.1 x D 1.6 ""

Strap total length. 21.3 - 23.2 ""","Brown
/
Damier Canvas, Leather",-,AO24677,Excellent condition,Excellent condition,-,AO24677
LOUIS VUITTON SAC A DOS BOSPHORE BACKPACK BAG MONOGRAM M40107,/collections/louis-vuitton/products/ao24668,"298,000",FL 4164,"W 12.2 "" x H 14.6 "" x D 4.3 ""

Handle Drop. 3.5 ""

Strap total length. 21.3 - 40.9 ""","Brown
/
Monogram Canvas, Leather",Dust Bag,AO24668,"Excellent condition

Leather part: minor stain",Excellent condition,-,AO24668
LOUIS VUITTON Kalahari PM Hand Bag Monogram M97016,/collections/louis-vuitton/products/ao24666,"108,000",FL 0089,"W 10.2 "" x H 10.2 "" x D 3.5 ""

Handle Drop. 5.1 ""","Brown
/
Monogram Canvas, Leather",Dust Bag,AO24666,"There is sign of use overall.

Handle is stain and wrinkle.

Flap is scuff. Leather is scuff and minor dirt.

Metal fittings is peeled.",Good condition,-,AO24666
LOUIS VUITTON VERNIS ROKSBURY DRIVE 2WAY BAG POMME D'AMOUR M91987,/collections/louis-vuitton/products/ao24627,"79,800",SR 3008,"W 12.6 x H 7.1 x D 4.3 ""

Handle Drop. 2.0 ""

Strap Drop. 9.4 ""","Pomme D'amour
/
Patent Leather, Leather","Dust Bag, Shoulder Strap",AO24627,"Good condition

Leather part: minor stain and dirt",Excellent condition,-,AO24627
LOUIS VUITTON POCHETTE ACCESSOIRES 2WAY BAG VI0015 CHERRY M95008,/collections/louis-vuitton/products/ao24624,"198,000",VI 0015,"W 8.3 x H 5.1 x D 1.4 ""

Handle Drop. 5.1 ""

Strap Drop. 23.6 ""","Brown, Red
/
Monogram Cherry Canvas, Leather",Shoulder Strap,AO24624,Excellent condition,Excellent condition,-,AO24624
LOUIS VUITTON SAINT LOUIS CLUTCH HAND BAG DAMIER EBENE N51993,/collections/louis-vuitton/products/ao24620,"69,800",FL 0064,"W 9.6 x H 6.3 x D 2.4 ""","Brown
/
Damier Canvas, Leather",-,AO24620,Excellent condition,Excellent condition,-,AO24620
LOUIS VUITTON ALMA MM HAND BAG BLACK MONOGRAM GRAFFITI M92179,/collections/louis-vuitton/products/ao24619,"198,000",BA 0031,"W 11.0 x H 8.7 x D 4.3 ""

Handle Drop. 3.1 ""","Black, White
/
Leather","Manual, Dust Bag, Box",AO24619,Good condition,Excellent condition,-,AO24619
LOUIS VUITTON LOOPING GM SHOULDER BAG MONOGRAM M51145,/collections/louis-vuitton/products/ao24575,"79,800",DU0091,"W 11.0 x H 12.2 x D 3.9 ""

Strap Drop. 11.0 ""","Brown
/
Monogram Canvas, Leather",Dust Bag,AO24575,Excellent condition,Excellent condition,-,AO24575
LOUIS VUITTON SPEEDY 40 HAND BAG SP3141 BLACK MONOGRAM MULTI COLOR M93217,/collections/louis-vuitton/products/ao24572,"398,000",SP 3141,"W 16.1 x H 9.1 x D 7.9 ""

Handle Drop. 3.9 ""","Black, etc
/
Monogram Multi Color Canvas, Leather","Cover of Key, Keys*2, Manual, Dust Bag",AO24572,"Excellent condition

Suntanned",Excellent condition,-,AO24572
LOUIS VUITTON POCHETTE COSMETIC POUCH MULTI-COLOR M47355,/collections/louis-vuitton/products/ao24494,"79,800",CA 1192,"W 6.5 x H 4.7 x D 2.4 ""","Black
/
Monogram Multi-Color Canvas, Leather",-,AO24494,"Good condition

Corner is scuff",Good condition,-,AO24494
LOUIS VUITTON RANDONNEE PM SHOULDER BAG CIPANGO GOLD EPI M52358,/collections/louis-vuitton/products/ao24458,"79,800",AR 0915,"W 11.0 x H 15.0 x D 6.3 ""

Strap total length. 23.2 - 28.7 ""","Cipango Gold
/
Epi Leather, Leather",-,AO24458,Good condition,Good condition,-,AO24458
LOUIS VUITTON POCHE TOILETTE 26 COSMETIC POUCH MONOGRAM M47542,/collections/louis-vuitton/products/ao24455,"39,800",AN 0951,"W 10.2 x H 7.9 x D 2.0 ""","Brown
/
Monogram Canvas, Leather",-,AO24455,Good condition,Good condition,-,AO24455
LOUIS VUITTON POCHETTE ACCESSOIRES HAND BAG CHERRY BLOSSOM M92007,/collections/louis-vuitton/products/ao24454,"128,000",AR 0043,"W 8.3 x H 5.1 x D 1.4 ""

Handle Drop. 5.1 ""","Pink, Brown
/
Monogram Cherry Blossom Canvas, Leather",-,AO24454,"There is sign of use overall.

monogram: minor discoloration",Excellent condition,-,AO24454
LOUIS VUITTON SPEEDY 25 HAND BAG PURSE MONOGRAM M41528,/collections/louis-vuitton/products/ao24453,"118,000",MB0118,"W 9.8 x H 7.1 x D 5.7 ""

Handle Drop. 3.5 ""","Brown
/
Monogram Canvas, Leather",-,AO24453,Excellent condition,Excellent condition,-,AO24453
LOUIS VUITTON SAC PLAT HAND TOTE BAG MONOGRAM M51140,/collections/louis-vuitton/products/ao24452,"128,000",MI 0050,"W 14.2 x H 15.0 x D 3.9 ""

Handle Drop. 4.7 ""","Brown
/
Monogram Canvas, Leather",-,AO24452,There is sign of use overall.,Good condition,-,AO24452
LOUIS VUITTON NILE CROSS BODY SHOULDER BAG MONOGRAM M45244,/collections/louis-vuitton/products/ao24451,"98,000",AR 0082,"W 10.6 x H 8.3 x D 4.7 ""

Strap Drop. 16.1 - 19.7 ""","Brown
/
Monogram Canvas, Leather",-,AO24451,"Good condition

Leather part: scuff",Excellent condition,-,AO24451
LOUIS VUITTON CLUNY SHOULDER BAG BROWN EPI M52253,/collections/louis-vuitton/products/ao24328,"69,800",CA 0918,"W 10.2 x H 11.4 x D 6.7 ""

Strap Drop. 12.6 - 14.2 ""","Brown
/
Epi Leather, Leather",-,AO24328,Good condition,"Good condition

pocket side: minor crack",-,AO24328
