productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Epsom Kelly Sellier 25 Rose Jaipur,https://www.fashionphile.com/hermes-epsom-kelly-sellier-25-rose-jaipur-506654,"
                                                    $13,950                                            ",Hermes,,506654,Handbags,9.75 ,7.25 ,3.75 ,18.25 ,2017,"dust bag, strap, raincoat, clochette, lock, 2 key","We guarantee this is an authentic HERMES Epsom Kelly Sellier 25 Rose Jaipur or 100% of your money back. This iconic and classic tote is crafted of beautifully textured epsom leather in coral pink. The bag features a sturdy rolled leather top handle with gold plated links, an optional shoulder strap with gold claps, and a crossover flap and strap closure with a signature Kelly turn lock and padlock with a clochette for the keys. This opens to a spacious and durable matching goatskin leather interior with zippered and flat pockets. Experience the refined contemporary styling of Hermes with this versatile bag!",Excell,,"Scratch(es) , plating",,,
Togo Birkin 35 Gold,https://www.fashionphile.com/hermes-togo-birkin-35-gold-506769,"
                                                    $13,250                                            ",Hermes,,506769,Handbags,13.75 ,9.75 ,7.25 ,4.25 ,2008,"dust bag, clochette, lock, 2 keys, rain coa","We guarantee this is an authentic HERMES Togo Birkin 35 Gold or 100% of your money back. This sophisticated handbag is finely crafted of grained togo leather in a classic camel brown with white contrast stitching. This iconic Birkin features rolled leather top handles, a front flap, a hanging leather clochette and palladium silver hardware including lock and keys. The top flap opens to a matching brown chèvre leather interior with a zipper and patch pockets. This iconic handbag is a true classic for the day or evening from Hermes! ",Excell,"Faint corner wear, faint scuffs",,Edge wear,Musty od,
Togo Swift Officier Birkin 30 Bleu Nuit Vert Cypress,https://www.fashionphile.com/hermes-togo-swift-officier-birkin-30-bleu-nuit-vert-cypress-379868,"
                                                    $15,500                                            ",Hermes,,379868,Handbags,12 ,10 ,6.25 ,4 ,,"box, dust bag, clochette, lock & 2 keys, rain coa","We guarantee this is an authentic HERMES Togo Swift Officier Birkin 30 Bleu Nuit Vert Cypress or 100% of your money back. This classic handbag is beautifully crafted of togo calfskin leather in dark blue with decorative vertical teal green stripes. The bag features rolled leather top handles, a short front flap and strap closure and palladium hardware including a turn lock and keys in the clochette. This opens to a teal green goatskin leather interior with a zipper and patch pocket. This beautiful vibrant handbag is spacious enough for daily outings or evening out, with the classical sophistication of Hermes!",New,,Protective plastic sticker(s) intact,,,
Courchevel Kelly Sellier 28 Gold,https://www.fashionphile.com/hermes-courchevel-kelly-sellier-28-gold-486000,"
                                                    $7,500                                            ",Hermes,,486000,Handbags,11.5 ,8.25 ,4.5 ,3.25 ,1986,"dust bag, strap, clochette, lock & 2 key","We guarantee this is an authentic HERMES Courchevel Kelly Sellier 28 Gold or 100% of your money back. This stunning Hermes classic handbag circa 1986 is beautifully crafted in stamped calfskin leather in light golden brown. A single rolled leather top handle is secured with gold plated hardware. The traditional Kelly turn lock secures the small flap with a padlock and a hanging leather key clochette accessorizes this handbag. The interior features a single flat pocket as well as a zipped wide pocket, both in chèvre goatskin leather. Timeless and sophisticated, this Kelly is a wonderful complement to any Hermes collection!",Very G,"Corner wear, scuffs , marks","Scratch(es) , plating","Scuffs , wear at resin glazing, darkening , marks","k marks, creases, scuffs , surface wear, marks",
Swift Epsom Tressage Birkin 30 Bleu Encre Bleu du Nord Gold,https://www.fashionphile.com/hermes-swift-epsom-tressage-birkin-30-bleu-encre-bleu-du-nord-gold-442284,"
                                                    $16,950                                            ",Hermes,,442284,Handbags,11.75 ,9 ,6 ,3.75 ,2019,"box, clochette, lock & 2 keys, rain coa","We guarantee this is an authentic HERMES Swift Epsom Tressage Birkin 30 Bleu Encre Bleu du Nord Gold or 100% of your money back. This handbag crafted of supple swift leather in indigo blue. The bag features an epsom frontal tressage strip in light blue and gold, rolled leather top handles, a front flap, a strap closure and polished palladium hardware. This opens to a matching chevre goatskin leather interior with zipper and patch pockets. This sophisticated and timeless Birkin is a true masterpiece, from Hermes!",Excell,Indentations,Protective plastic sticker(s) intact,,Scuffs,
Evercalf Constance 18 Black,https://www.fashionphile.com/hermes-evercalf-constance-18-black-372885,"
                                                    $9,500                                            ",Hermes,,372885,Crossbody,7.25 ,5.75 ,1.75 ,20.25 ,2019,"box, dust bag","We guarantee this is an authentic HERMES Evercalf Constance 18 Black or 100% of your money back. This is a chic small bag that is finely crafted of smooth calfskin leather in black. The bag features a leather cross body shoulder strap, a front flap and a palladium Hermes H logo. The flap opens to a partitioned leather interior. This is a fabulous day or evening bag with the classical sophistication, only from Hermes!",Excell,Faint scuffs,Protective plastic sticker(s) intact,,,
Evercolor Constance 18 Rose Pourpre,https://www.fashionphile.com/hermes-evercolor-constance-18-rose-pourpre-377390,"
                                                    $9,500                                            ",Hermes,,377390,Crossbody,7.25 ,5.75 ,1.75 ,10.75 - 20 ,2017,"box, dust bag","We guarantee this is an authentic HERMES Evercolor Constance 18 Rose Pourpre or 100% of your money back. This is a chic small bag that is finely crafted of luxurious calfskin leather in fuchsia pink. The shoulder bag features a leather cross body shoulder strap, expandable sides, a front flap and a polished palladium silver Hermes H logo. The flap opens to a partitioned matching leather interior with patch pockets. This is a fabulous day or evening bag with classic sophistication, only from Hermes! ",Excell,,Protective plastic sticker(s) intact,,Scuffs,
Togo Birkin 40 Gris Tourterelle,https://www.fashionphile.com/hermes-togo-birkin-40-gris-tourterelle-505757,"
                                                    $9,595                                            ",Hermes,,505757,Handbags,16 ,8 ,12 ,4 ,2009,"dust bag, raincoat, clochette, 2 keys (lock not included)","We guarantee this is an authentic HERMES Togo Birkin 40 Gris Tourterelle or 100% of your money back. This stylish tote is crafted of fine Togo calfskin leather. The bag features sturdy rolled leather top handles, a frontal leather flap and polished silver hardware including a palladium silver turn lock. The flap opens to a leather interior with zipper and patch pockets. This iconic tote is ideal for everyday use, from Hermes!",Excell,"Faint corner wear, faint scuffs",Scratch(es),,,
Taurillon Clemence Mini Lindy 20 Deep Blue,https://www.fashionphile.com/hermes-taurillon-clemence-mini-lindy-20-deep-blue-506195,"
                                                    $10,950                                            ",Hermes,,506195,Handbags,7.25 ,5 ,3.5 ,21.5 ,2019,"dust bag, box, rain coa","We guarantee this is an authentic HERMES Taurillon Clemence Mini Lindy 20 Deep Blue or 100% of your money back. This stylish mini shoulder bag is crafted of fine calfskin leather in dark blue. The bag features rolled leather top handles, connected with a unique looping shoulder strap and polished gold plated hardware. The top zippers open to a blue leather interior with patch pockets. This is a chic shoulder bag, ideal for everyday use, from Hermes! ",New,,Protective plastic sticker(s) intact,,,
Taurillon Clemence Mini Lindy 20 Rose Extreme,https://www.fashionphile.com/hermes-taurillon-clemence-mini-lindy-20-rose-extreme-506068,"
                                                    $10,950                                            ",Hermes,,506068,Handbags,7 ,5 ,3.75 ,21.5 ,2019,"box, dust bag","We guarantee this is an authentic HERMES Taurillon Clemence Mini Lindy 20 Rose Extreme or 100% of your money back. This stylish mini shoulder bag is crafted of fine calfskin leather in pink. The bag features rolled leather top handles, connected with a unique looping shoulder strap and polished palladium silver hardware. The top zippers open to a pink leather interior with patch pockets. This is a chic shoulder bag, ideal for everyday use, from Hermes! ",New,,,,,
