productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Taurillon Clemence Evelyne III PM Orange Poppy,https://www.fashionphile.com/hermes-taurillon-clemence-evelyne-iii-pm-orange-poppy-481084,"
                                                    $2,115                                            ",Hermes,"3,375",481084,Crossbody,11 ,10.5 ,3.25 ,18.5 ,2017,"box, dust bag","We guarantee this is an authentic HERMES Taurillon Clemence Evelyne III PM Orange Poppy or 100% of your money back. This cross-body messenger bag is crafted of vibrant orange clemence pebbled calfskin leather. The shoulder bag features a cross-body length fabric shoulder strap, palladium silver clasps and buckles, and a facing perforated H with a cross over strap. The strap opens to a matching suede leather interior. This is an excellent messenger for everyday utility or a travel accessory with the classic sophistication of Hermes!",Very G,Color transf,Scratch(es),,,
Taurillon Clemence Birkin 35 Black,https://www.fashionphile.com/hermes-taurillon-clemence-birkin-35-black-458996,"
                                                    $7,695                                            ",Hermes,,458996,Handbags,13.75 ,7.25 ,10.5 ,4.25 ,,"(clochette, lock & key not included)","We guarantee this is an authentic HERMES Taurillon Clemence Birkin 35 Black or 100% of your money back. This classic Birkin tote is crafted of beautifully textured calfskin leather in black. The bag features rolled leather top handles, a cross over flap and strap and gold plated turn lock. These open to a chevre goatskin leather interior with room for your essentials for every occasion with the classic sophistication only from Hermes!",Very G,"Corner wear, structure wear , edge wea",Scratch(es),"Wear at resin glazing, structure wear","Residue marks , imprints","Missing key clochette, missing lock and/or key(s)"
Tadelakt Kelly Cut Clutch Pochette Griolet,https://www.fashionphile.com/hermes-tadelakt-kelly-cut-clutch-pochette-griolet-463166,"
                                                    $5,350                                            ",Hermes,,463166,Clutch & Evening,12.25 ,5 ,0.75 ,,2008,dust bag,"We guarantee this is an authentic HERMES Tadelakt Kelly Cut Clutch Pochette Griolet or 100% of your money back. This chic clutch is crafted of fine swift calfskin leather in a light purple with grey undertones. In the style of the Kelly handbags, the clutch has a leather strap top handle, a cross over flap, and strap closure with a palladium silver turn lock. This opens to a matte leather interior. This is an excellent clutch, ideal for evening and special occasions, from Hermes!",Very G,"Scuffs , marks",Protective plastic sticker(s) intact,,,
Toile Negonda Garden Party 36 MM 5P Pink,https://www.fashionphile.com/hermes-toile-negonda-garden-party-36-mm-5p-pink-438627,"
                                                    $1,160                                            ",Hermes,"2,325",438627,Handbags,14.25 ,10.5 ,6.5 ,5.5 ,2010,,"We guarantee this is an authentic HERMES Toile Negonda Garden Party 36 MM 5P Pink or 100% of your money back. This sophisticated tote has a casual appeal with a structured shape crafted of natural toile canvas in pink. This is reinforced with pink pebbled leather including a solid leather base and center straps that extend into rolled top handles. The palladium silver snap opens to a spacious canvas interior with a leather base. This is a versatile casual tote for everyday, with the luxe appeal of Hermes!",Very G,"Corner wear, edge wear , pilling , marks, liquid marks, stain(s)",Scratch(es),Sticky,"Creases, stain(s)",
Togo Birkin 30 Gris Mouette,https://www.fashionphile.com/hermes-togo-birkin-30-gris-mouette-514657,"
                                                    $15,950                                            ",Hermes,,514657,Handbags,11.5 ,8.5 ,6 ,3.75 ,2016,"box, dust bag, rain coat, clochette, lock, 2 key","We guarantee this is an authentic HERMES Togo Birkin 30 Gris Mouette or 100% of your money back. This stylish tote is finely crafted of grained light grey leather. The bag features rolled leather top handles, a leather belt and polished gold plated hardware, including a turn lock, a padlock and a hanging clochette with keys. This classic bag opens to a chevre goatskin leather interior with zipper and patch pockets. This is a beautiful tote for everyday use, with the chic appeal of Hermes! ",Excell,,"Protective plastic sticker(s) intact, faint scratch(es)",,,
Negonda Garden Party 36 MM Etoupe,https://www.fashionphile.com/hermes-negonda-garden-party-36-mm-etoupe-514797,"
                                                    $3,550                                            ",Hermes,"3,750",514797,Handbags,14.25 ,10.25 ,7 ,4.75 ,2018,dust bag,"We guarantee this is an authentic HERMES Negonda Garden Party 36 MM Etoupe or 100% of your money back. This sophisticated tote is finely crafted of luxurious grained taupe grey leather with contrast stitching in white. The bag features expandable sides with a snap, facing trim that transitions into rolled leather top handles and a top snap in palladium silver that opens to a spacious ivory fabric interior with a zipper pocket. This is a splendid tote for everyday wear, from Hermes!",Excell,Faint corner wea,,,,
Epsom Evelyne III PM Orange Poppy,https://www.fashionphile.com/hermes-epsom-evelyne-iii-pm-orange-poppy-508169,"
                                                    $2,295                                            ",Hermes,"3,375",508169,Crossbody,11 ,10.5 ,3 ,19 ,2016,,"We guarantee this is an authentic HERMES Epsom Evelyne III PM Orange Poppy or 100% of your money back. This bag has a tall shape of epsom calfskin leather with a perforated Hermes H design on the front and a wide rear pocket in orange. The bag features a long adjustable shoulder strap that can be worn across the body and attaches with palladium silver hardware. The top cross over strap opens to a spacious suede interior. This is a superb and very stylish messenger for day with the right accent of classic sophistication, from Hermes! ",Very G,,Faint scratch(es),Sizing marks,Marks,
Swift Jige Elan 29 Clutch Rouge Grenat,https://www.fashionphile.com/hermes-swift-jige-elan-29-clutch-rouge-grenat-473551,"
                                                    $2,330                                            ",Hermes,"3,675",473551,Clutch & Evening,11.25 ,6.25 ,0.75 ,,2016,dust bag,We guarantee this is an authentic HERMES Swift Jige Elan 29 Clutch Rouge Grenat or 100% of your money back. This stylish clutch is crafted of smooth calfskin leather in red. There is a cross over flap and a strap that tucks under a leather Hermes initial. This opens to a leather interior with room for just the essentials for day or evening with the classic sophistication only from Hermes! ,Excell,Faint scuffs,,,,
Taurillon Clemence Evelyne II PM Vert Chartreuse,https://www.fashionphile.com/hermes-taurillon-clemence-evelyne-ii-pm-vert-chartreuse-514716,"
                                                    $2,095                                            ",Hermes,,514716,Crossbody,11 ,11 ,3.25 ,19.5 ,2007,,"We guarantee this is an authentic HERMES Taurillon Clemence Evelyne II PM Vert Chartreuse or 100% of your money back. This stylish messenger bag is crafted of a beautiful shade of green Taurillon Clemence calfskin leather and features a matching canvas shoulder strap. This bag is detailed with palladium silver hardware, a rear pocket, and a perforated Hermes H oval on the face of the bag. The top of the bag opens with a cross over strap to a suede interior. This is a chic messenger bag, ideal for everyday essentials, from Hermes!",G,"Corner wear, scuffs , edge wear , marks","Scratch(es) , tarnished, pitt","Edge wear , popped stitch(es)","Residue marks , ink marks, discoloration, surface wea",
Negonda Garden Party 36 MM Cuivre,https://www.fashionphile.com/hermes-negonda-garden-party-36-mm-cuivre-514723,"
                                                    $2,015                                            ",Hermes,"3,675",514723,Handbags,14.5 ,10 ,7.25 ,5.75 ,2016,box,"We guarantee this is an authentic HERMES Negonda Garden Party 36 MM Cuivre or 100% of your money back. This sophisticated tote is crafted of luxurious golden brown leather with contrast stitching in white. The bag features expandable sides with polished palladium snap buttons, and rolled leather top handles. The top is open to a spacious ivory fabric interior with a zipper pocket. This is a splendid tote for everyday wear, from Hermes!",Very G,"Corner wear, edge wear , marks",Faint scratch(es),Wear at resin glazing,"Residue marks , cigarette odor, pilling",
Togo Swift 24/24 29 Vert Cypress,https://www.fashionphile.com/hermes-togo-swift-2424-29-vert-cypress-461100,"
                                                    $9,220                                            ",Hermes,,461100,Handbags,11.25 ,8.5 ,5.5 ,13.25 ,2019,"rap, box, 2 x dust bag","We guarantee this is an authentic HERMES Togo Swift 24/24 29 Vert Cypress or 100% of your money back. This color-block handbag is crafted of richly textured calfskin leather in dark green. The bag features a swift leather top handle, an optional leather shoulder strap and palladium silver hardware. The flap opens to a swift leather interior with a zipper pocket. This versatile bag is ideal for occasions that call for the luxury and style only from Hermes!",Excell,Marks,Faint scratch(es),,Scuffs,
Taurillon Clemence Amazone Evelyne TPM Bleu Encre,https://www.fashionphile.com/hermes-taurillon-clemence-amazone-evelyne-tpm-bleu-encre-477234,"
                                                    $2,160                                            ",Hermes,,477234,Crossbody,6.75 ,7 ,2.25 ,22.75 ,2018,"box, dust bag","We guarantee this is an authentic HERMES Taurillon Clemence Amazone Evelyne TPM Bleu Encre or 100% of your money back. This petite crossbody messenger bag is finely crafted of rich taurillon Clemence calfskin leather in dark blue. The bag features an amazone canvas body strap in dark blue and brown, palladium silver hardware and a perforated Hermes H inside an oval on the front of the bag. The top of the bag opens with a cross over strap to a matching suede interior. This is a stylish messenger bag for everyday use, from Hermes!",Excell,Bowed bas,Scratch(es),Pilling,"Perfume or cologne odor, marks",
Taurillon Clemence Lindy 26 Black,https://www.fashionphile.com/hermes-taurillon-clemence-lindy-26-black-515330,"
                                                    $6,595                                            ",Hermes,"7,550",515330,Handbags,10.25 ,7.25 ,5.25 ,12 ,2019,"box, dust bag, rain coa",We guarantee this is an authentic HERMES Taurillon Clemence Lindy 26 Black or 100% of your money back. This chic tote is crafted of luxurious taurillion clemence calfskin leather in black. This stylish bag features frontward facing rolled leather top handles on either side and a cross over top flap and a palladium silver turn lock closure. This opens to a black leather interior spacious enough for day time necessities with the classic sophistication only from Hermes!,Excell,,Protective plastic sticker(s) intact,,Scuffs,
Epsom Birkin 30 Rose Jaipur,https://www.fashionphile.com/hermes-epsom-birkin-30-rose-jaipur-514502,"
                                                    $11,825                                            ",Hermes,,514502,Handbags,11.75 ,9.25 ,6 ,4 ,2015,"dust bag, rain coat, clochette, lock, 2 key","We guarantee this is an authentic HERMES Epsom Birkin 30 Rose Jaipur or 100% of your money back. This exclusive special Birkin handbag is crafted of calfskin leather in bright pink. The handbag features rolled leather top handles, a short flap and palladium hardware including the turn lock, padlock and keys with a clochette. This Birkin opens to a matching pink goatskin leather interior with zipper and patch pockets. Turn heads with this chic handbag for special occasions, for the Hermes connoisseur!",Very G,"Corner wear, marks",Scratch(es),Scuffs,Scuffs,
Togo Victoria Light Briefcase Black,https://www.fashionphile.com/hermes-togo-victoria-light-briefcase-black-514361,"
                                                    $2,805                                            ",Hermes,,514361,Handbags,15 ,11 ,2.25 ,4.75 ,2019,"box, dust bag",We guarantee this is an authentic HERMES Togo Victoria Light Briefcase Black or 100% of your money back. This is a professional shoulder bag in black calfskin leather. The bag features polished palladium silver hardware and opens to a fabric interior with a patch pocket. This is a stylish bag for all your professional needs from Hermes!! ,Excell,,,,"Surface wear, marks",
Grain d'H Sac Roulis 23 Blue De Galice,https://www.fashionphile.com/hermes-grain-dh-sac-roulis-23-blue-de-galice-514428,"
                                                    $5,130                                            ",Hermes,"7,650",514428,Crossbody,9.25 ,7.5 ,2.75 ,13 ,2013,dust bag,We guarantee this is an authentic HERMES Grain d'H Sac Roulis 23 Blue De Galice or 100% of your money back. This stunning shoulder bag is beautifully crafted of pebbled calfskin leather in blue. The bag features a long leather shoulder strap with gold links and a facing flap that seals with a stylized matching gold crossbar. The flap opens to a partitioned blue leather interior with patch pockets. This elegant satchel is ideal for everyday wear with the classic sophistication of Hermes! ,Excell,"Corner wear, edge wear , faint scuffs",Scratch(es),Edge wear,"Marks, imprints",
Epsom Birkin 30 Black,https://www.fashionphile.com/hermes-epsom-birkin-30-black-514498,"
                                                    $16,470                                            ",Hermes,,514498,Handbags,11.75 ,9.75 ,6 ,4 ,2016,"dust bag, clochette, lock & key","We guarantee this is an authentic HERMES Epsom Birkin 30 Black or 100% of your money back. This stylish tote is beautifully crafted of epsom calfskin leather. The bag features rolled leather top handles, a front flap and strap closure and polished palladium silver hardware including a silver turn lock. This opens to a matching chevre goatskin leather interior with zipper and patch pockets. This is an excellent tote that will be ideal for any day with the classic, one of a kind classic style, from Hermes!",Excell,Faint scuffs,Scratch(es),"Edge wear , scuffs","Scuffs , marks",
Courchevel Dalvy 30 Bleu Marine,https://www.fashionphile.com/hermes-courchevel-dalvy-30-bleu-marine-514241,"
                                                    $1,755                                            ",Hermes,,514241,Handbags,12 ,4.5 ,19.75 ,3.75 ,2002,dust bag,"We guarantee this is an authentic HERMES Courchevel Dalvy 30 Bleu Marine or 100% of your money back. This stylish tote is crafted of fine Courchevel calfskin leather. The bag features a leather top handle and a cross-over strap/lock that opens the top and the expansive sides to a spacious leather interior. This is an excellent tote for day or evening, with the classical sophistication only from Hermes! ",Very G,"Corner wear, faint scuffs",Faint scratch(es),"Scuffs , marks","Scuffs , imprints",
Epsom Candy Birkin 35 Lime Gris Perle,https://www.fashionphile.com/hermes-epsom-candy-birkin-35-lime-gris-perle-514130,"
                                                    $8,750                                            ",Hermes,,514130,Handbags,13.5 ,10.75 ,7 ,4 ,2011,"clochette, lock & 2 key","We guarantee this is an authentic HERMES Epsom Candy Birkin 35 Lime Gris Perle or 100% of your money back. This stylish tote is beautifully crafted of epsom stamped calfskin leather in sulfur yellow. The bag features rolled leather top handles, a frontal flap and strap closure, and palladium silver hardware including a silver turn lock. This opens to a light grey goatskin leather interior with a zipper and patch pocket. This timeless and iconic handbag is ideal for day to evening with the classic look of luxury, from Hermes!",Very G,"Scuffs , edge wear , marks, imprints, substantial corner wea",Scratch(es),"Surface wear , scuffs","Marks, imprints, stain(s)",
Swift Toile Constance 24 Black Ecru,https://www.fashionphile.com/hermes-swift-toile-constance-24-black-ecru-513813,"
                                                    $12,905                                            ",Hermes,,513813,Handbags,9 ,7.25 ,2.75 ,17.25 ,2017,"box, dust bag","We guarantee this is an authentic HERMES Swift Toile Constance 24 Black Ecru or 100% of your money back. This stunning shoulder bag is crafted of fine ultra polished calfskin leather and natural toile canvas. The bag features a looping end to end shoulder strap with palladium links that can be work doubled as a hand strap. The flap with opens with a palladium Hermes H snap closure. This opens to a partitioned leather interior with a zippered pocket. This is an excellent shoulder bag, suitable for both day and evening, from Hermes! ",Excell,Faint scuffs,Protective plastic sticker(s) intact,,Marks,
Taurillon Clemence Evelyne III PM Rose Extreme,https://www.fashionphile.com/hermes-taurillon-clemence-evelyne-iii-pm-rose-extreme-492160,"
                                                    $3,595                                            ",Hermes,"3,375",492160,Crossbody,11 ,11.25 ,3.25 ,21 ,2019,"box, dust bag","We guarantee this is an authentic HERMES Taurillon Clemence Evelyne III PM Rose Extreme or 100% of your money back. This stylish messenger bag is crafted of a beautiful shade of bright pink Taurillon Clemence calfskin leather and features an adjustable matching nylon shoulder strap. This bag is detailed with palladium silver hardware, a rear pocket, and a perforated Hermes H oval on the face of the bag. The top of the bag opens with a cross over strap to a suede interior. This is a chic messenger bag, ideal for everyday essentials, from Hermes!",Excell,,Scratch(es),Pilling,,
Togo Birkin 35 Gold,https://www.fashionphile.com/hermes-togo-birkin-35-gold-389201,"
                                                    $7,950                                            ",Hermes,,389201,Handbags,13.75 ,9.25 ,7.25 ,4 ,2018,"clochette, lock, 2 key","We guarantee this is an authentic HERMES Togo Birkin 35 Gold or 100% of your money back. This sophisticated handbag is finely crafted of grained togo leather in a classic camel brown with white contrast stitching. This iconic Birkin features rolled leather top handles, a front flap, a hanging leather clochette and polished palladium hardware including lock and keys. The top flap opens to a matching brown chèvre leather interior with zipper and patch pockets. This iconic handbag is a true classic for day or evening from Hermes! ",Very G,"Corner wear, scuffs , structure loss , marks, indentations",Plating,Wear at resin glazing,Scuffs,Sticker residu
Evercolor Toolbox 26 Black,https://www.fashionphile.com/hermes-evercolor-toolbox-26-black-482542,"
                                                    $3,190                                            ",Hermes,"8,650",482542,Handbags,10.25 ,11 ,7 ,3.5 ,2011,rap and clochette not included,"We guarantee this is an authentic HERMES Evercolor Toolbox 26 Black or 100% of your money back. This stylish tote is crafted of smooth calfskin leather in black. The bag features rolled leather top handles and palladium hardware including a front turn lock. The top opens to a leather interior with patch pockets. This is a stunning tote that is ideal for day, from Hermes! ",Very G,"dge wear , imprints, faint scuffs",Faint scratch(es),"Scuffs , structure wear, missing additional strap","Scuffs , imprints, pocket(s) stretched","Missing key clochette, missing lock and/or key(s)"
Feutre Swift Evelyne TPM Bleu Nuit Black,https://www.fashionphile.com/hermes-feutre-swift-evelyne-tpm-bleu-nuit-black-493417,"
                                                    $2,350                                            ",Hermes,,493417,Crossbody,6.75 ,6.75 ,2.25 ,22 ,,"box, dustbag","We guarantee this is an authentic HERMES Feutre Swift Evelyne TPM Bleu Nuit Black or 100% of your money back. This classic small shoulder bag is crafted of feutre swift in navy blue with a front perforated Hermes ""H"" oval. The crossbody bag features black leather trim, a black canvas shoulder strap with polished gold hardware. The top crossover strap and snap open to a matching interior. This is a very stylish petite messenger bag, with the right accent of classic sophistication, from Hermes!",Excell,Pilling,Faint scratch(es),,,
Taurillon Clemence Kelly Retourne 32 Tabac,https://www.fashionphile.com/hermes-taurillon-clemence-kelly-retourne-32-tabac-310025,"
                                                    $6,950                                            ",Hermes,,310025,Handbags,12.5 ,9 ,4.75 ,17.25 ,2008,"box, dust bag, strap, lock & 2 keys, cloc","We guarantee this is an authentic HERMES Taurillon Clemence Kelly Retourne 32 Tabac or 100% of your money back. This handbag is crafted of richly textured calfskin leather in a beautiful shade of light brown. The bag features a reinforced leather top handle, an optional leather shoulder strap with a crossover flap and a strap closure complemented with a signature gold plated lock and clochette with keys. The flap opens to a matte leather interior with zipper and flat pockets. This is an iconic and very sought after handbag, ideal for occasions that call for the luxury and style only from Hermes! ",Very G,"Corner wear, scuffs , structure wear , edge wear , marks","Scratch(es) , plating","Edge wear , scuffs , marks","Scuffs , marks, edge wea",
Toile Etriviere Elan,https://www.fashionphile.com/hermes-toile-etriviere-elan-477434,"
                                                    $715                                            ",Hermes,,477434,Shoulder Bags,16.75 ,10 ,4.75 ,12.5 ,,,"We guarantee this is an authentic HERMES Toile Etriviere Elan or 100% of your money back. This simply stylish shoulder bag is crafted of sturdy toile canvas. The bag has durable leather shoulder straps with brass hardware. The top is open to a spacious interior. This is a marvelous bag for everyday use, from Hermes! ",Excell,"Curling , pilling",Scratch(es),Creases,Residue marks,
Ostrich Trim II 31 Cognac,https://www.fashionphile.com/hermes-ostrich-trim-ii-31-cognac-439013,"
                                                    $1,770                                            ",Hermes,,439013,Handbags,12 ,8.75 ,3 ,6.75 ,1983,,"We guarantee this is an authentic HERMES Ostrich Trim II 31 Cognac or 100% of your money back. This classic hobo is crafted of vintage ostrich leather in a dark golden brown. This bag features a looping shoulder strap with a gold buckle, and a cross-over strap with a gold clasp. The top zipper opens to a brown leather interior. This is a chic hobo for day or evening, from Hermes! ",Very G,"Corner wear, edge wear , pilling , wear at resin glazing","Scratch(es) , tarnished, plating","Edge wear , wear at resin glazing, sizing marks","k marks, scuffs , cigarette odor, frayed stitch(es)",
Taurillon Clemence Evelyne III GM Gold,https://www.fashionphile.com/hermes-taurillon-clemence-evelyne-iii-gm-gold-513456,"
                                                    $2,910                                            ",Hermes,"3,750",513456,Crossbody,12.5 ,12 ,3.5 ,20 ,2014,"box, dust bag","We guarantee this is an authentic HERMES Taurillon Clemence Evelyne III GM Gold or 100% of your money back. This stylish messenger bag is crafted of taurillon Clemence calfskin leather in golden brown, and features a perforated Hermes H oval logo on the front, an adjustable canvas shoulder strap, a rear pocket, and polished palladium hardware. The top of the bag is open to a golden brown suede interior. This is a beautiful messenger bag, only from Hermes!",Excell,,Faint scratch(es),Pilling,,
Taurillon Clemence Evelyne TPM Black,https://www.fashionphile.com/hermes-taurillon-clemence-evelyne-tpm-black-513041,"
                                                    $2,480                                            ",Hermes,,513041,Crossbody,6.75 ,6.75 ,2.25 ,23 ,2019,"box, dust bag","We guarantee this is an authentic HERMES Taurillon Clemence Evelyne TPM Black or 100% of your money back. This classic shoulder bag is crafted of calfskin leather in black with a perforated Hermes ""H"" oval logo on the front. The bag features a black canvas shoulder strap with polished gold hardware. The crossover strap opens to reveal a black suede leather interior. This is a stylish petite messenger bag, with the right accent of classic sophistication, from Hermes!",New,,,Pilling,,
Evercolor Constance 24 Rose Azalee,https://www.fashionphile.com/hermes-evercolor-constance-24-rose-azalee-377450,"
                                                    $9,950                                            ",Hermes,,377450,Handbags,9 ,8 ,2.5 ,17.75 ,2018,"box, dust bag","We guarantee this is an authentic HERMES Evercolor Constance 24 Rose Azalee or 100% of your money back. This stylish shoulder bag is crafted of fine textured evercolor leather in bright pink. This chic bag features a uniquely constructed looping shoulder strap with polished palladium links and a top flap that tucks into a prominent H in palladium hardware. This opens to a partitioned lambskin leather interior with a zipper and patch pocket. This is an excellent shoulder bag, ideal for everyday wear, from Hermes!",Excell,,"Protective plastic sticker(s) intact, faint scratch(es)",,"Creases, scuffs",
Togo Birkin 25 Gold,https://www.fashionphile.com/hermes-togo-birkin-25-gold-444202,"
                                                    $19,140                                            ",Hermes,,444202,Handbags,9.75 ,8.5 ,5.25 ,2.5 ,2019,"box, dust bag, clochette, lock, 2 keys, rain coa","We guarantee this is an authentic HERMES Togo Birkin 25 Gold or 100% of your money back. This classic handbag is beautifully crafted of togo calfskin leather in light golden brown. The bag features rolled leather top handles, a short front flap and strap closure and a palladium silver plated hardware. This opens to a goatskin leather interior with zipper and patch pockets. This beautiful handbag is spacious for all your daily essentials with the classical sophistication of Birkin by Hermes!",New,,Protective plastic sticker(s) intact,,,
Taurillon Clemence Evelyne III GM Etain,https://www.fashionphile.com/hermes-taurillon-clemence-evelyne-iii-gm-etain-513354,"
                                                    $3,345                                            ",Hermes,"3,750",513354,Crossbody,13 ,12 ,3.5 ,20.25 ,2018,,"We guarantee this is an authentic HERMES Taurillon Clemence Evelyne III GM Etain or 100% of your money back. This crossbody messenger bag is crafted of Clemence pebbled calfskin leather in grey. The bag features an adjustable grey canvas shoulder strap with polished gold hardware, a rear pocket, and a perforated Hermes H oval logo on the front. The top of the bag is open to a matching grey suede interior. This is a fabulous messenger bag, ideal for everyday essentials, from Hermes!",Excell,"dge wear , marks",Scratch(es),"Sizing marks , pilling",Marks,
Togo Birkin 35 Gold,https://www.fashionphile.com/hermes-togo-birkin-35-gold-513182,"
                                                    $17,225                                            ",Hermes,,513182,Handbags,14.25 ,10.25 ,7.25 ,4 ,2019,"dust bag, clochette, lock, 2 keys, rain coa","We guarantee this is an authentic HERMES Togo Birkin 35 Gold or 100% of your money back. This sophisticated handbag is finely crafted of grained togo leather in a classic camel brown with white contrast stitching. This iconic Birkin features rolled leather top handles, a front flap, a hanging leather clochette and gold plated hardware including lock and keys. The top flap opens to a matching brown chèvre leather interior with a zipper and patch pockets. This iconic handbag is a true classic for day or evening from Hermes! ",New,,"Protective plastic sticker(s) intact, faint scratch(es)",,,
Epsom Candy Kelly Retourne 35 Rose Tyrien Rubis,https://www.fashionphile.com/hermes-epsom-candy-kelly-retourne-35-rose-tyrien-rubis-299259,"
                                                    $7,250                                            ",Hermes,,299259,Handbags,14 ,9.75 ,5.25 ,18 ,,"dust bag, strap, clochette, lock, 2 key","We guarantee this is an authentic HERMES Epsom Candy Kelly Retourne 35 Rose Tyrien Rubis or 100% of your money back. This stunning pink classic Kelly is crafted of fine grained Epsom calfskin leather. The bag features a reinforced leather top handle, with an optional shoulder strap with silver clasps. There is is cross over flap with a strap closure and a palladium Kelly signature turn lock and a padlock. There is a hanging clochette with a key. The flap opens to ruby red goatskin leather with the classical sophistication of Hermes!  ",Very G,"Structure wear , marks, wear at resin glazing, faint corner wea","Scratch(es) , pitt",Glue residu,"Residue marks , imprints",
Epsom Kelly Pocket Compact Wallet Black,https://www.fashionphile.com/hermes-epsom-kelly-pocket-compact-wallet-black-485568,"
                                                    $1,295                                            ",Hermes,"1,300",485568,Wallets,5 ,3.75 ,0.25 ,,2019,box,We guarantee this is an authentic HERMES Epsom Kelly Pocket Compact Wallet Black or 100% of your money back. This stunning clutch wallet is finely crafted of epsom leather in black. The front flap and polished gold Kelly signature turn-lock opens to a matching leather interior and a rear zipper pocket. This is an excellent wallet that is ideal for everyday use with the classical sophistication only from Hermes! ,New,,Protective plastic sticker(s) intact,,,
Togo Shiny Niloticus Crocodile Birkin Touch 25 Black,https://www.fashionphile.com/hermes-togo-shiny-niloticus-crocodile-birkin-touch-25-black-321456,"
                                                    $30,950                                            ",Hermes,,321456,Handbags,10 ,8.5 ,5.25 ,2.25 ,2018,"box, dust bag, clochette, lock & 2 keys, rain protector","We guarantee this is an authentic HERMES Togo Shiny Niloticus Crocodile Birkin Touch 25 Black or 100% of your money back. This chic and iconic handbag is expertly handcrafted of black togo leather with a glossy exotic crocodile flap in black. The bag features rolled top handles, a frontal flap with a strap closure with palladium hardware including a leather covered padlock and keys. The top flap opens to a matte chevre goatskin leather interior with zipper and patch pockets. This sophisticated and timeless Birkin is a true masterpiece, from Hermes!",Excell,,Protective plastic sticker(s) intact,Scuffs,,
Evercolor Constance 24 Beige De Weimar,https://www.fashionphile.com/hermes-evercolor-constance-24-beige-de-weimar-453890,"
                                                    $13,260                                            ",Hermes,,453890,Handbags,9 ,8.5 ,2.75 ,10 ,2019,"box, dust bag","We guarantee this is an authentic HERMES Evercolor Constance 24 Beige De Weimar or 100% of your money back. This stylish shoulder bag is finely crafted of evercolor calfskin leather in golden brown. The bag features a brown shoulder strap with gold plated hardware including an H buckle at the frontal flap. The flap opens to a matching partitioned leather interior with a flat pocket. This is a bold yet sophisticated shoulder bag for day, from Hermes!",New,,Protective plastic sticker(s) intact,,,
Shiny Niloticus Crocodile Birkin 25 Rose Scheherazade,https://www.fashionphile.com/hermes-shiny-niloticus-crocodile-birkin-25-rose-scheherazade-460761,"
                                                    $66,950                                            ",Hermes,,460761,Handbags,9.75 ,7.75 ,5 ,2.5 ,2018,"box, dust bag, CITES certificate, clochette, lock & 2 keys, rain coa","We guarantee this is an authentic HERMES Shiny Niloticus Crocodile Birkin 25 Rose Scheherazade or 100% of your money back. This stunning Hermes Birkin is crafted of shiny exotic niloticus crocodile leather in bright pink. The bag features rolled crocodile top handles, a matching cross over flap, a horizontal cross strap closure with a polished palladium turn lock, a hanging key clochette and crocodile lined padlock. The flap opens to a matte goatskin interior with zipper and patch pockets. This iconic bag is a true collector's piece, from Hermes!",New,,Protective plastic sticker(s) intact,,,
Epsom Kelly Sellier 35 Black,https://www.fashionphile.com/hermes-epsom-kelly-sellier-35-black-406161,"
                                                    $16,250                                            ",Hermes,,406161,Handbags,14 ,10 ,5 ,17.5 ,2019,"box, strap, clochette, lock & 2 keys, dust bag, rain coa","We guarantee this is an authentic HERMES Epsom Kelly Sellier 35 Black or 100% of your money back. This iconic and classic tote is crafted of beautifully textured epsom leather in black. The bag features a sturdy rolled leather top handle, an optional shoulder strap, palladium hardware, and a crossover flap with strap closure. The top flap opens to a spacious and durable leather interior with zippered and flat pockets. This stylish bag is is suitable for your needs for every occasion with the classic sophistication only from Hermes!",New,,Protective plastic sticker(s) intact,,Residue marks,
Evercolor Constance 24 White,https://www.fashionphile.com/hermes-evercolor-constance-24-white-425103,"
                                                    $12,950                                            ",Hermes,,425103,Handbags,9 ,6.25 ,2.25 ,17.5 ,,"dust bag, box","We guarantee this is an authentic HERMES Evercolor Constance 24 White or 100% of your money back. This stylish shoulder bag is finely crafted of evercolor calfskin leather in white. The bag features a shoulder strap with palladium hardware, including an H buckle at the base of the crossover flap. The bag opens to a soft partitioned leather interior with zipper and patch pockets. This is a bold, sophisticated shoulder bag for day or evening wear, from Hermes!",Excell,Faint scuffs,,,,
Togo Birkin Verso 35 Gold Geranium,https://www.fashionphile.com/hermes-togo-birkin-verso-35-gold-geranium-512632,"
                                                    $13,500                                            ",Hermes,,512632,Handbags,13.75 ,11 ,7 ,4 ,2017,"dust bag, clochette, lock & 2 key","We guarantee this is an authentic HERMES Togo Birkin Verso 35 Gold Geranium or 100% of your money back. This sophisticated handbag is finely crafted of grained Togo leather in a classic camel brown with white contrast stitching. This iconic Birkin features rolled leather top handles, a front flap, a hanging leather clochette, and polished gold plated hardware including lock and keys. The top flap opens to a red chèvre leather interior with zipper and patch pockets. This iconic handbag is a true classic for the day or evening from Hermes! ",Excell,Faint corner wea,Protective plastic sticker(s) intact,,,
